tour,market,feature,gain,splits
ATP,dfs,opponent_aces_allowed_blend,231.1783516407013,38
ATP,dfs,opponent_career4y_aces_allowed_rate,204.06893944740295,30
ATP,dfs,opponent_ace_rate_blend,203.49057936668396,32
ATP,dfs,opponent_l24m_svpt_per_match,202.06835007667542,30
ATP,dfs,player_l24m_matches,190.74191093444824,25
ATP,dfs,player_l12m_matches,182.96884036064148,26
ATP,dfs,opponent_return_factor,175.00125932693481,28
ATP,dfs,opponent_l24m_aces_allowed_rate,164.55635905265808,28
ATP,dfs,log_player_rank,164.17645168304443,17
ATP,dfs,log_opponent_rank,151.13954854011536,24
ATP,dfs,opponent_l24m_df_rate,146.9899387359619,20
ATP,dfs,player_l24m_aces_allowed_rate,145.7742998600006,21
ATP,dfs,opponent_career4y_ace_rate,144.57032012939453,24
ATP,dfs,opponent_l24m_svpt,141.44259095191956,22
ATP,dfs,opponent_l24m_first_serve_pct,140.52910041809082,21
ATP,dfs,opponent_career4y_first_serve_pct,137.84544110298157,22
ATP,dfs,opponent_career4y_svpt,128.50612044334412,22
ATP,dfs,opponent_height,112.26175022125244,14
ATP,dfs,opponent_career4y_matches,110.22025918960571,16
ATP,dfs,opponent_l12m_svpt,107.17176961898804,18
ATP,dfs,opponent_l12m_matches,97.17675971984863,18
ATP,dfs,opponent_l24m_matches,86.81700992584229,13
ATP,dfs,opponent_ret_first_blend,67.3531289100647,12
ATP,dfs,player_hand,63.24964141845703,8
ATP,dfs,surface,55.68705940246582,4
ATP,dfs,opponent_hand,0.0,0
WTA,aces,incumbent_aces,109905.13736438751,302
WTA,aces,player_career4y_ace_rate,27956.603091716766,327
WTA,aces,opponent_career4y_aces_allowed_rate,16100.893639564514,448
WTA,aces,player_ace_rate_blend,8487.72358417511,58
WTA,aces,opponent_aces_allowed_blend,8288.37376666069,385
WTA,aces,player_l24m_ace_rate,7076.049945354462,97
WTA,aces,opponent_l24m_aces_allowed_rate,3926.1879868507385,148
WTA,aces,player_height,2486.342565059662,171
WTA,aces,player_career4y_first_serve_pct,2437.080813884735,150
WTA,aces,player_l12m_first_serve_pct,2380.6785774230957,152
WTA,aces,venue_df_factor,2077.756192445755,160
WTA,aces,player_rank,1965.7916922569275,135
WTA,aces,rank_log_gap,1831.5831294059753,118
WTA,aces,player_career4y_first_win_pct,1809.5322790145874,104
WTA,aces,venue_ace_factor,1717.5168008804321,154
WTA,aces,player_age,1628.0680603981018,137
WTA,aces,opponent_age,1578.5090911388397,149
WTA,aces,surface_prior_ace_rate,1499.9089250564575,132
WTA,aces,expected_match_games,1393.402119398117,129
WTA,aces,player_l12m_first_win_pct,1369.0144095420837,103
WTA,aces,player_l12m_ace_rate,1334.7915081977844,58
WTA,aces,surface_prior_df_rate,1189.1831278800964,94
WTA,aces,player_l12m_svpt,1088.6223945617676,75
WTA,aces,player_l24m_first_serve_pct,1032.9576172828674,80
WTA,aces,opponent_l12m_aces_allowed_rate,1024.3865938186646,70
WTA,aces,player_ret_first_blend,961.1298451423645,96
WTA,aces,player_l12m_second_win_pct,862.0890698432922,77
WTA,aces,player_career4y_second_win_pct,722.6103272438049,61
WTA,aces,player_l24m_first_win_pct,708.5827984809875,45
WTA,aces,opponent_career4y_svpt,693.2550783157349,64
WTA,aces,opponent_df_rate_blend,615.8766069412231,52
WTA,aces,player_l24m_svpt_per_match,581.4517087936401,49
WTA,aces,opponent_l12m_svpt,558.0514488220215,38
WTA,aces,opponent_return_factor,555.2169103622437,63
WTA,aces,opponent_l12m_svpt_per_match,529.5623288154602,46
WTA,aces,level,509.4065570831299,41
WTA,aces,opponent_l24m_second_win_pct,491.85434913635254,39
WTA,aces,player_l24m_df_rate,489.1525912284851,48
WTA,aces,player_l24m_second_win_pct,485.71083211898804,41
WTA,aces,player_l12m_svpt_per_match,482.8411569595337,52
WTA,aces,opponent_l24m_matches,475.28923177719116,38
WTA,aces,opponent_svpt_per_svg_blend,474.05019187927246,48
WTA,aces,opponent_career4y_svpt_per_match,472.4234104156494,52
WTA,aces,player_l24m_matches,468.32870054244995,25
WTA,aces,opponent_career4y_matches,467.60940885543823,37
WTA,aces,player_ret_second_blend,463.65325951576233,53
WTA,aces,opponent_height,460.9782609939575,37
WTA,aces,opponent_l24m_svpt,458.352530002594,38
WTA,aces,player_career4y_svpt_per_match,443.1891610622406,44
WTA,aces,opponent_ret_first_blend,443.16493034362793,34
WTA,aces,venue_history_matches,439.9791703224182,36
WTA,aces,opponent_rank,438.6731586456299,35
WTA,aces,player_l24m_svpt,417.7533211708069,29
WTA,aces,player_svpt_per_svg_blend,413.524817943573,47
WTA,aces,opponent_l12m_df_rate,401.6776623725891,37
WTA,aces,expected_service_points,399.00910997390747,47
WTA,aces,opponent_career4y_second_win_pct,377.43083143234253,37
WTA,aces,opponent_career4y_first_win_pct,357.83927869796753,32
WTA,aces,opponent_ace_rate_blend,320.9955105781555,31
WTA,aces,player_career4y_df_rate,320.4843511581421,33
WTA,aces,opponent_ret_second_blend,315.55206775665283,28
WTA,aces,player_l12m_matches,312.2185697555542,19
WTA,aces,opponent_career4y_df_rate,304.161021232605,30
WTA,aces,player_career4y_svpt,302.39657831192017,27
WTA,aces,round,275.03084087371826,32
WTA,aces,draw_size,274.3531403541565,26
WTA,aces,player_df_rate_blend,269.5931215286255,24
WTA,aces,player_career4y_aces_allowed_rate,267.54184913635254,21
WTA,aces,opponent_l12m_ace_rate,267.46195936203003,28
WTA,aces,opponent_l12m_first_win_pct,264.16864109039307,29
WTA,aces,player_aces_allowed_blend,228.19716835021973,26
WTA,aces,log_player_rank,225.82411813735962,17
WTA,aces,player_l12m_aces_allowed_rate,200.70376062393188,18
WTA,aces,opponent_l12m_second_win_pct,198.30484056472778,21
WTA,aces,opponent_l12m_matches,194.4124813079834,16
WTA,aces,incumbent_dfs,193.01772928237915,20
WTA,aces,player_career4y_matches,191.94305753707886,17
WTA,aces,player_hand,188.11527013778687,20
WTA,aces,opponent_l24m_svpt_per_match,181.4636902809143,19
WTA,aces,opponent_l24m_first_serve_pct,163.08770036697388,18
WTA,aces,opponent_l24m_first_win_pct,141.62602949142456,16
WTA,aces,player_l12m_df_rate,136.58703184127808,12
WTA,aces,opponent_l12m_first_serve_pct,118.27223014831543,14
WTA,aces,opponent_l24m_df_rate,114.7456579208374,11
WTA,aces,opponent_career4y_first_serve_pct,114.09174871444702,13
WTA,aces,opponent_l24m_ace_rate,104.77704048156738,10
WTA,aces,opponent_career4y_ace_rate,103.29394960403442,11
WTA,aces,player_l24m_aces_allowed_rate,76.90569019317627,9
WTA,aces,log_opponent_rank,73.0702600479126,6
WTA,aces,best_of,0.0,0
WTA,aces,opponent_hand,0.0,0
WTA,aces,surface,0.0,0
WTA,dfs,incumbent_dfs,42337.32968044281,345
WTA,dfs,player_career4y_df_rate,14906.749654769897,229
WTA,dfs,venue_df_factor,6157.261995315552,355
WTA,dfs,player_df_rate_blend,5598.067663192749,136
WTA,dfs,player_l24m_df_rate,3568.811532974243,20
WTA,dfs,player_l12m_df_rate,1691.78697681427,72
WTA,dfs,player_rank,1631.905945301056,129
WTA,dfs,surface_prior_df_rate,1580.3823580741882,132
WTA,dfs,round,1438.3341388702393,118
WTA,dfs,player_career4y_first_win_pct,946.9107928276062,73
WTA,dfs,player_height,899.2357630729675,72
WTA,dfs,player_l12m_first_serve_pct,861.9295291900635,69
WTA,dfs,surface_prior_ace_rate,750.5605044364929,69
WTA,dfs,player_ret_first_blend,677.0848617553711,54
WTA,dfs,player_l24m_aces_allowed_rate,661.7095084190369,54
WTA,dfs,player_career4y_svpt_per_match,607.2554693222046,49
WTA,dfs,opponent_l12m_aces_allowed_rate,603.8585305213928,57
WTA,dfs,expected_match_games,594.2155332565308,61
WTA,dfs,expected_service_points,569.4179692268372,46
WTA,dfs,venue_history_matches,558.0998167991638,53
WTA,dfs,player_aces_allowed_blend,550.4248595237732,49
WTA,dfs,player_career4y_ace_rate,525.7809987068176,46
WTA,dfs,player_age,515.1719102859497,53
WTA,dfs,player_ret_second_blend,510.76528882980347,51
WTA,dfs,rank_log_gap,481.5172824859619,49
WTA,dfs,player_l24m_first_win_pct,398.3719072341919,29
WTA,dfs,player_l12m_ace_rate,395.78863048553467,39
WTA,dfs,opponent_aces_allowed_blend,378.47197103500366,35
WTA,dfs,player_l24m_svpt_per_match,377.23934412002563,30
WTA,dfs,player_l24m_ace_rate,359.4435691833496,29
WTA,dfs,incumbent_aces,331.70215702056885,31
WTA,dfs,player_svpt_per_svg_blend,328.12278938293457,32
WTA,dfs,player_career4y_svpt,325.53008937835693,31
WTA,dfs,opponent_age,316.38162183761597,34
WTA,dfs,player_l12m_aces_allowed_rate,311.2959704399109,25
WTA,dfs,venue_ace_factor,298.42510986328125,22
WTA,dfs,opponent_rank,280.0673475265503,30
WTA,dfs,log_player_rank,267.73169708251953,22
WTA,dfs,opponent_l12m_svpt_per_match,242.66664123535156,21
WTA,dfs,player_l24m_second_win_pct,229.1044216156006,23
WTA,dfs,opponent_return_factor,215.14020824432373,23
WTA,dfs,player_l12m_svpt,213.69051790237427,20
WTA,dfs,opponent_ret_first_blend,202.73144006729126,24
WTA,dfs,player_career4y_first_serve_pct,193.79394006729126,18
WTA,dfs,opponent_l12m_df_rate,187.74438905715942,18
WTA,dfs,player_career4y_aces_allowed_rate,174.47299909591675,19
WTA,dfs,player_ace_rate_blend,172.55120992660522,16
WTA,dfs,opponent_l24m_df_rate,172.04522943496704,18
WTA,dfs,level,170.9798698425293,18
WTA,dfs,player_career4y_matches,169.55277013778687,18
WTA,dfs,opponent_career4y_df_rate,168.7204189300537,18
WTA,dfs,player_career4y_second_win_pct,167.80679035186768,13
WTA,dfs,player_l24m_first_serve_pct,165.89580965042114,19
WTA,dfs,player_l12m_second_win_pct,158.55389070510864,16
