tour,year,date,tournament,round,surface,player1,player2,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence
ATP,2023,2023-01-16,Australian Open,R128,Hard,Denis Shapovalov,Dusan Lajovic,21,23.601,24.171,9,11.184999999999999,15.312,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Denis Shapovalov,Hubert Hurkacz,36,31.133000000000003,34.116,22,10.24,13.524,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Denis Shapovalov,Taro Daniel,11,23.601,24.171,14,11.184999999999999,15.312,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Diego Schwartzman,J J Wolf,18,22.881,12.054,2,8.102,7.349,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Diego Schwartzman,Oleksii Krutykh,17,22.051000000000002,11.623,7,8.69,9.646,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Emil Ruusuvuori,Max Purcell,31,21.945999999999998,19.009999999999998,9,8.350999999999999,7.302,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Enzo Couacaud,Hugo Dellien,5,22.886,23.246,5,8.542,8.038,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Enzo Couacaud,Novak Djokovic,16,22.341,21.737000000000002,8,9.198,9.413,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Ernesto Escobedo,Taro Daniel,26,22.886,23.246,6,8.542,8.038,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Fabio Fognini,Thanasi Kokkinakis,18,30.456000000000003,29.442,3,10.149000000000001,18.399,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Federico Coria,Marton Fucsovics,10,18.406,14.253,8,8.364,7.175000000000001,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Felix Auger Aliassime,Francisco Cerundolo,12,20.355,15.674000000000001,8,8.389,7.504,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R16,Hard,Felix Auger Aliassime,Jiri Lehecka,29,22.028,21.597,10,7.595000000000001,5.856999999999999,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Felix Auger Aliassime,Vasek Pospisil,27,23.433999999999997,24.41,14,8.436,7.673,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Filip Krajinovic,Holger Rune,15,24.613,29.115000000000002,7,9.163,12.370000000000001,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Frances Tiafoe,Juncheng Shang,21,23.833,24.549,4,8.559000000000001,8.189,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Frances Tiafoe,Karen Khachanov,35,23.669,23.78,9,8.552,8.19,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Francisco Cerundolo,Guido Pella,6,19.914,14.51,3,8.495000000000001,7.869,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Gregoire Barrere,Tomas Martin Etcheverry,17,24.305999999999997,27.43,4,6.943,2.926,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Grigor Dimitrov,Laslo Djere,13,27.991,31.076999999999998,9,9.019,10.084,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Grigor Dimitrov,Novak Djokovic,26,24.509999999999998,25.997,6,10.053999999999998,12.201,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Holger Rune,Maxime Cressy,20,31.294,48.794,19,11.718,22.669,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Holger Rune,Ugo Humbert,14,26.378,31.947000000000003,4,10.521,16.533,LOW,LOW
