Tennis Tie-Break Stage-0 Calibration Audit
Generated: 2026-06-17T19:15:21
Evaluation years: 2024, 2025, 2026
Outcome-only validation. No odds, no ROI, no CLV.
Model probabilities use serve/return strength plus past-only venue factors and past-only same-event bumps.
Naive benchmark = past tournament tie-break rate, falling back to tour-surface rate.

Overall
Bucket                         N  1st actual/pred/naive  1st Brier m/n  Match actual/pred/naive  Match Brier m/n
WTA Upper Austria Ladies Lin  127  0.102/0.106/0.087        0.093/0.094        0.228/0.228/0.219        0.178/0.181
WTA WTA Finals                 30  0.167/0.129/0.148        0.142/0.143        0.267/0.251/0.259        0.197/0.200
WTA Western & Southern Open    78  0.077/0.127/0.137        0.074/0.075        0.218/0.236/0.233        0.172/0.172
WTA Wimbledon                 471  0.144/0.115/0.111        0.125/0.125        0.263/0.233/0.231        0.195/0.195
WTA Wuhan Open                146  0.110/0.109/0.094        0.098/0.100        0.240/0.230/0.222        0.184/0.188

Verdict
- First-set TB calibration: PASS research gate
- Match TB calibration: PASS research gate

Strict betting-readiness gate
- Probability gate: FAIL
- Market/CLV gate: FAIL
- Recommendations allowed: NO
- Gate reason: probability_gate_failed
- first_set: FAIL; n=19411; mean_error=0.0031; brier=0.1267 vs naive 0.1285; logloss=0.4176 vs naive 0.4302; ece=0.0053; failed=max_bin_gap_le_3pp,brier_beats_naive_by_0_002
- match: FAIL; n=19411; mean_error=0.0050; brier=0.2031 vs naive 0.2076; logloss=0.5945 vs naive 0.6121; ece=0.0090; failed=max_bin_gap_le_3pp
- Do not turn this into betting recommendations until Bet365 line capture exists and settled CLV/ROI are tracked.
- If model Brier does not beat naive, venue/team/player factors are not adding useful signal yet.
