tour,year,date,tournament,round,surface,player,opponent,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence,expected_service_points,same_tournament_matches,notes
ATP,2024,2024-01-15,Australian Open,R128,Hard,Karen Khachanov,Daniel Altmaier,15,12.793,11.588,4,2.932,2.816,MED,HIGH,115.931,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Daniel Altmaier,Karen Khachanov,10,10.083,9.781,3,3.567,3.591,MED,MED,123.255,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alex De Minaur,Milos Raonic,10,6.788,5.972,1,3.903,4.066,MED,HIGH,116.050,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Milos Raonic,Alex De Minaur,12,19.938,27.483,1,5.601,7.897,LOW,LOW,113.408,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Matteo Arnaldi,Adam Walton,16,8.867,8.527,1,4.336,4.609,MED,MED,123.693,0,NO_OPP_DATA;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Adam Walton,Matteo Arnaldi,1,10.890,9.259,0,3.406,0.000,LOW,LOW,118.053,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Pavel Kotov,Arthur Rinderknech,9,6.639,5.396,4,3.958,4.139,MED,MED,120.256,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Arthur Rinderknech,Pavel Kotov,18,14.436,14.457,6,4.112,4.306,MED,MED,118.217,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Flavio Cobolli,Nicolas Jarry,14,9.598,7.413,4,3.711,4.236,LOW,LOW,114.904,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Nicolas Jarry,Flavio Cobolli,8,13.228,13.294,2,2.727,2.600,MED,MED,113.271,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Sebastian Korda,Vit Kopriva,12,12.394,12.418,5,3.271,3.355,MED,HIGH,118.948,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Vit Kopriva,Sebastian Korda,13,10.930,10.184,11,3.888,4.061,LOW,LOW,118.045,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Quentin Halys,Lloyd Harris,21,20.445,18.516,5,5.191,6.090,MED,MED,114.635,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Lloyd Harris,Quentin Halys,15,18.428,17.531,2,4.441,4.923,MED,MED,115.511,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Christopher Eubanks,Taro Daniel,9,15.562,15.045,2,3.622,3.761,MED,MED,118.618,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
