captured_at,match_date,event_id,kickoff_at,minutes_to_kickoff,snapshot_kind,bookmaker,competition,market,home_team,away_team,player_name,player_team,odds_decimal,source,notes
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Luan Gadegbeku,,6.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Luan Gadegbeku (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Paul Eymard,,6.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Paul Eymard (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Benjamin Old,,6.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Benjamin Old (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Gabin Bernardeau,,6.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Gabin Bernardeau (Assist) (2)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Djibril Coulibaly,,6.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Djibril Coulibaly (Assist) (2)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Aimen Moueffek,,8.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Aimen Moueffek (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Abdoulaye Kante,,8.5000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Abdoulaye Kante (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Julien Le Cardinal,,9.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Julien Le Cardinal (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Youssouf Ndayishimiye,,10.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Youssouf Ndayishimiye (Assist) (2)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Kevin Pedro,,13.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Kevin Pedro (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Mickael Nade,,13.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Mickael Nade (Assist) (1)
