venue_key,match_date,temp_mean_c,humidity_pct,humidity_source,wind_max_kph,precipitation_mm,source
jockey_club_brasileiro_rio,2023-02-23,25.5,85.625,hourly_aggregated,15.3,0.3,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2023-02-24,26.1,85.958,hourly_aggregated,17.3,0,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2023-02-25,27.2,78.333,hourly_aggregated,13.1,0,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2023-02-26,28.1,79.167,hourly_aggregated,16.2,0,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2024-02-19,25.5,85.667,hourly_aggregated,13.4,3.2,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2024-02-20,25.3,86.25,hourly_aggregated,14.2,4.6,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2024-02-21,25,91.083,hourly_aggregated,14.9,21.6,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2024-02-22,27,81.667,hourly_aggregated,8.7,0.4,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2024-02-23,28.4,74.125,hourly_aggregated,12.7,0,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2024-02-24,29.1,72.583,hourly_aggregated,12.4,0.2,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2024-02-25,27.7,83.667,hourly_aggregated,15,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2022-05-01,17.5,59.458,hourly_aggregated,16.9,1.1,open-meteo:daily+hourly-humidity
madrid_caja_magica,2022-05-02,13.6,73,hourly_aggregated,17,3.9,open-meteo:daily+hourly-humidity
madrid_caja_magica,2022-05-03,12.8,74.958,hourly_aggregated,23,6.2,open-meteo:daily+hourly-humidity
madrid_caja_magica,2022-05-04,14.4,61,hourly_aggregated,20.9,0.1,open-meteo:daily+hourly-humidity
madrid_caja_magica,2022-05-05,15.5,56.083,hourly_aggregated,14.3,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2022-05-06,15.6,50.417,hourly_aggregated,17.6,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2022-05-07,16.7,47.875,hourly_aggregated,16.4,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2022-05-08,18.5,45.417,hourly_aggregated,16.8,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-04-26,21.6,33.167,hourly_aggregated,17.3,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-04-27,23.1,28.667,hourly_aggregated,18.9,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-04-28,24.2,30.833,hourly_aggregated,20.8,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-04-29,21.7,37.417,hourly_aggregated,19.2,3.2,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-04-30,19.5,46.792,hourly_aggregated,21.2,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-05-01,19.4,38.083,hourly_aggregated,14.6,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-05-02,21.1,26.458,hourly_aggregated,15.1,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-05-03,22.4,29.75,hourly_aggregated,23.8,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-05-04,20.2,36.708,hourly_aggregated,24.2,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-05-05,19.8,33.917,hourly_aggregated,15,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2023-05-07,21.2,39.125,hourly_aggregated,16.5,0.2,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-04-24,12,40.5,hourly_aggregated,20.4,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-04-25,13.3,42.875,hourly_aggregated,18.8,0.2,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-04-26,12.7,52.583,hourly_aggregated,25.8,0.1,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-04-27,11.2,69.958,hourly_aggregated,27.2,14.7,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-04-28,10.7,63.833,hourly_aggregated,10.3,0.5,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-04-29,11.8,62.75,hourly_aggregated,20.8,0.5,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-04-30,12.4,69.25,hourly_aggregated,24.2,0.1,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-05-01,9.9,64.167,hourly_aggregated,24.2,2.9,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-05-03,12.3,59.208,hourly_aggregated,19.2,0,open-meteo:daily+hourly-humidity
madrid_caja_magica,2024-05-05,15.7,68.875,hourly_aggregated,29.2,0.3,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2022-04-10,11.7,33.375,hourly_aggregated,13.2,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2022-04-11,12,48.417,hourly_aggregated,15.2,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2022-04-12,13.1,57.25,hourly_aggregated,28.1,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2022-04-13,15.5,51.583,hourly_aggregated,26.6,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2022-04-14,18.2,38.583,hourly_aggregated,16.4,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2022-04-15,19,37.792,hourly_aggregated,12,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2022-04-16,19.7,39.75,hourly_aggregated,19.6,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2022-04-17,16.8,46.833,hourly_aggregated,25.4,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2023-04-09,13.3,62.75,hourly_aggregated,18.8,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2023-04-10,13.5,61.708,hourly_aggregated,14.4,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2023-04-11,14.6,74,hourly_aggregated,16.8,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2023-04-12,14.1,80.083,hourly_aggregated,14.2,1.4,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2023-04-13,12.2,72.875,hourly_aggregated,16.9,6.3,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2023-04-14,13.5,40.208,hourly_aggregated,16.8,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2023-04-15,12.9,64.125,hourly_aggregated,12.6,1.3,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2023-04-16,14.4,52.333,hourly_aggregated,12.2,0.3,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2024-04-07,14.9,78.417,hourly_aggregated,7.6,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2024-04-08,16.9,63.458,hourly_aggregated,12.7,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2024-04-09,14,80.667,hourly_aggregated,13.2,20.9,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2024-04-10,13.2,72.583,hourly_aggregated,14.6,2.1,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2024-04-11,15.6,72.708,hourly_aggregated,11.1,0.8,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2024-04-12,17.9,62.667,hourly_aggregated,8.4,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2024-04-13,19.5,67.042,hourly_aggregated,6.2,0,open-meteo:daily+hourly-humidity
monte_carlo_country_club,2024-04-14,18.5,76.25,hourly_aggregated,6.3,0,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2022-04-25,10.3,76.542,hourly_aggregated,19.1,2.7,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2022-04-26,7.9,85.875,hourly_aggregated,27.5,5.2,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2022-04-27,8,77.792,hourly_aggregated,11.2,6.1,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2022-04-28,9.3,68.083,hourly_aggregated,15.6,0,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2022-04-29,10.9,60.125,hourly_aggregated,17.7,0,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2022-04-30,9.2,79.833,hourly_aggregated,13.7,3.2,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2023-04-17,7.1,86.542,hourly_aggregated,14.8,2.9,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2023-04-18,8.4,83,hourly_aggregated,17.9,0.7,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2023-04-20,5.5,89.333,hourly_aggregated,19.8,4.6,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2023-04-21,10.1,79.042,hourly_aggregated,12.7,1.8,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2023-04-22,13.3,67.417,hourly_aggregated,11.9,0,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2023-04-23,12.5,81.667,hourly_aggregated,18.1,14,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2024-04-15,13.8,71.708,hourly_aggregated,28.1,5.3,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2024-04-16,6.7,68.667,hourly_aggregated,34.7,4.6,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2024-04-17,4.7,83.792,hourly_aggregated,20.8,7.6,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2024-04-18,3.6,81.875,hourly_aggregated,12.7,1.4,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2024-04-19,4,82.708,hourly_aggregated,35.6,6.5,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2024-04-20,4.4,75.292,hourly_aggregated,21.7,2.6,open-meteo:daily+hourly-humidity
mtc_iphitos_munich,2024-04-21,2.9,87.208,hourly_aggregated,13.2,10.3,open-meteo:daily+hourly-humidity
nastase_marica_sports_club_bucharest,2024-04-15,20.4,56.25,hourly_aggregated,14.6,0,open-meteo:daily+hourly-humidity
nastase_marica_sports_club_bucharest,2024-04-16,21.8,47.292,hourly_aggregated,22.7,0,open-meteo:daily+hourly-humidity
nastase_marica_sports_club_bucharest,2024-04-17,15.1,86.042,hourly_aggregated,17.7,26.3,open-meteo:daily+hourly-humidity
