tour_id,player1_id,player2_id,round_id,draw,result
21317,31446,56197,4,6,7-6(9) 7-5
21317,64891,39863,4,7,6-4 3-6 6-2
21317,3700,33648,4,8,bye
21317,24245,3700,4,9,bye
21317,42971,87512,4,10,7-6(1) 7-5
21317,58149,63737,4,11,7-6(5) 6-4
21317,3700,76127,4,12,bye
21317,27851,3700,4,13,bye
21317,18094,73956,4,14,6-0 6-1
21317,42451,61971,4,15,7-5 6-0
21317,3700,39309,4,16,bye
21317,5992,3700,4,17,bye
21317,28898,71174,4,18,6-3 1-6 7-5
21317,39152,26473,4,19,7-6(6) 7-6(4)
21317,3700,36263,4,20,bye
21317,52279,3700,4,21,bye
21317,28899,61857,4,22,6-4 6-3
21317,1837,52140,4,23,6-4 6-7(2) 6-4
21317,3700,63017,4,24,bye
21317,22807,3700,4,25,bye
21317,30087,99691,4,26,6-1 6-2
21547,83553,99983,5,1,6-2 6-4
21547,67979,45942,5,2,6-4 6-3
21547,45197,36897,5,3,6-4 6-4
21547,90178,76725,5,4,6-4 6-2
21547,40795,122694,5,5,6-0 6-1
21547,55656,103348,5,6,6-2 6-3
21547,21177,36278,5,7,5-0 ret.
21547,59169,58441,5,8,7-5 6-0
21547,67979,83553,9,1,6-1 6-2
21547,45197,90178,9,2,6-2 6-3
21547,40795,55656,9,3,6-7(5) 6-2 6-2
21547,59169,21177,9,4,6-0 6-1
21547,67979,45197,10,1,
21547,40795,59169,10,2,
21547,3700,3700,12,1,
21543,125594,126897,4,1,6-1 6-7(6) 10-8
21543,103160,126898,4,2,6-2 6-4
21543,126900,126899,4,3,6-3 3-6 10-5
21543,118737,126901,4,4,6-3 6-2
21543,126903,126902,4,5,7-5 6-4
21543,68565,126904,4,6,6-4 6-4
21543,121905,126907,4,7,6-2 6-4
21543,126908,106625,4,8,6-4 6-2
21543,125594,103160,9,1,6-2 7-6(4)
21543,126900,118737,9,2,6-1 5-7 10-5
21543,68565,126903,9,3,7-6(2) 3-6 12-10
21543,121905,126908,9,4,6-2 6-3
21543,125594,126900,10,1,6-3 6-4
21543,68565,121905,10,2,6-4 6-3
21543,125594,68565,12,1,
21547,126909,126910,4,1,6-2 6-4
21547,117958,126911,4,2,6-3 6-4
21547,126738,126912,4,3,6-4 6-4
21547,126986,126913,4,4,6-4 6-4
21547,126915,126737,4,5,6-2 7-5
21547,121900,125574,4,6,6-3 6-4
21547,97488,93530,4,7,5-7 7-6(6) 14-12
21547,126916,114239,4,8,3-6 6-3 10-5
21547,117958,126909,9,1,6-1 2-6 10-8
21547,126986,126738,9,2,3-6 6-4 10-7
21547,121900,126915,9,3,6-7(3) 6-4 10-8
21317,52721,47557,4,27,6-3 6-2
21317,3700,61838,4,28,bye
21317,38911,3700,4,29,bye
21317,92985,83223,4,30,6-3 6-4
21317,68090,13447,4,31,6-3 6-3
21317,3700,29932,4,32,bye
21317,63572,3700,4,33,bye
21317,13674,24721,4,34,7-5 6-3
21317,85899,67986,4,35,7-6(5) 3-6 7-5
21317,3700,83135,4,36,bye
21317,29372,3700,4,37,bye
21317,68627,72578,4,38,7-6(5) 6-4
21317,5917,39043,4,39,6-3 6-4
21317,3700,40434,4,40,bye
21317,67546,3700,4,41,bye
21317,34337,29732,4,42,6-3 1-0 ret.
21317,40609,34233,4,43,6-3 6-4
21317,3700,29939,4,44,bye
21317,56846,3700,4,45,bye
21317,42229,72574,4,46,7-6(5) 6-3
21317,29812,7806,4,47,4-6 7-5 7-5
21317,3700,24008,4,48,bye
21317,87562,3700,4,49,bye
21317,28087,82269,4,50,7-5 7-6(3)
