date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,p_a,p_b,confidence,score
2026-03-10,Cherbourg Challenger,I.hard,,Challenger,Patrick Brady,Pierre-Hugues Herbert,87770,14727,0.273648,0.172397,3.6543,4.79,1.206,Patrick Brady,31.078,winner,win,False,0.201134,Pierre-Hugues Herbert,0.726352,0.346423,0.181684,,0.539049217423711,0.5687081704912759,medium,7-6(5) 4-6 6-4
2026-03-10,Cherbourg Challenger,I.hard,,Challenger,Pavel Kotov,Clement Chidekh,45553,55828,0.436182,0.459236,2.2926,2.4,1.621,Pavel Kotov,4.684,winner,skip,False,0.403134,Clement Chidekh,0.563818,0.471059,0.45606,,0.5626407756844565,0.568020612673438,high,1-6 6-1 7-6(4)
2026-03-10,Hersonissos 2 Challenger,Hard,,Challenger,Daniel Rincon,Buvaysar Gadamauri,76010,54146,0.548419,0.510392,1.8234,1.704,2.19,Daniel Rincon,-1.104,loser,skip,False,0.562404,Daniel Rincon,0.548419,0.58041,0.537087,,0.5351995248861117,0.52,medium,6-7(4) 6-4 6-2
2026-03-10,Hersonissos 2 Challenger,Hard,,Challenger,Federico Iannaccone,Lorenzo Carboni,51966,100196,0.576418,0.565579,1.7349,2.08,1.781,Federico Iannaccone,19.895,winner,win,False,0.461279,Federico Iannaccone,0.576418,0.166807,0.571448,,0.52,0.5930482988461692,low,6-2 6-3
2026-03-10,Hersonissos 2 Challenger,Hard,,Challenger,Maxim Mrva,Dimitar Kuzmanov,97984,17837,0.390691,0.370495,2.5596,2.41,1.595,Maxim Mrva,-2.815,loser,skip,False,0.398252,Dimitar Kuzmanov,0.609309,0.499859,0.315725,,0.52,0.52,high,6-2 6-4
2026-03-10,Hersonissos 2 Challenger,Hard,,Challenger,Petr Nesterov,Maximus Jones,81784,82696,0.553011,0.519445,1.8083,1.556,2.5,Petr Nesterov,11.747,loser,loss,False,0.616371,Petr Nesterov,0.553011,0.707005,0.452267,,0.5661418383678252,0.5251101785361024,medium,3-6 6-3 6-4
2026-03-10,Hersonissos 2 Challenger,Hard,,Challenger,Toby Samuel,Menelaos Efstathiou,79068,38728,0.689207,0.771642,1.4509,1.053,11.95,Toby Samuel,271.398,loser,policy_skip,True,0.919019,Toby Samuel,0.689207,0.641631,0.746451,,0.5472153950570189,0.52,medium,7-6(2) 6-1
2026-03-10,Hersonissos 2 Challenger,Hard,,Challenger,Tom Gentzsch,Jacopo Berrettini,86351,46422,0.572945,0.558749,1.7454,1.535,2.55,Tom Gentzsch,8.899,loser,loss,False,0.624235,Tom Gentzsch,0.572945,0.550427,0.515033,,0.553031357730845,0.543390360782266,medium,2-6 6-4 6-2
2026-03-10,Kigali 2 Challenger,Clay,,Challenger,Arthur Gea,Cesar Bouchelaghem,87277,81412,0.731834,0.835201,1.3664,1.062,11.77,Arthur Gea,215.631,loser,policy_skip,True,0.917238,Arthur Gea,0.731834,0.749299,0.822927,,0.5705696502770343,0.52,low,2-6 7-6(3) 6-4
2026-03-10,Kigali 2 Challenger,Clay,,Challenger,Maximilian Neuchrist,Florent Bax,16998,54208,0.561498,0.536188,1.781,2.34,1.649,Maximilian Neuchrist,31.39,winner,win,False,0.413387,Maximilian Neuchrist,0.561498,0.425406,0.594855,,0.6284400296351408,0.643122636945018,medium,7-6(5) 6-7(4) 7-6(6)
2026-03-10,Kigali 2 Challenger,Clay,,Challenger,Sean Cuenin,Gabriele Pennaforti,71357,86545,0.343177,0.282922,2.9139,1.503,2.72,Sean Cuenin,78.656,loser,loss,False,0.644092,Gabriele Pennaforti,0.656823,0.126286,0.383785,,0.5336016450516311,0.620977075143931,medium,6-2 7-6(3)
2026-03-10,Phoenix Challenger,Hard,,Challenger,Stefan Kozlov,Marc Polmans,26221,25365,0.560159,0.533547,1.7852,1.524,2.56,Stefan Kozlov,12.599,loser,loss,False,0.626836,Stefan Kozlov,0.560159,0.551505,0.545876,,0.529728020192612,0.52,high,6-1 3-6 6-4
2026-03-10,Phoenix Challenger,Hard,,Challenger,Stefano Travaglia,Aidan Mayo,12097,76333,0.636226,0.680037,1.5718,1.287,3.68,Stefano Travaglia,33.869,loser,policy_skip,True,0.74089,Stefano Travaglia,0.636226,0.736241,0.640956,,0.571506109951972,0.5239461915084609,high,6-1 1-6 6-3
2026-03-10,Santiago Challenger,Clay,,Challenger,Adolfo Daniel Vallejo,Gonzalo Villanueva,80391,24841,0.692012,0.776129,1.4451,1.138,6.33,Adolfo Daniel Vallejo,94.956,loser,policy_skip,True,0.847616,Adolfo Daniel Vallejo,0.692012,0.599083,0.805193,,0.5388486147878464,0.52,high,6-3 6-4
2026-03-10,Santiago Challenger,Clay,,Challenger,Diego Dedura,Daniel Elahi Galan,104494,26845,0.411828,0.411387,2.4282,2.04,1.826,Diego Dedura,7.4,loser,loss,False,0.472323,Daniel Elahi Galan,0.588172,0.460443,0.332231,,0.5458377832085711,0.5532076813043163,high,6-4 7-5
2026-03-10,Santiago Challenger,Clay,,Challenger,Franco Agamenone,Guido Ivan Justo,17972,61966,0.409105,0.406077,2.4444,2.5,1.578,Franco Agamenone,2.276,winner,skip,False,0.386954,Guido Ivan Justo,0.590895,0.499859,0.432766,,0.52,0.52,high,6-1 6-7(5) 6-1
2026-03-10,Santiago Challenger,Clay,,Challenger,Genaro Alberto Olivieri,Gustavo Heide,37577,74899,0.363803,0.320016,2.7487,4.06,1.27,Genaro Alberto Olivieri,47.704,winner,policy_skip,True,0.238274,Gustavo Heide,0.636197,0.274979,0.324361,,0.5250042352056652,0.569864840675068,high,3-6 6-3 4-0 ret.
2026-03-10,Santiago Challenger,Clay,,Challenger,Henrique Rocha,Pedro Sakamoto,83794,18348,0.637285,0.68198,1.5692,1.182,5.22,Henrique Rocha,89.337,loser,policy_skip,True,0.81537,Henrique Rocha,0.637285,0.58039,0.695491,,0.5522662370643413,0.5369610179117531,high,2-6 6-3 6-3
2026-03-10,Santiago Challenger,Clay,,Challenger,Nicolas Moreno De Alboran,Matias Soto,33284,58609,0.669403,0.738852,1.4939,1.376,3.21,Nicolas Moreno De Alboran,6.122,loser,loss,False,0.699956,Nicolas Moreno De Alboran,0.669403,0.616678,0.747797,,0.605626558787467,0.5824565843773681,medium,7-5 6-3
2026-03-11,Cherbourg Challenger,I.hard,,Challenger,August Holmgren,Thomas Faurel,47387,100234,0.665804,0.732694,1.5019,1.694,2.23,August Holmgren,12.787,winner,win,False,0.568298,August Holmgren,0.665804,0.964006,0.618098,,0.746844778975297,0.5952486861351362,medium,6-1 4-6 6-4
2026-03-11,Cherbourg Challenger,I.hard,,Challenger,Borna Gojo,Geoffrey Blancaneaux,30550,35036,0.693331,0.778224,1.4423,1.242,4.29,Borna Gojo,31.561,loser,loss,False,0.775488,Borna Gojo,0.693331,0.710066,0.728316,,0.6017460735985529,0.5591848070590373,medium,7-5 6-7(4) 6-4
2026-03-11,Cherbourg Challenger,I.hard,,Challenger,Clement Tabur,Antoine Ghibaudo,47259,83330,0.617884,0.645824,1.6184,1.433,2.93,Clement Tabur,11.96,loser,loss,False,0.671556,Clement Tabur,0.617884,0.690151,0.617102,,0.6027028897007591,0.5644757997176946,high,6-2 6-2
2026-03-11,Cherbourg Challenger,I.hard,,Challenger,Murphy Cassone,Dan Added,81980,40605,0.641099,0.688944,1.5598,1.532,2.63,Murphy Cassone,-1.784,winner,skip,False,0.631908,Murphy Cassone,0.641099,0.687906,0.609205,,0.6184375569447443,0.5801820374749234,high,6-2 6-3
2026-03-11,Cherbourg Challenger,I.hard,,Challenger,Pavel Kotov,Matteo Martineau,45553,35323,0.614249,0.638928,1.628,1.418,3.0,Pavel Kotov,15.725,loser,loss,False,0.67904,Pavel Kotov,0.614249,0.671533,0.63775,,0.6359728119923231,0.6006638153231685,high,6-4 6-7(1) 7-6(3)
2026-03-11,Cherbourg Challenger,I.hard,,Challenger,Remy Bertola,Nicolai Budkov Kjaer,35296,104215,0.394072,0.376978,2.5376,3.12,1.392,Remy Bertola,22.951,winner,win,False,0.308511,Nicolai Budkov Kjaer,0.605928,0.447565,0.333541,,0.5641148287447588,0.5740054437284139,high,7-5 6-1
2026-03-11,Hersonissos 2 Challenger,Hard,,Challenger,Kimmer Coppejans,Abedallah Shelbayh,23298,76009,0.435559,0.458007,2.2959,1.909,1.926,Kimmer Coppejans,8.711,loser,loss,False,0.502216,Abedallah Shelbayh,0.564441,0.473667,0.477995,,0.52,0.5248782353454686,high,2-6 6-1 7-6(5)
2026-03-11,Kigali 2 Challenger,Clay,,Challenger,Marco Cecchinato,Sandro Kopp,20104,44209,0.643458,0.693225,1.5541,1.485,2.78,Marco Cecchinato,-0.881,loser,skip,False,0.651817,Marco Cecchinato,0.643458,0.612799,0.697496,,0.5811016759835428,0.5591902145197948,high,4-6 6-3 6-4
2026-03-11,Santiago Challenger,Clay,,Challenger,Gonzalo Bueno,Franco Agamenone,73983,17972,0.600378,0.612329,1.6656,1.503,2.68,Gonzalo Bueno,7.099,loser,loss,False,0.640689,Gonzalo Bueno,0.600378,0.499859,0.599176,,0.52,0.52,high,6-3 6-3
