cell_id,edge_lo,edge_hi,direction_filter,confidence_filter,series_filter,side_filter,split,n_bets,wins,losses,roi_flat,roi_boot_lb,roi_boot_ub,log_loss_model,log_loss_pinnacle,delta_log_loss,brier_model,brier_pinnacle,ece,clv_avg,clv_pos_rate,clv_n,clv_match_rate,clv_informative
edge3-8|agree-with-pinnacle|high+medium|ATP250|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,model-fav,pooled_2022_2024,40.0,21.0,19.0,-15.775,-40.95,9.225,0.6823,0.6658,0.0165,0.2461,0.2373,0.1352,,,40.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,model-fav,2022,16.0,9.0,7.0,-11.5,-52.5,29.3125,0.6549,0.644,0.0109,0.2337,0.227,0.1814,,,16.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,model-fav,2023,14.0,9.0,5.0,5.2857,-37.2857,46.9286,0.5975,0.6129,-0.0155,0.2061,0.2117,0.1495,,,14.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,model-fav,2024,10.0,3.0,7.0,-52.1,-100.0,-4.2,0.8449,0.7748,0.0702,0.322,0.2897,0.3511,,,10.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,model-dog,pooled_2022_2024,34.0,11.0,23.0,-13.1176,-56.0882,33.8824,0.6277,0.6199,0.0078,0.2192,0.2156,0.0867,,,34.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,model-dog,2022,13.0,2.0,11.0,-54.6154,-100.0,13.6154,0.5444,0.5179,0.0265,0.1796,0.1674,0.2071,,,13.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,model-dog,2023,11.0,5.0,6.0,21.4545,-54.3636,99.0,0.7028,0.7098,-0.007,0.2546,0.2575,0.1259,,,11.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,model-dog,2024,10.0,4.0,6.0,2.8,-75.0,81.0,0.6534,0.6537,-0.0003,0.2316,0.2321,0.147,,,10.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,both,pooled_2022_2024,74.0,32.0,42.0,-14.5541,-37.3649,8.4189,0.6572,0.6447,0.0125,0.2337,0.2273,0.079,,,74.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,both,2022,29.0,11.0,18.0,-30.8276,-64.5862,3.6207,0.6054,0.5875,0.0179,0.2095,0.2003,0.1371,,,29.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,both,2023,25.0,14.0,11.0,12.4,-30.48,55.32,0.6438,0.6555,-0.0118,0.2274,0.2319,0.0998,,,25.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP250|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP250,both,2024,20.0,7.0,13.0,-24.65,-69.5,20.35,0.7492,0.7142,0.0349,0.2768,0.2609,0.1753,,,20.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,model-fav,pooled_2022_2024,4.0,3.0,1.0,11.25,,,0.4975,0.5288,-0.0313,0.159,0.1708,0.3696,,,4.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,model-fav,2022,3.0,3.0,0.0,48.3333,,,0.3329,0.4196,-0.0867,0.0802,0.1174,0.2831,,,3.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,model-fav,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge3-8|agree-with-pinnacle|high+medium|ATP500|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,model-fav,2024,1.0,0.0,1.0,-100.0,,,0.9915,0.8566,0.135,0.3956,0.3311,0.629,,,1.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,model-dog,pooled_2022_2024,9.0,3.0,6.0,-19.4444,-73.8889,63.0,0.5956,0.5893,0.0063,0.2048,0.2025,0.1284,,,9.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,model-dog,2022,1.0,1.0,0.0,152.0,,,0.8502,0.9536,-0.1034,0.3279,0.3778,0.5727,,,1.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,model-dog,2023,4.0,0.0,4.0,-100.0,,,0.4111,0.364,0.0471,0.1172,0.0964,0.3313,,,4.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,model-dog,2024,4.0,2.0,2.0,18.25,,,0.7165,0.7234,-0.007,0.2616,0.2649,0.0421,,,4.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,both,pooled_2022_2024,13.0,6.0,7.0,-10.0,-62.5385,45.8462,0.5654,0.5707,-0.0052,0.1907,0.1928,0.1458,,,13.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,both,2022,4.0,4.0,0.0,74.25,,,0.4622,0.5531,-0.0909,0.1421,0.1825,0.3555,,,4.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,both,2023,4.0,0.0,4.0,-100.0,,,0.4111,0.364,0.0471,0.1172,0.0964,0.3313,,,4.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP500|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP500,both,2024,5.0,2.0,3.0,-5.4,-100.0,89.8,0.7715,0.7501,0.0214,0.2884,0.2781,0.1594,,,5.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,model-fav,pooled_2022_2024,26.0,16.0,10.0,1.2308,-29.7692,32.3077,0.6591,0.6599,-0.0009,0.2332,0.2336,0.0737,,,26.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,model-fav,2022,8.0,5.0,3.0,4.125,-57.375,60.375,0.6908,0.6888,0.002,0.2447,0.2459,0.2389,,,8.0,100.0,0.0
