cell_id,edge_lo,edge_hi,direction_filter,confidence_filter,series_filter,side_filter,split,n_bets,wins,losses,roi_flat,roi_boot_lb,roi_boot_ub,log_loss_model,log_loss_pinnacle,delta_log_loss,brier_model,brier_pinnacle,ece,clv_avg,clv_pos_rate,clv_n,clv_match_rate,clv_informative
edge4-10|agree-with-pinnacle|all|Masters1000|model-dog,4.0,10.0,agree-with-pinnacle,all,Masters1000,model-dog,2024,14.0,2.0,12.0,-61.7857,-100.0,-6.0714,0.5538,0.5208,0.033,0.1823,0.167,0.2496,,,14.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|Masters1000|both,4.0,10.0,agree-with-pinnacle,all,Masters1000,both,pooled_2022_2024,73.0,33.0,40.0,-16.2329,-38.2329,7.7534,0.6132,0.6072,0.0059,0.2116,0.2088,0.059,,,73.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|Masters1000|both,4.0,10.0,agree-with-pinnacle,all,Masters1000,both,2022,23.0,11.0,12.0,-14.0,-50.1304,26.7826,0.6216,0.6131,0.0085,0.2151,0.2119,0.0777,,,23.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|Masters1000|both,4.0,10.0,agree-with-pinnacle,all,Masters1000,both,2023,22.0,12.0,10.0,4.5,-39.7273,48.8182,0.6144,0.6301,-0.0157,0.2118,0.219,0.0948,,,22.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|Masters1000|both,4.0,10.0,agree-with-pinnacle,all,Masters1000,both,2024,28.0,10.0,18.0,-34.3571,-66.5714,1.3571,0.6053,0.5845,0.0208,0.2086,0.1981,0.0863,,,28.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|model-fav,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,model-fav,pooled_2022_2024,126.0,73.0,53.0,-5.8571,-19.6746,7.7619,0.6745,0.6644,0.0101,0.2414,0.2363,0.0948,,,126.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|model-fav,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,model-fav,2022,45.0,27.0,18.0,-3.3778,-25.9778,18.7556,0.6619,0.6536,0.0083,0.235,0.2309,0.0915,,,45.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|model-fav,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,model-fav,2023,38.0,26.0,12.0,14.0,-12.1316,37.3684,0.6005,0.6265,-0.026,0.2066,0.2179,0.0648,,,38.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|model-fav,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,model-fav,2024,43.0,20.0,23.0,-26.0,-49.9302,-2.8372,0.753,0.7091,0.0439,0.2786,0.2582,0.203,,,43.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|model-dog,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,model-dog,pooled_2022_2024,105.0,29.0,76.0,-27.581,-50.8762,-4.4857,0.5919,0.5781,0.0138,0.2015,0.1955,0.1118,,,105.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|model-dog,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,model-dog,2022,33.0,7.0,26.0,-44.1515,-77.2727,-5.8788,0.5484,0.5277,0.0207,0.181,0.172,0.1604,,,33.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|model-dog,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,model-dog,2023,36.0,12.0,24.0,-9.5556,-50.9167,33.9722,0.6296,0.6244,0.0053,0.2194,0.217,0.0589,,,36.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|model-dog,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,model-dog,2024,36.0,10.0,26.0,-30.4167,-66.0556,5.8611,0.594,0.5781,0.0159,0.2024,0.1955,0.1223,,,36.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|both,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,both,pooled_2022_2024,231.0,102.0,129.0,-15.7316,-28.7749,-1.7446,0.6369,0.6252,0.0118,0.2232,0.2177,0.0308,,,231.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|both,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,both,2022,78.0,34.0,44.0,-20.6282,-42.0385,-0.2564,0.6139,0.6003,0.0136,0.2122,0.206,0.038,,,78.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|both,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,both,2023,74.0,38.0,36.0,2.5405,-21.4459,26.8378,0.6147,0.6254,-0.0108,0.2129,0.2175,0.0483,,,74.0,100.0,0.0
edge4-10|agree-with-pinnacle|all|ATP-non-Slam|both,4.0,10.0,agree-with-pinnacle,all,ATP-non-Slam,both,2024,79.0,30.0,49.0,-28.0127,-47.5949,-6.8734,0.6805,0.6494,0.0311,0.2439,0.2296,0.0547,,,79.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP250|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,model-fav,pooled_2022_2024,12.0,4.0,8.0,-31.8333,-82.5,19.9167,0.7213,0.6883,0.0331,0.2641,0.2476,0.1973,,,12.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP250|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,model-fav,2022,3.0,1.0,2.0,-33.6667,,,0.7219,0.6726,0.0493,0.2643,0.2397,0.1997,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP250|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,model-fav,2023,2.0,1.0,1.0,5.5,,,0.6916,0.7132,-0.0215,0.2492,0.26,0.0198,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP250|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,model-fav,2024,7.0,2.0,5.0,-41.7143,-100.0,20.0,0.7296,0.6879,0.0417,0.2682,0.2474,0.247,,,7.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP250|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,model-dog,pooled_2022_2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP250|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,model-dog,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP250|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,model-dog,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP250|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,model-dog,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP250|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,both,pooled_2022_2024,12.0,4.0,8.0,-31.8333,-83.4167,20.9167,0.7213,0.6883,0.0331,0.2641,0.2476,0.1973,,,12.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP250|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,both,2022,3.0,1.0,2.0,-33.6667,,,0.7219,0.6726,0.0493,0.2643,0.2397,0.1997,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP250|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,both,2023,2.0,1.0,1.0,5.5,,,0.6916,0.7132,-0.0215,0.2492,0.26,0.0198,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP250|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP250,both,2024,7.0,2.0,5.0,-41.7143,-100.0,43.1429,0.7296,0.6879,0.0417,0.2682,0.2474,0.247,,,7.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP500|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,model-fav,pooled_2022_2024,1.0,0.0,1.0,-100.0,,,0.7985,0.688,0.1104,0.3025,0.2474,0.55,,,1.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP500|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,model-fav,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP500|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,model-fav,2023,1.0,0.0,1.0,-100.0,,,0.7985,0.688,0.1104,0.3025,0.2474,0.55,,,1.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP500|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,model-fav,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP500|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,model-dog,pooled_2022_2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP500|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,model-dog,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP500|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,model-dog,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP500|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,model-dog,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP500|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,both,pooled_2022_2024,1.0,0.0,1.0,-100.0,,,0.7985,0.688,0.1104,0.3025,0.2474,0.55,,,1.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP500|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,both,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP500|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,both,2023,1.0,0.0,1.0,-100.0,,,0.7985,0.688,0.1104,0.3025,0.2474,0.55,,,1.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP500|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP500,both,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|Masters1000|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,model-fav,pooled_2022_2024,2.0,1.0,1.0,-1.5,,,0.6954,0.6996,-0.0042,0.2511,0.2532,0.0471,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|Masters1000|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,model-fav,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|Masters1000|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,model-fav,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|Masters1000|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,model-fav,2024,2.0,1.0,1.0,-1.5,,,0.6954,0.6996,-0.0042,0.2511,0.2532,0.0471,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|Masters1000|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,model-dog,pooled_2022_2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|Masters1000|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,model-dog,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|Masters1000|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,model-dog,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|Masters1000|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,model-dog,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|Masters1000|both,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,both,pooled_2022_2024,2.0,1.0,1.0,-1.5,,,0.6954,0.6996,-0.0042,0.2511,0.2532,0.0471,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|Masters1000|both,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,both,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|Masters1000|both,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,both,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|Masters1000|both,4.0,10.0,disagree-with-pinnacle,high-only,Masters1000,both,2024,2.0,1.0,1.0,-1.5,,,0.6954,0.6996,-0.0042,0.2511,0.2532,0.0471,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,model-fav,pooled_2022_2024,15.0,5.0,10.0,-32.3333,-73.6667,19.8667,0.723,0.6898,0.0333,0.2649,0.2483,0.2008,,,15.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,model-fav,2022,3.0,1.0,2.0,-33.6667,,,0.7219,0.6726,0.0493,0.2643,0.2397,0.1997,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,model-fav,2023,3.0,1.0,2.0,-29.6667,,,0.7272,0.7048,0.0225,0.267,0.2558,0.1965,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|model-fav,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,model-fav,2024,9.0,3.0,6.0,-32.7778,-100.0,34.5556,0.722,0.6905,0.0315,0.2644,0.2487,0.2025,,,9.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,model-dog,pooled_2022_2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,model-dog,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,model-dog,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|model-dog,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,model-dog,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,both,pooled_2022_2024,15.0,5.0,10.0,-32.3333,-73.6667,21.2667,0.723,0.6898,0.0333,0.2649,0.2483,0.2008,,,15.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,both,2022,3.0,1.0,2.0,-33.6667,,,0.7219,0.6726,0.0493,0.2643,0.2397,0.1997,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,both,2023,3.0,1.0,2.0,-29.6667,,,0.7272,0.7048,0.0225,0.267,0.2558,0.1965,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high-only|ATP-non-Slam|both,4.0,10.0,disagree-with-pinnacle,high-only,ATP-non-Slam,both,2024,9.0,3.0,6.0,-32.7778,-100.0,33.0,0.722,0.6905,0.0315,0.2644,0.2487,0.2025,,,9.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP250|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,model-fav,pooled_2022_2024,15.0,5.0,10.0,-31.5333,-73.6,23.6667,0.7172,0.6838,0.0334,0.262,0.2453,0.195,,,15.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP250|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,model-fav,2022,3.0,1.0,2.0,-33.6667,,,0.7219,0.6726,0.0493,0.2643,0.2397,0.1997,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP250|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,model-fav,2023,4.0,1.0,3.0,-47.25,,,0.7098,0.6656,0.0442,0.2583,0.2362,0.2684,,,4.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP250|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,model-fav,2024,8.0,3.0,5.0,-22.875,-75.25,52.875,0.7192,0.6971,0.0221,0.263,0.252,0.1566,,,8.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP250|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,model-dog,pooled_2022_2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP250|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,model-dog,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP250|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,model-dog,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP250|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,model-dog,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP250|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,both,pooled_2022_2024,15.0,5.0,10.0,-31.5333,-73.5333,22.9333,0.7172,0.6838,0.0334,0.262,0.2453,0.195,,,15.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP250|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,both,2022,3.0,1.0,2.0,-33.6667,,,0.7219,0.6726,0.0493,0.2643,0.2397,0.1997,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP250|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,both,2023,4.0,1.0,3.0,-47.25,,,0.7098,0.6656,0.0442,0.2583,0.2362,0.2684,,,4.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP250|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP250,both,2024,8.0,3.0,5.0,-22.875,-100.0,51.375,0.7192,0.6971,0.0221,0.263,0.252,0.1566,,,8.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP500|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,model-fav,pooled_2022_2024,1.0,0.0,1.0,-100.0,,,0.7985,0.688,0.1104,0.3025,0.2474,0.55,,,1.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP500|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,model-fav,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP500|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,model-fav,2023,1.0,0.0,1.0,-100.0,,,0.7985,0.688,0.1104,0.3025,0.2474,0.55,,,1.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP500|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,model-fav,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP500|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,model-dog,pooled_2022_2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP500|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,model-dog,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP500|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,model-dog,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP500|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,model-dog,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP500|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,both,pooled_2022_2024,1.0,0.0,1.0,-100.0,,,0.7985,0.688,0.1104,0.3025,0.2474,0.55,,,1.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP500|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,both,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP500|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,both,2023,1.0,0.0,1.0,-100.0,,,0.7985,0.688,0.1104,0.3025,0.2474,0.55,,,1.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP500|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP500,both,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,model-fav,pooled_2022_2024,2.0,1.0,1.0,-1.5,,,0.6954,0.6996,-0.0042,0.2511,0.2532,0.0471,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,model-fav,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,model-fav,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,model-fav,2024,2.0,1.0,1.0,-1.5,,,0.6954,0.6996,-0.0042,0.2511,0.2532,0.0471,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,model-dog,pooled_2022_2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,model-dog,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,model-dog,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,model-dog,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|both,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,both,pooled_2022_2024,2.0,1.0,1.0,-1.5,,,0.6954,0.6996,-0.0042,0.2511,0.2532,0.0471,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|both,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,both,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|both,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,both,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|Masters1000|both,4.0,10.0,disagree-with-pinnacle,high+medium,Masters1000,both,2024,2.0,1.0,1.0,-1.5,,,0.6954,0.6996,-0.0042,0.2511,0.2532,0.0471,,,2.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,model-fav,pooled_2022_2024,18.0,6.0,12.0,-32.0,-76.6111,14.0556,0.7193,0.6858,0.0335,0.263,0.2463,0.1983,,,18.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,model-fav,2022,3.0,1.0,2.0,-33.6667,,,0.7219,0.6726,0.0493,0.2643,0.2397,0.1997,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,model-fav,2023,5.0,1.0,4.0,-57.8,-100.0,26.6,0.7275,0.6701,0.0575,0.2672,0.2385,0.3247,,,5.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|model-fav,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,model-fav,2024,10.0,4.0,6.0,-18.6,-80.2,43.1,0.7144,0.6976,0.0168,0.2606,0.2522,0.1347,,,10.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,model-dog,pooled_2022_2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,model-dog,2022,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,model-dog,2023,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|model-dog,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,model-dog,2024,0.0,0.0,0.0,,,,,,,,,,,,0.0,,
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,both,pooled_2022_2024,18.0,6.0,12.0,-32.0,-77.3333,13.4444,0.7193,0.6858,0.0335,0.263,0.2463,0.1983,,,18.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,both,2022,3.0,1.0,2.0,-33.6667,,,0.7219,0.6726,0.0493,0.2643,0.2397,0.1997,,,3.0,100.0,0.0
edge4-10|disagree-with-pinnacle|high+medium|ATP-non-Slam|both,4.0,10.0,disagree-with-pinnacle,high+medium,ATP-non-Slam,both,2023,5.0,1.0,4.0,-57.8,-100.0,26.6,0.7275,0.6701,0.0575,0.2672,0.2385,0.3247,,,5.0,100.0,0.0
