date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,confidence
2024-02-01,Open Sud de France,Hard,2nd Round,ATP250,Borna Coric,Pablo Martinez,25165,5829,0.82,0.955623,1.2195,1.43,3.07,Borna Coric,17.26,winner,win,False,0.682222,Borna Coric,0.82,0.532238,0.967351,0.731226,low
2024-02-01,Open Sud de France,Hard,2nd Round,ATP250,Holger Rune,Pablo Llamas Ruiz,69471,64896,0.753989,0.784505,1.3263,1.16,6.15,Holger Rune,51.296,loser,loss,False,0.841313,Holger Rune,0.753989,0.479469,0.730624,0.935612,high
2024-02-01,Open Sud de France,Hard,2nd Round,ATP250,Alexander Shevchenko,Gregoire Barrere,64891,20654,0.540494,0.530686,1.8502,1.93,1.98,Alexander Shevchenko,4.315,winner,skip,False,0.506394,Alexander Shevchenko,0.540494,0.520834,0.468358,0.633994,high
2024-02-02,Open Sud de France,Hard,Quarterfinals,ATP250,Felix Auger Aliassime,Harold Mayot,40434,60140,0.658895,0.673123,1.5177,1.26,4.29,Felix Auger Aliassime,46.334,loser,loss,False,0.772973,Felix Auger Aliassime,0.658895,0.442614,0.724218,0.837675,high
2024-02-02,Open Sud de France,Hard,Quarterfinals,ATP250,Alexander Bublik,Alexander Shevchenko,24245,64891,0.642621,0.653694,1.5561,1.52,2.72,Alexander Bublik,-2.322,winner,skip,False,0.641509,Alexander Bublik,0.642621,0.465189,0.659125,0.684184,high
2024-02-02,Open Sud de France,Hard,Quarterfinals,ATP250,Borna Coric,Flavio Cobolli,25165,67546,0.738039,0.752473,1.3549,1.49,2.85,Borna Coric,9.968,winner,win,False,0.656682,Borna Coric,0.738039,0.465739,0.839943,0.668288,medium
2024-02-02,Open Sud de France,Hard,Quarterfinals,ATP250,Holger Rune,Michael Mmoh,69471,26925,0.723044,0.748767,1.383,1.24,4.59,Holger Rune,27.123,loser,loss,False,0.787307,Holger Rune,0.723044,0.419628,0.559661,0.928002,high
2024-02-03,Open Sud de France,Hard,Semifinals,ATP250,Alexander Bublik,Felix Auger Aliassime,24245,40434,0.521453,0.507675,1.9177,2.62,1.56,Alexander Bublik,36.621,winner,win,False,0.373206,Alexander Bublik,0.521453,0.492674,0.444286,0.523677,high
2024-02-04,Open Sud de France,Hard,The Final,ATP250,Alexander Bublik,Borna Coric,24245,25165,0.445533,0.452427,2.2445,2.06,1.85,Alexander Bublik,2.576,loser,skip,False,0.473146,Borna Coric,0.554467,0.494266,0.316049,0.569712,high
2024-02-05,Cordoba Open,Clay,1st Round,ATP250,Facundo Bagnis,Juan Manuel Cerundolo,11881,52934,0.569033,0.566278,1.7574,1.74,2.2,Facundo Bagnis,-0.988,winner,skip,False,0.558376,Facundo Bagnis,0.569033,0.48752,0.664683,0.416598,high
2024-02-05,Cordoba Open,Clay,1st Round,ATP250,Hugo Dellien,Thiago Seyboth Wild,18477,36858,0.443035,0.447579,2.2572,2.64,1.54,Hugo Dellien,16.961,winner,win,False,0.368421,Thiago Seyboth Wild,0.556965,0.515731,0.350016,0.42874,high
2024-02-05,Cordoba Open,Clay,1st Round,ATP250,Albert Ramos-Vinolas,Pedro Cachin,6691,23100,0.47968,0.489671,2.0847,2.22,1.73,Albert Ramos-Vinolas,6.489,winner,win,False,0.437975,Pedro Cachin,0.52032,0.509818,0.407282,0.468846,high
2024-02-05,Open 13,Hard,1st Round,ATP250,Roberto Bautista Agut,Richard Gasquet,1837,674,0.583614,0.582769,1.7135,1.52,2.69,Roberto Bautista Agut,12.008,loser,loss,False,0.638955,Roberto Bautista Agut,0.583614,0.526459,0.588189,0.555868,high
2024-02-05,Open 13,Hard,1st Round,ATP250,Lorenzo Musetti,Maximilian Marterer,63572,23640,0.630097,0.638697,1.5871,1.58,2.51,Lorenzo Musetti,-0.445,winner,skip,False,0.613692,Lorenzo Musetti,0.630097,0.546997,0.561165,0.797221,high
2024-02-05,Open 13,Hard,1st Round,ATP250,Alexander Shevchenko,Benjamin Bonzi,64891,28899,0.618041,0.621159,1.618,1.83,2.07,Alexander Shevchenko,13.101,winner,win,False,0.530769,Alexander Shevchenko,0.618041,0.542496,0.490307,0.695691,medium
2024-02-06,Cordoba Open,Clay,1st Round,ATP250,Roman Andres Burruchaga,Diego Sebastian Schwartzman,70705,17829,0.539423,0.532272,1.8538,1.97,1.92,Roman Andres Burruchaga,6.266,winner,win,False,0.493573,Roman Andres Burruchaga,0.539423,0.592883,0.473984,0.407209,high
2024-02-06,Cordoba Open,Clay,1st Round,ATP250,Roberto Carballes Baena,Mariano Navone,21506,66828,0.465601,0.473499,2.1478,1.91,1.98,Roberto Carballes Baena,5.811,loser,loss,False,0.508997,Mariano Navone,0.534399,0.402573,0.452824,0.643404,high
2024-02-06,Cordoba Open,Clay,1st Round,ATP250,Federico Coria,Daniel Altmaier,18720,29732,0.514889,0.504092,1.9422,2.7,1.52,Federico Coria,39.02,winner,win,False,0.36019,Federico Coria,0.514889,0.602153,0.503538,0.363641,high
2024-02-06,Cordoba Open,Clay,1st Round,ATP250,Luciano Darderi,Mariano Barrios,76127,26145,0.82,0.887082,1.2195,1.43,3.05,Luciano Darderi,17.26,winner,win,False,0.680804,Luciano Darderi,0.82,0.670935,0.943575,0.449464,low
2024-02-06,Cordoba Open,Clay,1st Round,ATP250,Yannick Hanfmann,Juan Pablo Varillas,14856,26153,0.576085,0.574373,1.7359,1.54,2.64,Yannick Hanfmann,11.914,loser,loss,False,0.631579,Yannick Hanfmann,0.576085,0.558658,0.627699,0.581352,high
2024-02-06,Dallas Open,Hard,1st Round,ATP250,James Duckworth,Zachary Svajda,11517,73620,0.560203,0.554504,1.7851,1.86,2.03,James Duckworth,4.198,winner,skip,False,0.521851,James Duckworth,0.560203,0.522535,0.56989,0.573159,high
2024-02-06,Dallas Open,Hard,1st Round,ATP250,Christopher Eubanks,Steve Johnson,26381,11178,0.579331,0.577602,1.7261,1.51,2.71,Christopher Eubanks,14.001,loser,loss,False,0.64218,Christopher Eubanks,0.579331,0.500973,0.538137,0.899807,high
2024-02-06,Dallas Open,Hard,1st Round,ATP250,Marcos Giron,Nicolas Moreno De Alboran,18736,33284,0.586238,0.585935,1.7058,1.32,3.7,Marcos Giron,53.092,loser,loss,False,0.737052,Marcos Giron,0.586238,0.4763,0.660072,0.706687,high
2024-02-06,Dallas Open,Hard,1st Round,ATP250,Alex Michelsen,Tennys Sandgren,92985,12662,0.679856,0.698024,1.4709,1.46,2.92,Alex Michelsen,-0.741,winner,skip,False,0.666667,Alex Michelsen,0.679856,0.589339,0.472172,0.824074,high
2024-02-06,Dallas Open,Hard,1st Round,ATP250,Michael Mmoh,Emilio Nava,26925,56197,0.576761,0.5745,1.7338,1.71,2.25,Michael Mmoh,-1.374,winner,skip,False,0.568182,Michael Mmoh,0.576761,0.56705,0.648255,0.560656,high
2024-02-06,Dallas Open,Hard,1st Round,ATP250,Yoshihito Nishioka,Terence Atmane,24225,67535,0.538955,0.528825,1.8554,1.71,2.25,Yoshihito Nishioka,3.735,loser,skip,False,0.568182,Yoshihito Nishioka,0.538955,0.414645,0.538824,0.632257,high
2024-02-06,Dallas Open,Hard,1st Round,ATP250,Max Purcell,Mitchell Krueger,28263,17123,0.698657,0.720219,1.4313,1.41,3.1,Max Purcell,-1.489,winner,skip,False,0.687361,Max Purcell,0.698657,0.582565,0.640093,0.871114,high
2024-02-06,Open 13,Hard,1st Round,ATP250,Alejandro Davidovich Fokina,Gregoire Barrere,36519,20654,0.703158,0.725509,1.4222,1.58,2.53,Alejandro Davidovich Fokina,11.099,winner,win,False,0.615572,Alejandro Davidovich Fokina,0.703158,0.580782,0.59445,0.819953,high
2024-02-06,Open 13,Hard,1st Round,ATP250,Hugo Gaston,Denis Shapovalov,46747,33502,0.412458,0.412476,2.4245,2.87,1.47,Hugo Gaston,18.376,winner,win,False,0.33871,Denis Shapovalov,0.587542,0.490567,0.259275,0.589495,medium
2024-02-06,Open 13,Hard,1st Round,ATP250,Sebastian Korda,Hugo Grenier,42451,28932,0.699603,0.721332,1.4294,1.21,4.99,Sebastian Korda,49.898,loser,loss,False,0.804839,Sebastian Korda,0.699603,0.483708,0.693834,0.832255,high
2024-02-06,Open 13,Hard,1st Round,ATP250,Jiri Lehecka,David Goffin,61838,11226,0.709714,0.721694,1.409,1.53,2.68,Jiri Lehecka,8.586,winner,win,False,0.63658,Jiri Lehecka,0.709714,0.538624,0.458815,0.813939,medium
2024-02-06,Open 13,Hard,1st Round,ATP250,Tomas Machac,Andy Murray,58327,1075,0.441877,0.44801,2.2631,1.5,2.77,Tomas Machac,54.6,loser,loss,False,0.648712,Andy Murray,0.558123,0.568155,0.329159,0.439296,high
2024-02-06,Open 13,Hard,1st Round,ATP250,Arthur Rinderknech,Maxime Cressy,28170,54207,0.526057,0.513238,1.9009,1.89,2.0,Arthur Rinderknech,-0.575,winner,skip,False,0.514139,Arthur Rinderknech,0.526057,0.498924,0.524976,0.568201,high
2024-02-07,Cordoba Open,Clay,2nd Round,ATP250,Facundo Bagnis,Roberto Carballes Baena,11881,21506,0.425932,0.427942,2.3478,2.21,1.75,Facundo Bagnis,0.462,loser,skip,False,0.441919,Roberto Carballes Baena,0.574068,0.541204,0.53456,0.211475,high
2024-02-07,Cordoba Open,Clay,2nd Round,ATP250,Federico Coria,Albert Ramos-Vinolas,18720,6691,0.556959,0.552415,1.7955,1.82,2.11,Federico Coria,1.367,winner,skip,False,0.536896,Federico Coria,0.556959,0.59133,0.531538,0.477366,high
2024-02-07,Cordoba Open,Clay,1st Round,ATP250,Thiago Agustin Tirante,Francisco Comesana,52394,61971,0.518806,0.508591,1.9275,2.14,1.78,Thiago Agustin Tirante,11.024,winner,win,False,0.454082,Thiago Agustin Tirante,0.518806,0.32767,0.547201,0.52132,high
2024-02-07,Dallas Open,Hard,2nd Round,ATP250,James Duckworth,Christopher Eubanks,11517,26381,0.451408,0.459527,2.2153,2.41,1.64,James Duckworth,8.789,winner,win,False,0.404938,Christopher Eubanks,0.548592,0.64126,0.554359,0.229941,high
2024-02-07,Dallas Open,Hard,2nd Round,ATP250,Marcos Giron,Max Purcell,18736,28263,0.468023,0.479608,2.1366,1.54,2.66,Marcos Giron,41.506,loser,loss,False,0.633333,Max Purcell,0.531977,0.407477,0.574132,0.40411,high
2024-02-07,Dallas Open,Hard,1st Round,ATP250,Rinky Hijikata,Ethan Quinn,58149,82269,0.687782,0.707398,1.4539,1.7,2.27,Rinky Hijikata,16.923,winner,win,False,0.571788,Rinky Hijikata,0.687782,0.609969,0.757079,0.803728,high
2024-02-07,Dallas Open,Hard,1st Round,ATP250,Dominik Koepfer,Aleksandar Kovacevic,34298,39152,0.639536,0.650004,1.5636,1.43,3.05,Dominik Koepfer,9.942,loser,loss,False,0.680804,Dominik Koepfer,0.639536,0.481057,0.646072,0.618094,high
2024-02-07,Dallas Open,Hard,1st Round,ATP250,Denis Kudla,Radu Albot,13429,10828,0.458983,0.468682,2.1787,1.79,2.12,Denis Kudla,14.696,loser,loss,False,0.542199,Radu Albot,0.541017,0.483708,0.439802,0.437287,high
2024-02-07,Dallas Open,Hard,1st Round,ATP250,Jordan Thompson,Adam Neff,22433,63451,0.85,0.954255,1.1765,1.03,24.17,Jordan Thompson,262.55,loser,loss,False,0.959127,Jordan Thompson,0.85,0.604118,0.925488,0.968428,medium
2024-02-07,Open 13,Hard,1st Round,ATP250,Felix Auger Aliassime,Quentin Halys,40434,25171,0.717583,0.742401,1.3936,1.26,4.23,Felix Auger Aliassime,19.462,loser,loss,False,0.770492,Felix Auger Aliassime,0.717583,0.504247,0.73532,0.794014,high
2024-02-07,Open 13,Hard,2nd Round,ATP250,Ugo Humbert,Hugo Gaston,38911,46747,0.727892,0.741468,1.3738,1.23,4.67,Ugo Humbert,27.074,loser,loss,False,0.791525,Ugo Humbert,0.727892,0.569121,0.754338,0.813788,medium
2024-02-07,Open 13,Hard,2nd Round,ATP250,Karen Khachanov,Roberto Bautista Agut,25543,1837,0.713353,0.737458,1.4018,1.48,2.86,Karen Khachanov,5.576,winner,win,False,0.658986,Karen Khachanov,0.713353,0.530738,0.476736,0.855156,high
2024-02-07,Open 13,Hard,2nd Round,ATP250,Tomas Machac,Lorenzo Musetti,58327,63572,0.42244,0.424536,2.3672,1.64,2.41,Tomas Machac,39.192,loser,loss,False,0.595062,Lorenzo Musetti,0.57756,0.567672,0.434237,0.28952,high
2024-02-07,Open 13,Hard,1st Round,ATP250,Emil Ruusuvuori,Luca Van Assche,37105,82371,0.684726,0.694408,1.4604,1.41,3.11,Emil Ruusuvuori,-1.95,loser,skip,False,0.688053,Emil Ruusuvuori,0.684726,0.587905,0.757274,0.545107,medium
2024-02-08,Cordoba Open,Clay,2nd Round,ATP250,Luciano Darderi,Sebastian Ofner,76127,27547,0.444374,0.449117,2.2504,2.06,1.85,Luciano Darderi,2.791,loser,skip,False,0.473146,Sebastian Ofner,0.555626,0.566197,0.499709,0.210438,high
2024-02-08,Cordoba Open,Clay,2nd Round,ATP250,Tomas Martin Etcheverry,Bernabe Zapata Miralles,37532,29579,0.607673,0.61059,1.6456,1.32,3.73,Tomas Martin Etcheverry,46.338,loser,loss,False,0.738614,Tomas Martin Etcheverry,0.607673,0.484291,0.508832,0.738818,high
2024-02-08,Dallas Open,Hard,2nd Round,ATP250,Dominik Koepfer,Rinky Hijikata,34298,58149,0.617129,0.62313,1.6204,1.46,2.95,Dominik Koepfer,12.947,loser,loss,False,0.668934,Dominik Koepfer,0.617129,0.450874,0.624988,0.583981,high
2024-02-08,Dallas Open,Hard,2nd Round,ATP250,Vinay Kumar T,Taro Daniel,49583,20648,0.442724,0.444669,2.2587,1.27,4.18,Vinay Kumar T,132.941,loser,loss,False,0.766972,Taro Daniel,0.557276,0.350108,0.070351,0.809725,low
2024-02-08,Dallas Open,Hard,2nd Round,ATP250,Ben Shelton,Michael Mmoh,87562,26925,0.710984,0.734686,1.4065,1.36,3.49,Ben Shelton,0.867,loser,skip,False,0.719588,Ben Shelton,0.710984,0.39923,0.456173,0.880156,high
2024-02-08,Dallas Open,Hard,2nd Round,ATP250,Jordan Thompson,Denis Kudla,22433,13429,0.703272,0.725643,1.4219,1.29,4.0,Jordan Thompson,18.691,loser,loss,False,0.756144,Jordan Thompson,0.703272,0.574889,0.703348,0.816083,high
2024-02-08,Open 13,Hard,2nd Round,ATP250,Alejandro Davidovich Fokina,Emil Ruusuvuori,36519,37105,0.572541,0.569405,1.7466,2.58,1.57,Alejandro Davidovich Fokina,47.716,winner,win,False,0.378313,Alejandro Davidovich Fokina,0.572541,0.501245,0.491384,0.693867,high
2024-02-08,Open 13,Hard,2nd Round,ATP250,Grigor Dimitrov,Sebastian Korda,11953,42451,0.635129,0.644727,1.5745,1.49,2.84,Grigor Dimitrov,3.623,loser,skip,False,0.655889,Grigor Dimitrov,0.635129,0.518603,0.594405,0.739837,high
2024-02-08,Open 13,Hard,2nd Round,ATP250,Hubert Hurkacz,Alexander Shevchenko,26473,64891,0.731666,0.758785,1.3667,1.3,3.95,Hubert Hurkacz,5.992,loser,loss,False,0.752381,Hubert Hurkacz,0.731666,0.526966,0.758511,0.882472,high
2024-02-08,Open 13,Hard,2nd Round,ATP250,Arthur Rinderknech,Jiri Lehecka,28170,61838,0.350538,0.33813,2.8528,2.82,1.51,Arthur Rinderknech,-1.148,winner,skip,False,0.34873,Jiri Lehecka,0.649462,0.44015,0.444402,0.248885,high
2024-02-08,Open 13,Hard,2nd Round,ATP250,Zhuo Zhang,Felix Auger Aliassime,26496,40434,0.18,0.075177,5.5556,4.37,1.27,Zhuo Zhang,4.14,loser,skip,False,0.225177,Felix Auger Aliassime,0.82,0.468403,0.047292,0.362242,low
2024-02-09,Cordoba Open,Clay,2nd Round,ATP250,Sebastian Baez,Hugo Dellien,52721,18477,0.591522,0.592081,1.6906,1.2,5.19,Sebastian Baez,112.0,loser,loss,False,0.812207,Sebastian Baez,0.591522,0.478964,0.626626,0.821863,high
