signal_date,time_utc,match_date,lag_days,lag_bucket,bet_type,player1,player2,player1_id,player2_id,surface,series,confidence,side,spread_line,line_bucket,value_pct,scrape_odds,closing_odds,scrape_implied_pct,closing_implied_pct,clv_implied_delta_pct,odds_move_pct,clv_direction,bet_outcome,won_bet,match_status,match_method,closing_source,history_capture_mode,history_captured_at,tournament,location,signal_profile,policy_mode
2026-04-19,23:46:29,2026-04-20,1,plus_1_day,spread,Henrique Rocha,Jan Choinski,83794,26421,Clay,Masters 1000,high,P2-,-2.5,2.5,8.9,1.917,1.962,52.164840897235266,50.9683995922528,-1.1964413049824651,2.3474178403755763,negative,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-20T13:25:47.848865+00:00,,,spread_v1_shadow,base
2026-04-21,09:45:51,2026-04-21,0,same_day,spread,Adolfo Daniel Vallejo,Henrique Rocha,80391,83794,Clay,Masters 1000,high,P1+,-3.5,3.5,14.02,1.935,1.893,51.67958656330749,52.826201796090864,1.1466152327833767,-2.170542635658912,positive,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-21T14:37:10.826355+00:00,,,spread_v1_shadow,base
2026-04-21,09:45:51,2026-04-21,0,same_day,spread,Moez Echargui,Nicolai Budkov Kjaer,36114,104215,Clay,Masters 1000,medium,P1+,4.0,4.0,14.0,1.87,1.855,53.475935828877,53.908355795148246,0.4324199662712469,-0.8021390374331583,positive,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-21T14:37:10.826355+00:00,,,spread_v1_shadow,base
2026-04-21,09:45:51,2026-04-21,0,same_day,spread,Yibing Wu,Titouan Droguet,39310,59092,Clay,Masters 1000,medium,P2-,-1.0,1.0,5.49,1.885,1.885,53.05039787798409,53.05039787798409,0.0,0.0,flat,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-21T10:07:11.587165+00:00,,,spread_v1_shadow,base
2026-04-21,23:09:01,2026-04-23,2,plus_2_3_days,spread,Yannick Hanfmann,Marcos Giron,14856,18736,Clay,Masters 1000,medium,P1+,-3.5,3.5,5.6,1.99,1.935,50.25125628140703,51.67958656330749,1.4283302819004584,-2.7638190954773822,positive,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-23T09:12:35.257592+00:00,,,spread_v1_shadow,base
2026-04-21,23:09:01,2026-04-22,1,plus_1_day,spread,Zizou Bergs,Marin Cilic,37741,6101,Clay,Masters 1000,medium,P2-,0.0,0.0,5.21,1.893,1.893,52.826201796090864,52.826201796090864,0.0,0.0,flat,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-22T00:08:00.399603+00:00,,,spread_v1_shadow,base
2026-04-21,23:09:01,2026-04-23,2,plus_2_3_days,spread,Martin Landaluce,Adam Walton,94493,47752,Clay,Masters 1000,medium,P2-,-4.0,4.0,6.88,1.99,2.08,50.25125628140703,48.07692307692307,-2.174333204483958,4.522613065326642,negative,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-23T09:12:35.257592+00:00,,,spread_v1_shadow,base
2026-04-21,23:09:01,2026-04-22,1,plus_1_day,spread,Jenson Brooksby,Emilio Nava,40609,56197,Clay,Masters 1000,medium,P1+,3.0,3.0,7.34,1.893,1.893,52.826201796090864,52.826201796090864,0.0,0.0,flat,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-22T00:08:00.399603+00:00,,,spread_v1_shadow,base
2026-04-21,23:09:01,2026-04-22,1,plus_1_day,spread,Alexandre Muller,Jan-Lennard Struff,28108,14177,Clay,Masters 1000,medium,P2-,-2.0,2.0,14.61,1.935,1.935,51.67958656330749,51.67958656330749,0.0,0.0,flat,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-22T11:58:14.293572+00:00,,,spread_v1_shadow,base
2026-04-21,23:09:01,2026-04-23,2,plus_2_3_days,spread,Pablo Carreno-Busta,Marton Fucsovics,14432,13674,Clay,Masters 1000,high,P2-,0.0,0.0,9.87,1.943,1.962,51.4668039114771,50.9683995922528,-0.4984043192242993,0.9778692743180661,negative,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-23T02:29:02.221195+00:00,,,spread_v1_shadow,base
2026-04-22,22:59:51,2026-04-23,1,plus_1_day,spread,Nicolai Budkov Kjaer,Reilly Opelka,104215,28087,Clay,Masters 1000,medium,P2-,0.5,0.5,5.71,1.901,1.962,52.60389268805892,50.9683995922528,-1.6354930958061176,3.2088374539715803,negative,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-23T14:01:24.65501+00:00,,,spread_v1_shadow,base
2026-04-22,10:05:24,2026-04-22,0,same_day,spread,Jaime Faria,Hubert Hurkacz,83795,26473,Clay,Masters 1000,high,P1+,3.0,3.0,6.41,1.952,1.935,51.229508196721305,51.67958656330749,0.45007836658618183,-0.870901639344257,positive,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-22T14:28:07.391283+00:00,,,spread_v1_shadow,base
2026-04-22,22:59:51,2026-04-23,1,plus_1_day,spread,Vilius Gaubas,Sebastian Baez,79088,52721,Clay,Masters 1000,high,P1+,3.5,3.5,26.58,1.971,2.02,50.735667174023334,49.504950495049506,-1.230716678973831,2.486047691527138,negative,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-23T11:59:35.137658+00:00,,,spread_v1_shadow,base
2026-04-22,22:59:51,2026-04-23,1,plus_1_day,spread,Nuno Borges,Mariano Navone,31446,66828,Clay,Masters 1000,high,P1+,2.5,2.5,5.64,1.935,1.952,51.67958656330749,51.229508196721305,-0.45007836658618183,0.8785529715762186,negative,LOSS,0,matched,history,bookmaker_odds_history,daily,2026-04-23T09:57:27.805944+00:00,,,spread_v1_shadow,base
2026-04-22,22:59:51,2026-04-23,1,plus_1_day,spread,Cristian Garin,Alexander Blockx,24840,88766,Clay,Masters 1000,medium,P1+,2.5,2.5,5.61,1.98,1.909,50.505050505050505,52.38344683080146,1.8783963257509528,-3.585858585858581,positive,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-23T09:12:35.257592+00:00,,,spread_v1_shadow,base
2026-04-22,22:59:51,2026-04-23,1,plus_1_day,spread,Adolfo Daniel Vallejo,Grigor Dimitrov,80391,11953,Clay,Masters 1000,medium,P2-,0.0,0.0,6.16,1.926,1.935,51.92107995846313,51.67958656330749,-0.24149339515564527,0.4672897196261738,negative,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-23T10:53:44.91049+00:00,,,spread_v1_shadow,base
2026-04-23,09:57:34,2026-04-24,1,plus_1_day,spread,Rafael Jodar,Alex De Minaur,99691,39309,Clay,Masters 1000,medium,P2-,0.5,0.5,16.34,1.909,1.909,52.38344683080146,52.38344683080146,0.0,0.0,flat,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-24T17:31:06.615287+00:00,,,spread_v1_shadow,base
2026-04-23,23:00:39,2026-04-24,1,plus_1_day,spread,Sebastian Ofner,Tomas Martin Etcheverry,27547,37532,Clay,Masters 1000,high,P2-,2.0,2.0,5.4,2.0,1.885,50.0,53.05039787798409,3.05039787798409,-5.75,positive,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-24T14:54:26.557875+00:00,,,spread_v1_shadow,base
2026-04-23,23:00:39,2026-04-25,2,plus_2_3_days,spread,Jaume Antoni Munar Clar,Casper Ruud,31358,33648,Clay,Masters 1000,medium,P1+,3.0,3.0,6.48,1.98,2.03,50.505050505050505,49.26108374384237,-1.2439667612081373,2.525252525252508,negative,LOSS,0,matched,history,bookmaker_odds_history,daily,2026-04-25T09:11:36.499414+00:00,,,spread_v1_shadow,base
2026-04-23,23:00:39,2026-04-24,1,plus_1_day,spread,Jan-Lennard Struff,Alex Michelsen,14177,92985,Clay,Masters 1000,medium,P2-,-0.5,0.5,12.35,1.926,1.926,51.92107995846313,51.92107995846313,0.0,0.0,flat,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-23T23:44:00.240464+00:00,,,spread_v1_shadow,base
2026-04-23,23:00:39,2026-04-25,2,plus_2_3_days,spread,Mariano Navone,Alexander Zverev,66828,24008,Clay,Masters 1000,high,P1+,4.0,4.0,8.39,1.926,2.0,51.92107995846313,50.0,-1.9210799584631344,3.842159916926269,negative,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-25T13:01:48.751042+00:00,,,spread_v1_shadow,base
2026-04-24,09:25:51,2026-04-25,1,plus_1_day,spread,Vilius Gaubas,Felix Auger Aliassime,79088,40434,Clay,Masters 1000,medium,P1+,4.0,4.0,10.4,1.833,1.794,54.55537370430987,55.74136008918617,1.185986384876303,-2.127659574468077,positive,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-24T14:54:26.557875+00:00,,,spread_v1_shadow,base
2026-04-24,09:25:51,2026-04-25,1,plus_1_day,spread,Learner Tien,Adolfo Daniel Vallejo,93452,80391,Clay,Masters 1000,medium,P1+,1.5,1.5,5.55,1.971,1.952,50.735667174023334,51.229508196721305,0.4938410226979717,-0.9639776763064489,positive,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-25T15:09:25.581533+00:00,,,spread_v1_shadow,base
2026-04-24,09:25:51,2026-04-25,1,plus_1_day,spread,Camilo Ugo Carabelli,Flavio Cobolli,42229,67546,Clay,Masters 1000,high,P1+,3.5,3.5,19.66,1.893,1.847,52.826201796090864,54.141851651326476,1.3156498552356122,-2.4300052826201846,positive,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-25T03:40:44.222685+00:00,,,spread_v1_shadow,base
