generated_utc,dataset,surface,year,bin_lo,bin_hi,n,avg_raw_pred,avg_cal_pred,avg_pinnacle_novig,actual_win_rate,raw_ece_contribution,cal_ece_contribution,pinnacle_ece_contribution,raw_brier,cal_brier,pinnacle_brier,log_loss_raw,log_loss_cal,log_loss_pinnacle
2026-05-29T12:32:04+00:00,train,Grass,2024,0.7,0.8,65,0.7495,0.7202,0.7014,0.7846,0.007382,0.013544,0.017506,0.170247,0.172689,0.158071,0.524065,0.530383,0.487011
2026-05-29T12:32:04+00:00,train,Grass,2024,0.8,0.9,51,0.8468,0.811,0.8,0.7843,0.010311,0.004405,0.002582,0.17451,0.172564,0.145284,0.540464,0.53253,0.459087
2026-05-29T12:32:04+00:00,train,Grass,2024,0.9,1.0,12,0.9161,0.8829,0.8905,0.9167,2e-05,0.001311,0.001016,0.075908,0.076804,0.077715,0.283115,0.288744,0.257986
2026-05-29T12:32:04+00:00,validation,Grass,2025,0.5,0.6,79,0.5459,0.5403,0.5342,0.5063,0.011409,0.009785,0.008036,0.24813,0.248097,0.210764,0.689402,0.689336,0.611969
2026-05-29T12:32:04+00:00,validation,Grass,2025,0.6,0.7,93,0.6417,0.6238,0.6324,0.6559,0.004836,0.010903,0.007994,0.221336,0.22283,0.193479,0.634245,0.637635,0.572868
2026-05-29T12:32:04+00:00,validation,Grass,2025,0.7,0.8,57,0.7524,0.7222,0.7133,0.7018,0.010538,0.004254,0.002408,0.205584,0.203815,0.213562,0.599055,0.595549,0.618466
2026-05-29T12:32:04+00:00,validation,Grass,2025,0.8,0.9,32,0.8459,0.8103,0.82,0.6875,0.018497,0.014337,0.015469,0.241299,0.230458,0.236037,0.708386,0.668434,0.681243
2026-05-29T12:32:04+00:00,validation,Grass,2025,0.9,1.0,13,0.9215,0.889,0.8787,0.7692,0.007225,0.00568,0.005196,0.198393,0.188756,0.171155,0.635999,0.583068,0.502667
2026-05-29T12:32:04+00:00,train,Hard,2022,0.5,0.6,405,0.5487,0.5529,0.5482,0.5185,0.008446,0.009616,0.008305,0.248495,0.249253,0.229646,0.690107,0.691626,0.649114
2026-05-29T12:32:04+00:00,train,Hard,2022,0.6,0.7,358,0.6485,0.6197,0.6172,0.5838,0.016001,0.008887,0.008274,0.244959,0.242482,0.223921,0.683299,0.677929,0.639485
2026-05-29T12:32:04+00:00,train,Hard,2022,0.7,0.8,318,0.7473,0.69,0.6965,0.7138,0.00735,0.005235,0.00382,0.203591,0.203516,0.17899,0.597207,0.596839,0.539167
2026-05-29T12:32:04+00:00,train,Hard,2022,0.8,0.9,245,0.8476,0.7802,0.7304,0.7592,0.014973,0.003563,0.004877,0.192823,0.184223,0.157036,0.588405,0.55602,0.482194
2026-05-29T12:32:04+00:00,train,Hard,2022,0.9,1.0,121,0.9405,0.8816,0.8123,0.8347,0.008849,0.003923,0.001871,0.148454,0.139992,0.125493,0.525905,0.470372,0.410822
2026-05-29T12:32:04+00:00,train,Hard,2023,0.5,0.6,396,0.5494,0.5532,0.5461,0.5732,0.006599,0.005544,0.007512,0.241712,0.242601,0.236452,0.676441,0.678255,0.664094
2026-05-29T12:32:04+00:00,train,Hard,2023,0.6,0.7,338,0.6476,0.6188,0.6145,0.6124,0.008332,0.001505,0.000484,0.235197,0.234681,0.217092,0.662836,0.661942,0.622975
2026-05-29T12:32:04+00:00,train,Hard,2023,0.7,0.8,324,0.749,0.6934,0.7041,0.6944,0.012378,0.000231,0.002196,0.216031,0.212086,0.191359,0.625649,0.615226,0.565641
2026-05-29T12:32:04+00:00,train,Hard,2023,0.8,0.9,248,0.8451,0.7758,0.75,0.7379,0.018608,0.006584,0.002093,0.20423,0.19601,0.169162,0.612249,0.584482,0.511576
