date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,raw_p1_win_prob,raw_p2_win_prob,calibrated_p1_win_prob,calibrated_p2_win_prob,raw_odds1_shadow,raw_odds2_shadow,calibrated_odds1,calibrated_odds2,raw_value_p1,raw_value_p2,raw_value_same_side,calibrated_selected_prob,calibration_new_edge,shadow_reason,threshold_tier,signal_profile,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,spread_line,spread_odds,game_margin,tournament_speed_signal,clay_speed_tier,league
2026-03-31,00:14:29,Max Wiskandt,Patrick Zahraj,Clay,ATP250,high,1.6572,2.5215,2.15,1.758,29.73,-30.28,P1,29.73,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4442,0.5558,0.6034,0.3966,2.25,1.8,1.6572,2.5215,-4.44,-2.33,-4.44,0.6034,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-03-30,74151,48011,48011,74151,2026-03-31T10:11:43+00:00,,,,,,,,0.0,normal,Challenger
2026-03-31,10:10:39,Corentin Denolly,Maxwell Mckennon,Clay,ATP250,medium,2.3592,1.7358,1.625,2.36,-31.12,35.96,P2,35.96,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5764,0.4236,0.4239,0.5761,1.73,2.36,2.3592,1.7358,-6.07,0.0,0.0,0.5761,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-03-31,34103,65731,34103,65731,2026-04-01T10:09:30+00:00,,,,,,,,0.0,normal,Challenger
2026-03-31,10:10:39,Daniel Altmaier,Pedro Martinez Portero,Clay,ATP500,high,2.2609,1.7931,2.0,1.893,-11.54,5.57,P2,5.57,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5889,0.4111,0.4423,0.5577,1.7,2.43,2.2609,1.7931,17.65,-22.1,-22.1,0.5577,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-03-31,29732,27358,29732,27358,2026-04-01T10:09:30+00:00,,,,,,,,0.0,normal,ATP
2026-03-31,10:10:39,Miguel Damas,Abedallah Shelbayh,Clay,ATP250,medium,2.4445,1.6923,1.637,2.34,-33.03,38.27,P2,38.27,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5636,0.4364,0.4091,0.5909,1.77,2.29,2.4445,1.6923,-7.51,2.18,2.18,0.5909,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-04-01,41083,76009,41083,76009,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
2026-03-31,10:10:39,Alex Martinez,Alexander Donski,Clay,ATP250,high,2.226,1.8156,1.87,1.971,-15.99,8.56,P2,8.56,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5936,0.4064,0.4492,0.5508,1.68,2.46,2.226,1.8156,11.31,-19.88,-19.88,0.5508,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-04-01,68297,37053,68297,37053,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
2026-03-31,10:10:39,Sandro Kopp,Alejo Sanchez Quilez,Clay,ATP250,high,1.8012,2.2482,1.893,1.962,5.1,-12.73,P1,5.1,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4094,0.5906,0.5552,0.4448,2.44,1.69,1.8012,2.2482,-22.42,16.09,-22.42,0.5552,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-04-02,44209,98265,98265,44209,2026-04-03T09:19:20+00:00,,,,,,,,0.0,normal,Challenger
2026-03-31,10:10:39,Federico Arnaboldi,Andrew Paulson,Clay,ATP250,medium,2.3494,1.7411,1.84,2.0,-21.68,14.87,P2,14.87,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5776,0.4224,0.4256,0.5744,1.73,2.37,2.3494,1.7411,6.36,-15.61,-15.61,0.5744,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,WIN,1,2026-04-01,53722,67981,67981,53722,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
2026-03-31,10:10:39,Francesco Forti,Vitaliy Sachko,Clay,ATP250,high,1.5619,2.7798,2.24,1.699,43.42,-38.88,P1,43.42,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4672,0.5328,0.6403,0.3597,2.14,1.88,1.5619,2.7798,4.67,-9.63,4.67,0.6403,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-04-02,51965,28904,28904,51965,2026-04-03T09:19:20+00:00,,,,,,,,0.0,normal,Challenger
2026-04-01,10:08:46,Gabriel Diallo,Alex Molcan,Clay,ATP500,high,1.6098,2.6399,1.73,2.19,7.47,-17.04,P1,7.47,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4553,0.5447,0.6212,0.3788,2.2,1.84,1.6098,2.6399,-21.36,19.02,-21.36,0.6212,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-04-01,68627,34539,34539,68627,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,ATP
2026-04-01,10:08:46,Nuno Borges,Damir Dzumhur,Clay,ATP500,high,2.2238,1.8171,1.588,2.51,-28.59,38.13,P2,38.13,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5939,0.4061,0.4497,0.5503,1.68,2.46,2.2238,1.8171,-5.48,2.03,2.03,0.5503,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,WIN,1,2026-04-01,31446,13447,13447,31446,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,ATP
2026-04-01,10:08:46,Beibit Zhukayev,Dan Martin,Clay,ATP250,medium,1.5892,2.6972,1.68,2.26,5.71,-16.21,P1,5.71,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4862,0.5138,0.6292,0.3708,2.06,1.95,1.5892,2.6972,-18.45,15.9,-18.45,0.6292,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-04-01,56274,50848,56274,50848,2026-04-03T09:19:20+00:00,,,,,,,,0.0,normal,Challenger
2026-04-01,10:08:46,Vit Kopriva,Hamad Medjedovic,Clay,ATP500,high,2.6969,1.5893,2.29,1.69,-15.09,6.34,P2,6.34,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5397,0.4603,0.3708,0.6292,1.85,2.17,2.6969,1.5893,23.78,-22.12,-22.12,0.6292,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-04-01,42971,79060,42971,79060,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,ATP
2026-04-01,10:08:46,Rafael Jodar,Tomas Machac,Clay,ATP500,medium,1.5666,2.765,2.1,1.794,34.05,-35.12,P1,34.05,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.466,0.534,0.6383,0.3617,2.15,1.87,1.5666,2.765,-2.33,-4.06,-2.33,0.6383,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-04-02,99691,58327,99691,58327,2026-04-03T09:19:20+00:00,,,,,,,,0.0,normal,ATP
2026-04-01,10:08:46,Ignacio Buse,Camilo Ugo Carabelli,Clay,ATP500,high,2.2511,1.7993,1.741,2.18,-22.66,21.16,P2,21.16,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5902,0.4098,0.4442,0.5558,1.69,2.44,2.2511,1.7993,3.02,-10.66,-10.66,0.5558,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,WIN,1,2026-04-02,79113,42229,42229,79113,2026-04-03T09:19:20+00:00,,,,,,,,0.0,normal,ATP
2026-04-01,10:08:46,Luca Van Assche,Tallon Griekspoor,Clay,ATP500,high,1.5995,2.6681,2.09,1.8,30.67,-32.54,P1,30.67,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4578,0.5422,0.6252,0.3748,2.18,1.84,1.5995,2.6681,-4.13,-2.17,-4.13,0.6252,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-04-02,82371,33860,82371,33860,2026-04-03T09:19:20+00:00,,,,,,,,0.0,normal,ATP
2026-04-01,10:08:46,Maxim Mrva,Martin Krumich,Clay,ATP250,high,2.6188,1.6177,1.84,2.04,-29.74,26.1,P2,26.1,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5466,0.4534,0.3818,0.6182,1.83,2.21,2.6188,1.6177,0.55,-7.69,-7.69,0.6182,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,WIN,1,2026-04-02,97984,70459,70459,97984,2026-04-03T09:19:20+00:00,,,,,,,,0.0,normal,Challenger
2026-04-01,10:08:46,Manas Manoj Dhamne,Ugo Blanchet,Clay,ATP250,high,1.8106,2.2337,2.57,1.549,41.95,-30.65,P1,41.95,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.369,0.631,0.5523,0.4477,2.71,1.58,1.8106,2.2337,-5.17,-1.96,-5.17,0.5523,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-04-02,94055,44595,44595,94055,2026-04-03T09:19:20+00:00,,,,,,,,0.0,normal,Challenger
2026-04-01,10:08:46,Nikolas Sanchez-Izquierdo,Pol Martin Tiffon,Clay,ATP250,high,2.6624,1.6015,2.21,1.719,-16.99,7.33,P2,7.33,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5427,0.4573,0.3756,0.6244,1.84,2.19,2.6624,1.6015,20.11,-21.51,-21.51,0.6244,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,WIN,1,2026-04-01,41484,51853,51853,41484,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
2026-04-01,10:08:46,Daniel Rincon,Frederico Ferreira Silva,Clay,ATP250,high,1.805,2.2422,2.16,1.752,19.67,-21.86,P1,19.67,1.0,100.0,flat_match,match,base,,,,False,True,True,none,soft_unique,0.4086,0.5914,0.554,0.446,2.45,1.69,1.805,2.2422,-11.84,3.67,-11.84,0.554,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-04-01,76010,20396,76010,20396,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
2026-04-01,10:08:46,Alex Martinez,Alexander Donski,Clay,ATP250,high,2.7407,1.5745,1.862,1.98,-32.06,25.76,P2,25.76,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.536,0.464,0.3649,0.6351,1.87,2.16,2.7407,1.5745,-0.43,-8.33,-8.33,0.6351,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-04-01,68297,37053,68297,37053,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
2026-04-01,10:08:46,Federico Arnaboldi,Andrew Paulson,Clay,ATP250,medium,2.3469,1.7424,1.826,2.02,-22.2,15.93,P2,15.93,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5779,0.4221,0.4261,0.5739,1.73,2.37,2.3469,1.7424,5.55,-14.77,-14.77,0.5739,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,WIN,1,2026-04-01,53722,67981,67981,53722,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
2026-04-02,08:48:05,Lukas Neumayer,Toby Samuel,Clay,ATP250,medium,1.6173,2.6199,2.1,1.775,29.85,-32.25,P1,29.85,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4535,0.5465,0.6183,0.3817,2.2,1.83,1.6173,2.6199,-4.55,-3.01,-4.55,0.6183,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-04-03,83314,79068,83314,79068,2026-04-04T09:02:06+00:00,,,,,,,,0.0,normal,Challenger
