date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,confidence
2024-01-09,ASB Classic,Hard,2nd Round,ATP250,Daniel Altmaier,Felix Auger Aliassime,29732,40434,0.447998,0.444201,2.2322,3.2,1.41,Daniel Altmaier,43.359,winner,win,False,0.305857,Felix Auger Aliassime,0.552002,0.514857,0.521784,0.32581,high
2024-01-09,ASB Classic,Hard,1st Round,ATP250,Arthur Fils,Richard Gasquet,83135,674,0.55414,0.558833,1.8046,1.35,3.48,Arthur Fils,55.159,loser,loss,False,0.720497,Arthur Fils,0.55414,0.485097,0.399511,0.682702,high
2024-01-09,ASB Classic,Hard,2nd Round,ATP250,Alexandre Muller,Francisco Cerundolo,28108,52279,0.398984,0.375149,2.5064,2.24,1.74,Alexandre Muller,4.577,loser,skip,False,0.437186,Francisco Cerundolo,0.601016,0.630416,0.506917,0.203225,high
2024-01-09,ASB Classic,Hard,1st Round,ATP250,Sebastian Ofner,Denis Shapovalov,27547,33502,0.676178,0.716004,1.4789,1.94,1.94,Sebastian Ofner,31.179,winner,win,False,0.5,Sebastian Ofner,0.676178,0.537042,0.652455,0.764503,medium
2024-01-09,ASB Classic,Hard,1st Round,ATP250,Max Purcell,Kiranpal Pannu,28263,62722,0.823103,0.899953,1.2149,1.06,12.27,Max Purcell,117.053,loser,loss,False,0.92048,Max Purcell,0.823103,0.715763,0.871308,0.961529,high
2024-01-09,Adelaide International,Hard,1st Round,ATP250,Alex Bolt,Thiago Seyboth Wild,19689,36858,0.377901,0.351422,2.6462,1.93,1.96,Alex Bolt,21.931,loser,loss,False,0.503856,Thiago Seyboth Wild,0.622099,0.514537,0.43484,0.154978,medium
2024-01-09,Adelaide International,Hard,1st Round,ATP250,Alexander Bublik,James McCabe,24245,83315,0.712484,0.773904,1.4035,1.29,3.97,Alexander Bublik,14.144,loser,loss,False,0.754753,Alexander Bublik,0.712484,0.361795,0.674807,0.922653,high
2024-01-09,Adelaide International,Hard,1st Round,ATP250,Daniel Evans,Rinky Hijikata,9305,58149,0.451434,0.44908,2.2152,1.83,2.07,Daniel Evans,13.553,loser,loss,False,0.530769,Rinky Hijikata,0.548566,0.409306,0.444734,0.628014,high
2024-01-09,Adelaide International,Hard,1st Round,ATP250,Jiri Lehecka,Adam Walton,61838,47752,0.614827,0.644045,1.6265,1.35,3.43,Jiri Lehecka,32.114,loser,loss,False,0.717573,Jiri Lehecka,0.614827,0.332165,0.616231,0.863358,high
2024-01-09,Adelaide International,Hard,1st Round,ATP250,Christopher O'Connell,Arthur Rinderknech,24721,28170,0.533288,0.529192,1.8752,2.1,1.81,Christopher O'Connell,11.991,winner,win,False,0.462916,Christopher O'Connell,0.533288,0.61589,0.511258,0.568147,high
2024-01-09,Adelaide International,Hard,1st Round,ATP250,Lorenzo Sonego,Yannick Hanfmann,31392,14856,0.537839,0.535669,1.8593,1.5,2.75,Lorenzo Sonego,27.094,loser,loss,False,0.647059,Lorenzo Sonego,0.537839,0.523794,0.539777,0.515231,high
2024-01-09,Adelaide International,Hard,1st Round,ATP250,Jordan Thompson,Alejandro Pascacio F.,22433,24232,0.783307,0.936754,1.2766,1.22,4.76,Jordan Thompson,3.146,loser,skip,False,0.795987,Jordan Thompson,0.783307,0.644028,0.955765,0.657881,low
2024-01-10,ASB Classic,Hard,2nd Round,ATP250,Roberto Carballes Baena,Sebastian Ofner,21506,27547,0.317224,0.275943,3.1524,3.35,1.38,Roberto Carballes Baena,6.27,winner,win,False,0.291755,Sebastian Ofner,0.682776,0.413701,0.271538,0.363875,medium
2024-01-10,ASB Classic,Hard,Quarterfinals,ATP250,Taro Daniel,Alexandre Muller,20648,28108,0.524955,0.517323,1.9049,1.91,2.0,Taro Daniel,0.266,winner,skip,False,0.511509,Taro Daniel,0.524955,0.504709,0.570311,0.513865,high
2024-01-10,ASB Classic,Hard,2nd Round,ATP250,Taro Daniel,Max Purcell,20648,28263,0.479115,0.488476,2.0872,2.22,1.74,Taro Daniel,6.364,winner,win,False,0.439394,Max Purcell,0.520885,0.435272,0.576823,0.387083,high
2024-01-10,ASB Classic,Hard,2nd Round,ATP250,Arthur Fils,Nuno Borges,83135,31446,0.519789,0.509962,1.9239,1.27,4.23,Arthur Fils,103.129,loser,loss,False,0.769091,Arthur Fils,0.519789,0.384819,0.460824,0.648659,high
2024-01-10,ASB Classic,Hard,2nd Round,ATP250,Cameron Norrie,Luca Van Assche,27851,82371,0.684109,0.725678,1.4618,1.41,3.15,Cameron Norrie,-0.494,loser,skip,False,0.690789,Cameron Norrie,0.684109,0.582617,0.759595,0.825791,medium
2024-01-10,ASB Classic,Hard,2nd Round,ATP250,Ben Shelton,Fabian Marozsan,87562,52140,0.62152,0.647845,1.609,1.5,2.79,Ben Shelton,5.596,loser,loss,False,0.65035,Ben Shelton,0.62152,0.525184,0.600625,0.814597,medium
2024-01-10,ASB Classic,Hard,2nd Round,ATP250,Alejandro Tabilo,Botic Van De Zandschulp,30087,24249,0.534696,0.531195,1.8702,2.8,1.5,Alejandro Tabilo,49.715,winner,win,False,0.348837,Alejandro Tabilo,0.534696,0.559941,0.453083,0.43025,high
2024-01-10,Adelaide International,Hard,2nd Round,ATP250,Alexander Bublik,Daniel Evans,24245,9305,0.521485,0.512379,1.9176,1.95,1.95,Alexander Bublik,1.69,winner,skip,False,0.5,Alexander Bublik,0.521485,0.446518,0.491772,0.558805,high
2024-01-10,Adelaide International,Hard,2nd Round,ATP250,Jack Draper,Miomir Kecmanovic,63017,34337,0.536443,0.533682,1.8641,1.48,2.86,Jack Draper,32.577,loser,loss,False,0.658986,Jack Draper,0.536443,0.571636,0.513092,0.473634,high
2024-01-10,Adelaide International,Hard,2nd Round,ATP250,Nicolas Jarry,Matteo Arnaldi,27482,73956,0.555638,0.560959,1.7997,1.81,2.13,Nicolas Jarry,0.571,winner,skip,False,0.540609,Nicolas Jarry,0.555638,0.495845,0.515682,0.695294,high
2024-01-10,Adelaide International,Hard,2nd Round,ATP250,Sebastian Korda,Lorenzo Sonego,42451,31392,0.578723,0.593596,1.7279,1.6,2.5,Sebastian Korda,5.319,loser,loss,False,0.609756,Sebastian Korda,0.578723,0.541893,0.619712,0.606908,high
2024-01-10,Adelaide International,Hard,2nd Round,ATP250,Jiri Lehecka,Dusan Lajovic,61838,12190,0.475394,0.483174,2.1035,1.47,2.9,Jiri Lehecka,52.136,loser,loss,False,0.663616,Dusan Lajovic,0.524606,0.452643,0.44067,0.615339,high
2024-01-10,Adelaide International,Hard,2nd Round,ATP250,Lorenzo Musetti,Jordan Thompson,63572,22433,0.416854,0.400179,2.3989,2.49,1.61,Lorenzo Musetti,3.797,winner,skip,False,0.392683,Jordan Thompson,0.583146,0.375719,0.320772,0.645747,high
2024-01-10,Adelaide International,Hard,2nd Round,ATP250,Christopher O'Connell,Alexander Shevchenko,24721,64891,0.515386,0.503688,1.9403,2.13,1.8,Christopher O'Connell,9.777,winner,win,False,0.458015,Christopher O'Connell,0.515386,0.561418,0.552705,0.416618,high
2024-01-10,Adelaide International,Hard,2nd Round,ATP250,Vinay Kumar T,Alex Bolt,49583,19689,0.722685,0.765702,1.3837,1.3,3.94,Vinay Kumar T,9.262,loser,loss,False,0.751908,Vinay Kumar T,0.722685,0.450613,0.161222,0.953079,low
2024-01-11,ASB Classic,Hard,Quarterfinals,ATP250,Ben Shelton,Roberto Carballes Baena,87562,21506,0.647383,0.680392,1.5447,1.18,5.69,Ben Shelton,100.639,loser,loss,False,0.828239,Ben Shelton,0.647383,0.593125,0.610083,0.818379,medium
