tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,bet_side,segment_family,segment_type,n_bets,wins,losses,pl_units,roi_pct_raw,roi_pct_shrunk,win_rate_pct_raw,n
u s men s clay court championships,U.S. Men's Clay Court Championships,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,42,26,16,1.37,3.2619,0.1269,61.9048,42
citi open,Citi Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,41,20,21,-10.82,-26.3902,-16.3248,48.7805,41
maharashtra open,Maharashtra Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,41,25,16,-2.79,-6.8049,-5.7305,60.9756,41
mallorca championships,Mallorca Championships,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,41,18,23,0.74,1.8049,-0.9781,43.9024,41
us open,US Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_9_16,41,33,8,-0.27,-0.6585,-0.3359,80.4878,41
australian open,Australian Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_5_8,40,34,6,2.96,7.4,1.9741,85.0,40
delray beach open,Delray Beach Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,40,23,17,-0.57,-1.425,-1.9152,57.5,40
estoril open,Estoril Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,40,15,25,-2.55,-6.375,-5.7302,37.5,40
estoril open,Estoril Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,40,25,15,-3.56,-8.9,-6.9124,62.5,40
french open,French Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_5_8,40,34,6,-0.075,-0.1875,-2.3616,85.0,40
maharashtra open,Maharashtra Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,40,17,23,1.17,2.925,-0.4159,42.5,40
qatar exxon mobil open,Qatar Exxon Mobil Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,40,16,24,0.24,0.6,-1.7063,40.0,40
swiss indoors,Swiss Indoors,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,40,12,28,-8.52,-21.3,-14.2206,30.0,40
u s men s clay court championships,U.S. Men's Clay Court Championships,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,40,13,27,-6.87,-17.175,-11.9016,32.5,40
argentina open,Argentina Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,39,25,14,-2.41,-6.1795,-5.3459,64.1026,39
asb classic,ASB Classic,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,39,13,26,-0.91,-2.3333,-3.4365,33.3333,39
rosmalen grass court championships,Rosmalen Grass Court Championships,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,39,16,23,4.82,12.359,4.9066,41.0256,39
bnp paribas open,BNP Paribas Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_Q,38,13,25,-0.15,-0.3947,-0.5546,34.2105,38
china open,China Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,38,6,32,-23.18,-61.0,-36.237,15.7895,38
china open,China Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,38,31,7,6.49,17.0789,7.6637,81.5789,38
croatia open,Croatia Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,38,13,25,-5.77,-15.1842,-10.5947,34.2105,38
eastbourne international,Eastbourne International,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,38,17,21,-11.43,-30.0789,-18.6892,44.7368,38
japan open tennis championships,Japan Open Tennis Championships,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,38,20,18,14.26,37.5263,18.8218,52.6316,38
bnp paribas open,BNP Paribas Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_17_32,37,21,16,-1.63,-4.4054,-5.4795,56.7568,37
chile open,Chile Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,37,20,17,-6.51,-17.5946,-11.6249,54.0541,37
eastbourne international,Eastbourne International,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,37,22,15,-0.92,-2.4865,-2.5233,59.4595,37
french open,French Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_9_16,37,31,6,0.89,2.4054,1.3753,83.7838,37
barcelona open,Barcelona Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,36,23,13,-3.82,-10.6111,-6.9555,63.8889,36
bnp paribas open,BNP Paribas Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_9_16,36,28,8,0.27,0.75,0.4568,77.7778,36
chengdu open,Chengdu Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,36,20,16,-8.39,-23.3056,-14.6495,55.5556,36
generali open,Generali Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,36,22,14,-1.41,-3.9167,-3.304,61.1111,36
miami open,Miami Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_17_32,36,20,16,-2.48,-6.8889,-6.8504,55.5556,36
