date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,overlay_tournament_key,overlay_resolved_year,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier
2026-03-04,19:37:13,Joao Fonseca,Raphael Collignon,Hard,Masters 1000,high,2.2,1.83,1.787,2.13,-18.77,16.39,P2,16.39,overlay,328.0,4.0743,ok,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,bnp paribas open,2026,,,,,,
2026-03-04,19:37:13,Nuno Borges,Emilio Nava,Hard,Masters 1000,high,2.22,1.82,1.602,2.47,-27.84,35.71,P2,35.71,overlay,328.0,4.0743,ok,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,bnp paribas open,2026,,,,,,
2026-03-04,19:37:13,Alejandro Tabilo,Rafael Jodar,Hard,Masters 1000,high,1.68,2.47,2.14,1.781,27.38,-27.89,P1,27.38,overlay,328.0,4.0743,ok,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,bnp paribas open,2026,,,,,,
2026-03-05,00:49:24,Nuno Borges,Emilio Nava,Hard,Masters 1000,high,2.21,1.83,1.61,2.45,-27.15,33.88,P2,33.88,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Valentin Royer,Benjamin Bonzi,Hard,Masters 1000,high,2.58,1.63,2.05,1.826,-20.54,12.02,P2,12.02,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Alejandro Tabilo,Rafael Jodar,Hard,Masters 1000,high,1.68,2.47,2.14,1.781,27.38,-27.89,P1,27.38,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Daniel Merida Aguilar,Alex Michelsen,Hard,Masters 1000,high,2.57,1.63,3.54,1.331,37.74,-18.34,P1,37.74,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Joao Fonseca,Raphael Collignon,Hard,Masters 1000,high,2.2,1.83,1.787,2.13,-18.77,16.39,P2,16.39,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Juan Manuel Cerundolo,Botic Van De Zandschulp,Hard,Masters 1000,high,2.47,1.68,3.06,1.424,23.89,-15.24,P1,23.89,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Francesco Maestrelli,Rinky Hijikata,Hard,Masters 1000,high,1.83,2.2,2.25,1.699,22.95,-22.77,P1,22.95,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
