stake_units,stake_gbp,stake_model,signal_profile,date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,spread_calibration_reason,spread_calibration_source,spread_surface_scope,threshold_tier,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,game_margin,ml_short_fav_model_guard,ml_short_fav_market_guard,atp500_short_fav_ml_guard,short_fav_dog_spread_guard
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-17,09:09:56,Cameron Norrie,Rafael Jodar,Clay,ATP,ATP500,medium,,,1.833,2.07,25.4,-34.61,P1+,25.4,spread,4.0,1.833,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-17,27851,99691,99691,27851,2026-04-17T23:01:36+00:00,,,,,-7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-17,09:09:56,Arthur Fils,Lorenzo Musetti,Clay,ATP,ATP500,medium,,,1.935,1.935,-33.71,27.21,P2-,27.21,spread,0.0,1.935,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-17,83135,63572,83135,63572,2026-04-17T23:01:36+00:00,,,,,5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-17,09:09:56,Joao Fonseca,Ben Shelton,Clay,ATP,ATP500,high,,,2.0,1.885,-18.75,11.92,P2-,11.92,spread,-2.5,1.885,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-17,91521,87562,87562,91521,2026-04-17T23:01:36+00:00,,,,,-3,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,12:33:02,Andrey Rublev,Arthur Fils,Clay,ATP,ATP500,medium,,,1.87,2.02,34.19,-42.95,P1+,34.19,spread,3.5,1.87,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-19,29372,83135,83135,29372,2026-04-19T21:59:12+00:00,,,,,-5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,23:46:29,Elmer Moller,Hugo Gaston,Clay,ATP,Masters 1000,high,,,1.926,1.893,6.68,-15.56,P1+,6.68,spread,3.0,1.926,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-20,81189,46747,81189,46747,2026-04-21T09:08:57+00:00,,,,,6,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,23:46:29,Billy Harris,Daniel Merida Aguilar,Clay,ATP,Masters 1000,medium,,,1.935,1.885,16.18,-24.68,P1+,16.18,spread,4.0,1.935,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-20,29180,83223,83223,29180,2026-04-21T09:08:57+00:00,,,,,-5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,23:46:29,Nicolai Budkov Kjaer,Francesco Maestrelli,Clay,ATP,Masters 1000,high,,,1.926,1.962,-12.16,6.72,P2-,6.72,spread,-2.0,1.962,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-20,104215,63737,104215,63737,2026-04-21T09:08:57+00:00,,,,,4,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,21:20:05,Zsombor Piros,Tomas Barrios Vera,Clay,ATP,Masters 1000,high,,,1.847,1.98,-14.33,6.16,P2-,6.16,spread,-2.5,1.98,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-20,47021,30849,47021,30849,2026-04-21T09:08:57+00:00,,,,,5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,23:46:29,Henrique Rocha,Jan Choinski,Clay,ATP,Masters 1000,high,,,1.901,1.917,-17.89,8.9,P2-,8.9,spread,-2.5,1.917,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-20,83794,26421,83794,26421,2026-04-21T09:08:57+00:00,,,,,2,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,21:58:42,Zachary Svajda,Rei Sakamoto,Clay,ATP,Masters 1000,medium,,,1.971,1.847,7.2,-15.76,P1+,7.2,spread,1.5,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-20,73620,93550,93550,73620,2026-04-21T09:08:57+00:00,,,,,-6,,,,
