stake_units,stake_gbp,stake_model,signal_profile,date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,spread_calibration_reason,spread_calibration_source,spread_surface_scope,threshold_tier,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,game_margin,ml_short_fav_model_guard,ml_short_fav_market_guard,atp500_short_fav_ml_guard,short_fav_dog_spread_guard
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,09:57:34,Nuno Borges,Mariano Navone,Clay,ATP,Masters 1000,high,,,1.952,1.909,5.85,-12.62,P1+,5.85,spread,2.5,1.952,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-23,31446,66828,66828,31446,2026-04-23T23:01:02+00:00,,,,,-5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,23:00:39,Cameron Norrie,Tomas Machac,Clay,ATP,Masters 1000,medium,,,1.893,1.962,5.03,-12.66,P1+,5.03,spread,1.5,1.893,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,23:00:39,Sebastian Ofner,Tomas Martin Etcheverry,Clay,ATP,Masters 1000,high,,,1.862,2.0,-11.93,5.4,P2-,5.4,spread,2.0,2.0,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,23:00:39,Jaume Antoni Munar Clar,Casper Ruud,Clay,ATP,Masters 1000,medium,,,1.98,1.87,6.48,-13.57,P1+,6.48,spread,3.0,1.98,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,23:00:39,Rafael Jodar,Alex De Minaur,Clay,ATP,Masters 1000,medium,,,1.901,1.952,-28.79,22.08,P2-,22.08,spread,0.0,1.952,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,23:00:39,Jan-Lennard Struff,Alex Michelsen,Clay,ATP,Masters 1000,medium,,,1.926,1.926,-19.75,12.35,P2-,12.35,spread,-0.5,1.926,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,23:00:39,Mariano Navone,Alexander Zverev,Clay,ATP,Masters 1000,high,,,1.926,1.926,8.39,-15.79,P1+,8.39,spread,4.0,1.926,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,09:25:51,Rafael Jodar,Alex De Minaur,Clay,ATP,Masters 1000,medium,,,1.909,1.962,-24.06,18.16,P2-,18.16,spread,0.5,1.962,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,False,False,False,False
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,09:25:51,Cameron Norrie,Tomas Machac,Clay,ATP,Masters 1000,medium,,,1.926,1.943,5.54,-12.17,P1+,5.54,spread,1.5,1.926,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,False,False,False,False
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,09:25:51,Jaume Antoni Munar Clar,Casper Ruud,Clay,ATP,Masters 1000,medium,,,1.98,1.87,5.32,-12.47,P1+,5.32,spread,3.0,1.98,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,False,False,False,False
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,09:25:51,Vilius Gaubas,Felix Auger Aliassime,Clay,ATP,Masters 1000,medium,,,1.833,2.03,10.4,-19.27,P1+,10.4,spread,4.0,1.833,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,False,False,False,False
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,09:25:51,Learner Tien,Adolfo Daniel Vallejo,Clay,ATP,Masters 1000,medium,,,1.971,1.885,5.55,-12.44,P1+,5.55,spread,1.5,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,False,False,False,False
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,09:25:51,Camilo Ugo Carabelli,Flavio Cobolli,Clay,ATP,Masters 1000,high,,,1.893,1.962,19.66,-27.82,P1+,19.66,spread,3.5,1.893,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,False,False,False,False
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,09:25:51,Mariano Navone,Alexander Zverev,Clay,ATP,Masters 1000,high,,,1.926,1.926,8.95,-16.35,P1+,8.95,spread,4.0,1.926,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,False,False,False,False
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,10:01:09,Hubert Hurkacz,Lorenzo Musetti,Clay,ATP,Masters 1000,high,,,1.917,1.952,-55.47,49.85,P2-,49.85,spread,2.0,1.952,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,,,,,,True,False,False,False
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,10:01:09,Karen Khachanov,Adam Walton,Clay,ATP,Masters 1000,medium,,,1.752,2.14,15.45,-27.02,P1+,15.45,spread,-3.5,1.752,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,,,,,,True,True,False,False
