mode,scope,surface,cell,bucket,n,pnl,roi_pct,wr_pct,p_roi_le_0,ci_low_pct,ci_high_pct,pos_years,years,top_tournament,top_tournament_pnl,top_tournament_n
lagged,research_all,Clay,market_dog,slow,169,-31.53,-18.65680473372781,28.994082840236686,0.97,-37.94082840236687,1.5147928994082835,2,2022:-18.1u/39; 2023:+3.3u/39; 2024:+5.8u/20; 2025:-22.6u/71,Croatia Open,9.25,19
lagged,research_all,Clay,market_dog,neutral,352,3.2799999999999994,0.9318181818181817,37.78409090909091,0.458,-14.616477272727273,14.99715909090909,3,2022:+4.6u/78; 2023:+11.4u/115; 2024:-16.6u/98; 2025:+3.9u/61,Mutua Madrid Open,8.48,38
lagged,research_all,Clay,market_dog,fast,151,-15.7,-10.397350993377483,32.450331125827816,0.82,-31.841059602649008,8.847682119205299,1,2022:+6.3u/39; 2023:-6.8u/26; 2024:-11.1u/47; 2025:-4.1u/39,Cordoba Open,7.32,18
lagged,research_all,Clay,fav_agree,all,442,11.12,2.515837104072398,37.55656108597285,0.36,-11.452488687782807,16.898190045248867,2,2022:-2.9u/100; 2023:+15.9u/120; 2024:-4.1u/109; 2025:+2.3u/113,Croatia Open,9.440000000000001,15
lagged,research_all,Clay,fav_agree,slow,114,3.4200000000000004,3.0000000000000004,37.719298245614034,0.418,-19.92105263157895,29.850877192982455,2,2022:-11.2u/27; 2023:+8.1u/28; 2024:+8.8u/18; 2025:-2.2u/41,Croatia Open,9.440000000000001,15
lagged,research_all,Clay,fav_agree,neutral,232,2.5500000000000003,1.0991379310344829,37.06896551724138,0.478,-17.05603448275862,16.133620689655174,2,2022:-1.6u/54; 2023:+11.0u/71; 2024:-9.2u/62; 2025:+2.4u/45,Nordea Open,8.32,17
lagged,research_all,Clay,fav_agree,fast,96,5.1499999999999995,5.364583333333333,38.541666666666664,0.366,-21.677083333333332,36.17708333333333,2,2022:+9.9u/19; 2023:-3.2u/21; 2024:-3.7u/29; 2025:+2.2u/27,Cordoba Open,7.6,13
lagged,research_all,Clay,fav_disagree,all,304,-51.06,-16.79605263157895,36.51315789473684,0.994,-28.680921052631582,-3.7302631578947363,0,2022:-9.5u/68; 2023:-8.4u/83; 2024:-12.8u/74; 2025:-20.3u/79,Rio Open,3.99,10
lagged,research_all,Clay,fav_disagree,slow,70,-33.33,-47.614285714285714,22.857142857142858,1.0,-69.72857142857143,-26.200000000000003,0,2022:-7.2u/14; 2023:-3.4u/15; 2024:-2.9u/5; 2025:-19.9u/36,Estoril Open,0.81,4
lagged,research_all,Clay,fav_disagree,neutral,159,2.9399999999999986,1.8490566037735843,44.65408805031446,0.402,-13.29559748427673,19.22641509433962,3,2022:+2.7u/31; 2023:+0.3u/56; 2024:-3.4u/47; 2025:+3.3u/25,Rio Open,3.99,10
lagged,research_all,Clay,fav_disagree,fast,75,-20.669999999999998,-27.56,32.0,0.984,-52.93333333333333,-2.2133333333333316,0,2022:-5.1u/23; 2023:-5.3u/12; 2024:-6.5u/22; 2025:-3.7u/18,Grand Prix Hassan II,1.98,9
lagged,research_all,Clay,style_serve_led,all,358,-4.87,-1.3603351955307263,37.150837988826815,0.556,-15.600558659217878,11.935754189944134,1,2022:-5.7u/84; 2023:+10.8u/106; 2024:-0.4u/87; 2025:-9.6u/81,Croatia Open,10.360000000000001,10
lagged,research_all,Clay,style_serve_led,slow,76,-3.1799999999999997,-4.184210526315789,35.526315789473685,0.602,-33.80263157894737,26.0921052631579,2,2022:-1.8u/14; 2023:+2.0u/22; 2024:+4.3u/12; 2025:-7.6u/28,Croatia Open,10.360000000000001,10
lagged,research_all,Clay,style_serve_led,neutral,198,8.059999999999999,4.07070707070707,39.898989898989896,0.36,-14.247474747474747,22.474747474747474,3,2022:-9.9u/45; 2023:+14.0u/67; 2024:+2.6u/54; 2025:+1.2u/32,U.S. Men's Clay Court Championships,7.139999999999999,11
lagged,research_all,Clay,style_serve_led,fast,84,-9.75,-11.607142857142858,32.142857142857146,0.792,-38.154761904761905,17.833333333333336,1,2022:+6.0u/25; 2023:-5.2u/17; 2024:-7.3u/21; 2025:-3.2u/21,Lyon Open,7.75,9
lagged,research_all,Clay,style_balanced,all,143,-2.5300000000000002,-1.7692307692307694,38.46153846153846,0.564,-22.181818181818183,21.832167832167833,2,2022:+5.1u/28; 2023:+6.6u/36; 2024:-8.2u/41; 2025:-6.0u/38,Mutua Madrid Open,10.909999999999998,19
lagged,research_all,Clay,style_balanced,slow,37,-10.56,-28.54054054054054,24.324324324324323,0.904,-68.24324324324324,23.135135135135133,2,2022:-1.2u/5; 2023:+1.9u/8; 2024:+1.5u/6; 2025:-12.8u/18,Tiriac Open,1.83,2
lagged,research_all,Clay,style_balanced,neutral,71,9.02,12.704225352112676,45.070422535211264,0.188,-13.816901408450704,43.80281690140845,3,2022:+7.7u/17; 2023:+6.9u/21; 2024:-9.2u/21; 2025:+3.8u/12,Mutua Madrid Open,8.16,10
lagged,research_all,Clay,style_balanced,fast,35,-0.9900000000000007,-2.8285714285714305,40.0,0.564,-42.971428571428575,37.51428571428571,1,2022:-1.4u/6; 2023:-2.1u/7; 2024:-0.5u/14; 2025:+3.0u/8,Mutua Madrid Open,2.75,9
lagged,research_all,Clay,style_nonserve_led,all,245,-32.54,-13.281632653061225,36.326530612244895,0.954,-28.53469387755102,1.1714285714285715,0,2022:-11.9u/56; 2023:-9.9u/61; 2024:-8.4u/55; 2025:-2.3u/73,Nordea Open,6.300000000000001,9
lagged,research_all,Clay,style_nonserve_led,slow,71,-16.169999999999998,-22.77464788732394,32.394366197183096,0.95,-48.05633802816901,5.577464788732394,2,2022:-15.4u/22; 2023:+0.9u/13; 2024:+0.1u/5; 2025:-1.7u/31,Tiriac Open,0.94,4
lagged,research_all,Clay,style_nonserve_led,neutral,122,-11.59,-9.5,37.704918032786885,0.786,-30.450819672131146,13.606557377049178,2,2022:+3.3u/23; 2023:-9.6u/39; 2024:-6.0u/34; 2025:+0.7u/26,Nordea Open,6.300000000000001,9
