tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,segment_family,segment_type,n_matches,wins,losses,win_rate_pct_raw,win_rate_pct_shrunk,r1_matches,r1_wins,r1_win_rate_pct_raw,max_round,max_round_order,n
nextgen finals,NextGen Finals,year,2022,2022,2022,,seed,seed_3_4,9,7,2,77.7778,68.8452,0,0,,F,9,9
roland garros,Roland Garros,year,2022,2022,2022,,seed,seed_1_2,9,7,2,77.7778,73.8445,2,2,100.0,QF,7,9
rome masters,Rome Masters,year,2022,2022,2022,,entry,entry_Q,9,2,7,22.2222,33.9807,7,2,28.5714,R32,5,9
rome masters,Rome Masters,year,2022,2022,2022,,seed,seed_1_2,9,8,1,88.8889,77.2927,0,0,,F,9,9
rotterdam,Rotterdam,year,2022,2022,2022,,seed,seed_1_2,9,7,2,77.7778,73.8445,2,2,100.0,F,9,9
adelaide 1,Adelaide 1,year,2022,2022,2022,,seed,seed_1_2,8,7,1,87.5,76.4818,0,0,,F,9,8
adelaide 2,Adelaide-2,year,2022,2022,2022,,entry,entry_Q,8,4,4,50.0,42.3372,4,2,50.0,SF,8,8
astana,Astana,year,2022,2022,2022,,seed,seed_5_8,8,5,3,62.5,61.1737,3,2,66.6667,SF,8,8
belgrade,Belgrade,year,2022,2022,2022,,seed,seed_1_2,8,7,1,87.5,76.4818,0,0,,F,9,8
buenos aires,Buenos Aires,year,2022,2022,2022,,seed,seed_1_2,8,7,1,87.5,76.4818,0,0,,F,9,8
buenos aires,Buenos Aires,year,2022,2022,2022,,seed,seed_5_8,8,4,4,50.0,57.6023,4,2,50.0,SF,8,8
cincinnati masters,Cincinnati Masters,year,2022,2022,2022,,entry,entry_Q,8,1,7,12.5,31.6229,7,1,14.2857,R32,5,8
cincinnati masters,Cincinnati Masters,year,2022,2022,2022,,seed,seed_3_4,8,6,2,75.0,67.7326,0,0,,F,9,8
davis cup qls r1 aus vs hun,Davis Cup QLS R1: AUS vs HUN,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
