date,tournament,winner_id,loser_id,winner_name,loser_name,winner_rank,loser_rank,winner_points,loser_points,join_method
2022-07-28,Generali Open,1837,61838,Roberto Bautista Agut,Jiri Lehecka,20,68,1600,710,surname
2022-07-28,Generali Open,6691,5829,Albert Ramos-Vinolas,Pablo Martinez,52,49,915,965,surname
2022-07-29,Croatia Open,17972,20104,Franco Agamenone,Marco Cecchinato,136,151,398,362,surname
2022-07-29,Croatia Open,47275,21506,Jannik Sinner,Roberto Carballes Baena,10,86,3185,611,surname
2022-07-29,Croatia Open,57769,29579,Giulio Zeppieri,Bernabe Zapata Miralles,168,82,318,629,surname
2022-07-29,Croatia Open,68074,11881,Carlos Alcaraz,Facundo Bagnis,5,120,4895,444,surname
2022-07-29,Generali Open,1837,6691,Roberto Bautista Agut,Albert Ramos-Vinolas,20,52,1600,915,surname
2022-07-29,Generali Open,51417,12190,Filip Misolic,Dusan Lajovic,205,80,257,645,surname
2022-07-30,Croatia Open,47275,17972,Jannik Sinner,Franco Agamenone,10,136,3185,398,surname
2022-07-30,Croatia Open,68074,57769,Carlos Alcaraz,Giulio Zeppieri,5,168,4895,318,surname
2022-07-30,Generali Open,1837,51417,Roberto Bautista Agut,Filip Misolic,20,205,1600,257,surname
2022-07-30,Generali Open,51417,14856,Filip Misolic,Yannick Hanfmann,205,140,257,391,surname
2022-07-31,Croatia Open,47275,68074,Jannik Sinner,Carlos Alcaraz,10,5,3185,4895,surname
2023-02-06,Cordoba Open,12190,26153,Dusan Lajovic,Juan Pablo Varillas,,,,,miss
2023-02-06,Cordoba Open,29579,21506,Bernabe Zapata Miralles,Roberto Carballes Baena,76,77,702,695,surname
2023-02-07,Cordoba Open,11940,30087,Federico Delbonis,Alejandro Tabilo,131,146,426,394,surname
2023-02-07,Cordoba Open,18720,14609,Federico Coria,Thiago Moura Monteiro,67,78,775,690,surname
2023-02-07,Cordoba Open,24840,5829,Cristian Garin,Pablo Martinez,103,72,526,746,surname
