signal_date,time_utc,match_date,bet_type,player1,player2,player1_id,player2_id,surface,series,confidence,side,spread_line,value_pct,history_sub_reason,fallback_reason,surname_keys_generated,nearest_in_window_capture_1,nearest_in_window_capture_2,nearest_in_window_capture_3,signal_profile,policy_mode
2026-03-05,20:35:09,2026-03-08,match,Zizou Bergs,Tommy Paul,37741,29935,Hard,Masters 1000,high,P1,,39.45,history_not_found,pair_not_found,bergs|paul;bergs|tommy;bergs|tommy paul;bergs|tommypaul;zizou bergs|paul;zizou bergs|tommy;zizou bergs|tommy paul;zizou bergs|tommypaul;zizoubergs|paul;zizoubergs|tommy;zizoubergs|tommy paul;zizoubergs|tommypaul;zizou|paul;zizou|tommy;zizou|tommy paul;zizou|tommypaul,,,,,base
2026-03-06,10:56:54,2026-03-08,match,Karen Khachanov,Joao Fonseca,25543,91521,Hard,Masters 1000,high,P1,,34.5,history_not_found,pair_not_found,karen khachanov|fonseca;karen khachanov|joao;karen khachanov|joao fonseca;karen khachanov|joaofonseca;karenkhachanov|fonseca;karenkhachanov|joao;karenkhachanov|joao fonseca;karenkhachanov|joaofonseca;karen|fonseca;karen|joao;karen|joao fonseca;karen|joaofonseca;khachanov|fonseca;khachanov|joao;khachanov|joao fonseca;khachanov|joaofonseca,,,,,base
2026-03-06,10:56:54,2026-03-08,match,Tomas Martin Etcheverry,Denis Shapovalov,37532,33502,Hard,Masters 1000,high,P1,,16.82,history_not_found,pair_not_found,etcheverry|denis;etcheverry|denis shapovalov;etcheverry|denisshapovalov;etcheverry|shapovalov;martin etcheverry|denis;martin etcheverry|denis shapovalov;martin etcheverry|denisshapovalov;martin etcheverry|shapovalov;martinetcheverry|denis;martinetcheverry|denis shapovalov;martinetcheverry|denisshapovalov;martinetcheverry|shapovalov;martin|denis;martin|denis shapovalov;martin|denisshapovalov;martin|shapovalov,,,,,base
2026-03-06,10:56:54,2026-03-08,match,Dalibor Svrcina,Jannik Sinner,63299,47275,Hard,Masters 1000,high,P1,,429.97,history_not_found,pair_not_found,dalibor svrcina|jannik;dalibor svrcina|jannik sinner;dalibor svrcina|janniksinner;dalibor svrcina|sinner;daliborsvrcina|jannik;daliborsvrcina|jannik sinner;daliborsvrcina|janniksinner;daliborsvrcina|sinner;dalibor|jannik;dalibor|jannik sinner;dalibor|janniksinner;dalibor|sinner;svrcina|jannik;svrcina|jannik sinner;svrcina|janniksinner;svrcina|sinner,,,,,base
2026-03-06,10:56:54,2026-03-08,match,Lorenzo Musetti,Marton Fucsovics,63572,13674,Hard,Masters 1000,high,P2,,10.94,history_not_found,pair_not_found,lorenzo musetti|fucsovics;lorenzo musetti|marton;lorenzo musetti|marton fucsovics;lorenzo musetti|martonfucsovics;lorenzomusetti|fucsovics;lorenzomusetti|marton;lorenzomusetti|marton fucsovics;lorenzomusetti|martonfucsovics;lorenzo|fucsovics;lorenzo|marton;lorenzo|marton fucsovics;lorenzo|martonfucsovics;musetti|fucsovics;musetti|marton;musetti|marton fucsovics;musetti|martonfucsovics,,,,,base
2026-03-06,10:56:54,2026-03-08,match,Andrey Rublev,Gabriel Diallo,29372,68627,Hard,Masters 1000,high,P2,,14.23,history_not_found,pair_not_found,andrey rublev|diallo;andrey rublev|gabriel;andrey rublev|gabriel diallo;andrey rublev|gabrieldiallo;andreyrublev|diallo;andreyrublev|gabriel;andreyrublev|gabriel diallo;andreyrublev|gabrieldiallo;andrey|diallo;andrey|gabriel;andrey|gabriel diallo;andrey|gabrieldiallo;rublev|diallo;rublev|gabriel;rublev|gabriel diallo;rublev|gabrieldiallo,,,,,base
2026-03-06,10:56:54,2026-03-08,match,Gael Monfils,Felix Auger Aliassime,5917,40434,Hard,Masters 1000,high,P1,,40.25,history_not_found,pair_not_found,gael monfils|aliassime;gael monfils|auger;gael monfils|auger aliassime;gael monfils|augeraliassime;gaelmonfils|aliassime;gaelmonfils|auger;gaelmonfils|auger aliassime;gaelmonfils|augeraliassime;gael|aliassime;gael|auger;gael|auger aliassime;gael|augeraliassime;monfils|aliassime;monfils|auger;monfils|auger aliassime;monfils|augeraliassime,,,,,base
2026-03-06,10:56:54,2026-03-08,match,Jenson Brooksby,Frances Tiafoe,40609,29939,Hard,Masters 1000,high,P2,,11.75,history_not_found,pair_not_found,brooksby|frances;brooksby|frances tiafoe;brooksby|francestiafoe;brooksby|tiafoe;jenson brooksby|frances;jenson brooksby|frances tiafoe;jenson brooksby|francestiafoe;jenson brooksby|tiafoe;jensonbrooksby|frances;jensonbrooksby|frances tiafoe;jensonbrooksby|francestiafoe;jensonbrooksby|tiafoe;jenson|frances;jenson|frances tiafoe;jenson|francestiafoe;jenson|tiafoe,,,,,base
2026-03-06,23:58:57,2026-03-08,match,Alexander Shevchenko,Casper Ruud,64891,33648,Hard,Masters 1000,high,P1,,46.5,history_not_found,pair_not_found,alexander shevchenko|casper;alexander shevchenko|casper ruud;alexander shevchenko|casperruud;alexander shevchenko|ruud;alexandershevchenko|casper;alexandershevchenko|casper ruud;alexandershevchenko|casperruud;alexandershevchenko|ruud;alexander|casper;alexander|casper ruud;alexander|casperruud;alexander|ruud;shevchenko|casper;shevchenko|casper ruud;shevchenko|casperruud;shevchenko|ruud,,,,,base
2026-03-06,23:58:57,2026-03-08,match,Roberto Bautista Agut,Jack Draper,1837,63017,Hard,Masters 1000,high,P1,,59.4,history_not_found,pair_not_found,agut|draper;agut|jack;agut|jack draper;agut|jackdraper;bautista agut|draper;bautista agut|jack;bautista agut|jack draper;bautista agut|jackdraper;bautistaagut|draper;bautistaagut|jack;bautistaagut|jack draper;bautistaagut|jackdraper;bautista|draper;bautista|jack;bautista|jack draper;bautista|jackdraper,,,,,base
