date_iso,year,surface,series,league,player1,player2,spread_line,spread_odds1,spread_odds2,p1_match_prob,p_a,p_b,margin_p1,cover_result,base_prob_raw,base_prob,market_prob_devig_p1,market_logit_delta,overround,line_bucket,match_method,captured_at,snapshot_source_file,surface_clay,line_abs_centered,line_bucket_3_5,line_bucket_4_5,line_bucket_5_5_plus,p1_match_prob_centered
2026-03-31,2026,Clay,,ATP,Alexander Shevchenko,Radu David Turcanu,-5.5,1.82,2.04,0.7382,0.6384,0.588,6.0,1,0.242078,0.318396,0.528497,0.875267,0.039647,5.5,audit_local,2026-03-31T00:12:55+00:00,handicap-input-audit.csv,1.0,1.0,0.0,0.0,1.0,0.2382
2026-03-31,2026,Clay,,ATP,Christopher O'Connell,Mariano Navone,4.0,2.04,1.82,0.3288,0.5959,0.6304,-3.0,1,0.573908,0.54993,0.471503,-0.3145,0.039647,4.0,audit_local,2026-03-31T00:12:55+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,-0.1712
2026-03-31,2026,Clay,,ATP,Adrian Boitan,Elmer Moller,3.5,2.03,1.826,0.3048,0.5933,0.6331,-5.0,0,0.549294,0.474324,0.473548,-0.003114,0.040256,3.5,audit_local,2026-03-31T00:12:55+00:00,handicap-input-audit.csv,1.0,-1.0,1.0,0.0,0.0,-0.1952
2026-03-31,2026,Clay,,ATP,Nishesh Basavareddy,Liam Draxl,-0.5,1.901,1.952,0.4715,0.6403,0.6456,1.0,1,0.454379,0.428001,0.506618,0.316486,0.038334,0.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-4.0,0.0,0.0,0.0,-0.0285
2026-03-31,2026,Clay,,ATP,Tomas Martin Etcheverry,Federico Agustin Gomez,-4.5,2.08,1.794,0.8557,0.6862,0.5997,2.0,0,0.487262,0.443961,0.463087,0.077182,0.038183,4.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,0.0,0.0,1.0,0.0,0.3557
2026-03-31,2026,Clay,,ATP,Alexei Popyrin,Patrick Kypson,-2.5,1.99,1.885,0.5757,0.5278,0.5348,3.0,1,0.350628,0.376829,0.486452,0.448821,0.033017,2.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.0757
2026-03-31,2026,Clay,,ATP,Timofey Skatov,Camilo Ugo Carabelli,4.0,1.862,2.0,0.2331,0.6036,0.6615,-4.0,0,0.490299,0.514523,0.517866,0.013387,0.037057,4.0,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,-0.2669
2026-03-31,2026,Clay,,ATP,Daniel Altmaier,Pedro Martinez Portero,0.0,1.971,1.901,0.5889,0.6221,0.6042,7.0,1,0.574401,0.509139,0.490961,-0.07272,0.033396,0.0,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-4.5,0.0,0.0,0.0,0.0889
2026-03-31,2026,Clay,,ATP,Roberto Bautista Agut,Titouan Droguet,1.5,1.99,1.885,0.3483,0.598,0.6283,-5.0,0,0.42374,0.413093,0.486452,0.296986,0.033017,1.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-3.0,0.0,0.0,0.0,-0.1517
2026-03-31,2026,Clay,,ATP,Martin Damm,Brandon Nakashima,3.0,2.01,1.862,0.1832,0.6066,0.6793,-5.0,0,0.323811,0.421356,0.480888,0.240728,0.034569,3.0,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-1.5,0.0,0.0,0.0,-0.3168
2026-03-31,2026,Clay,,ATP,Aleksandar Kovacevic,Rinky Hijikata,-2.5,1.962,1.909,0.4444,0.6375,0.6484,-6.0,0,0.315558,0.358772,0.493154,0.553312,0.033518,2.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,-0.0556
2026-03-31,2026,Clay,,ATP,Damir Dzumhur,Filip Cristian Jianu,-3.0,1.885,1.99,0.6985,0.6337,0.5927,2.0,0,0.472921,0.48815,0.513548,0.101616,0.033017,3.0,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-1.5,0.0,0.0,0.0,0.1985
2026-03-31,2026,Clay,,ATP,Francesco Maestrelli,Botic Van De Zandschulp,3.5,1.952,1.917,0.3875,0.5735,0.5839,-7.0,0,0.658192,0.530485,0.495477,-0.140186,0.033943,3.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-1.0,1.0,0.0,0.0,-0.1125
2026-03-31,2026,Clay,,ATP,Sebastian Baez,Vilius Gaubas,-4.5,1.943,1.926,0.5683,0.62,0.6063,8.0,1,0.244389,0.319737,0.497803,0.746193,0.033879,4.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,0.0,0.0,1.0,0.0,0.0683
2026-03-31,2026,Clay,,ATP,Mattia Bellucci,Reda Bennani,-5.0,2.01,1.862,0.6605,0.6492,0.6158,2.0,0,0.164235,0.347734,0.480888,0.55253,0.034569,5.0,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,0.5,0.0,0.0,0.0,0.1605
2026-03-31,2026,Clay,,ATP,Juan Manuel Cerundolo,Kamil Majchrzak,0.5,1.952,1.917,0.5734,0.5956,0.5942,-1.0,0,0.53333,0.466449,0.495477,0.116313,0.033943,0.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-4.0,0.0,0.0,0.0,0.0734
2026-03-31,2026,Clay,,ATP,Federico Cina,Alexandre Muller,1.0,1.971,1.901,0.31,0.6129,0.6521,-7.0,0,0.333756,0.395175,0.490961,0.389448,0.033396,1.0,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-3.5,0.0,0.0,0.0,-0.19
2026-03-31,2026,Clay,,ATP,Alex Michelsen,Chak Lam Coleman Wong,-3.5,1.909,1.962,0.6959,0.6639,0.622,6.0,1,0.442114,0.422042,0.506846,0.341779,0.033518,3.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-1.0,1.0,0.0,0.0,0.1959
2026-03-31,2026,Clay,,ATP,Henrique Rocha,Marco Trungelliti,-2.0,1.962,1.909,0.3825,0.5323,0.5687,-5.0,0,0.220626,0.328269,0.493154,0.688641,0.033518,2.0,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,-0.1175
2026-03-31,2026,Clay,,ATP,Ignacio Buse,Matteo Berrettini,2.5,1.98,1.893,0.531,0.6219,0.6,2.0,1,0.739016,0.577293,0.488768,-0.356605,0.033313,2.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.031
2026-03-31,2026,Clay,,ATP,Luca Van Assche,Hugo Gaston,-2.0,1.935,1.935,0.6027,0.5726,0.5283,3.0,1,0.613832,0.536314,0.5,-0.145511,0.033592,2.0,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,0.1027
2026-03-31,2026,Clay,,ATP,Rafael Jodar,Dusan Lajovic,-2.5,1.962,1.893,0.6007,0.5243,0.5268,5.0,1,0.372888,0.388025,0.491051,0.419818,0.037946,2.5,audit_local,2026-03-31T10:08:41+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.1007
2026-04-01,2026,Clay,,ATP,Gabriel Diallo,Alex Molcan,-1.5,1.893,1.962,0.5961,0.6228,0.6035,-8.0,0,0.532644,0.466112,0.508949,0.171562,0.037946,1.5,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,-3.0,0.0,0.0,0.0,0.0961
2026-04-01,2026,Clay,,ATP,Elmer Moller,Mariano Navone,5.0,1.847,2.03,0.3309,0.5961,0.6302,-9.0,0,0.694622,0.629683,0.523601,-0.436384,0.034029,5.0,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,0.5,0.0,0.0,0.0,-0.1691
2026-04-01,2026,Clay,,ATP,Roman Andres Burruchaga,Adam Walton,-2.5,1.971,1.901,0.6958,0.6639,0.622,7.0,1,0.562414,0.480843,0.490961,0.040504,0.033396,2.5,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.1958
2026-04-01,2026,Clay,,ATP,Ben Shelton,Zhizhen Zhang,-3.0,1.901,1.962,0.84,0.6834,0.6025,2.0,0,0.61408,0.574402,0.507895,-0.268251,0.035723,3.0,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,-1.5,0.0,0.0,0.0,0.34
2026-04-01,2026,Clay,,ATP,Thiago Agustin Tirante,Mackenzie Mcdonald,-3.5,1.962,1.909,0.6197,0.5361,0.5296,10.0,1,0.346622,0.374795,0.493154,0.484317,0.033518,3.5,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,-1.0,1.0,0.0,0.0,0.1197
2026-04-01,2026,Clay,,ATP,Nuno Borges,Damir Dzumhur,-2.5,1.935,1.935,0.5499,0.5661,0.5786,-3.0,0,0.322818,0.36256,0.5,0.564272,0.033592,2.5,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.0499
2026-04-01,2026,Clay,,ATP,Tomas Martin Etcheverry,Alex Bolt,-4.5,1.84,2.02,0.87,0.6888,0.5971,8.0,1,0.508354,0.454224,0.523316,0.276949,0.038528,4.5,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,0.0,0.0,1.0,0.0,0.37
2026-04-01,2026,Clay,,ATP,Vit Kopriva,Hamad Medjedovic,2.0,1.943,1.926,0.532,0.5823,0.5758,5.0,1,0.60558,0.532513,0.497803,-0.139022,0.033879,2.0,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,0.032
2026-04-01,2026,Clay,,ATP,Luciano Darderi,Mattia Bellucci,-4.0,1.87,1.99,0.8452,0.6482,0.5433,6.0,1,0.644546,0.596607,0.515544,-0.329153,0.037272,4.0,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,0.3452
2026-04-01,2026,Clay,,ATP,Marco Trungelliti,Kamil Majchrzak,3.0,1.917,1.952,0.4178,0.6244,0.6406,4.0,1,0.579076,0.539685,0.504523,-0.14098,0.033943,3.0,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,-1.5,0.0,0.0,0.0,-0.0822
