tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,n_matches,fav_bets,fav_wins,fav_pl,fav_roi_pct_raw,fav_roi_pct_shrunk,dog_bets,dog_wins,dog_pl,dog_roi_pct_raw,dog_roi_pct_shrunk,n
stockholm open,Stockholm Open,prior_editions,prior_to_2026,2022,2025,2026,27,27,17,-1.83,-6.7778,-4.6013,27,10,-3.2,-11.8519,-8.6454,27
firenze open,Firenze Open,prior_editions,prior_to_2026,2022,2025,2026,26,26,18,1.73,6.6538,1.6737,26,8,1.18,4.5385,-0.9783,26
millennium estoril open,Millennium Estoril Open,prior_editions,prior_to_2026,2022,2025,2026,26,26,15,-2.88,-11.0769,-6.5584,26,11,-1.63,-6.2692,-5.9962,26
napoli cup,Napoli Cup,prior_editions,prior_to_2026,2022,2025,2026,26,26,15,-3.04,-11.6923,-6.8442,26,11,0.38,1.4615,-2.4069,26
san diego open,San Diego Open,prior_editions,prior_to_2026,2022,2025,2026,26,26,19,3.1,11.9231,4.1201,26,7,-8.32,-32.0,-17.9426,26
serbia open,Serbia Open,prior_editions,prior_to_2026,2022,2025,2026,26,26,18,0.04,0.1538,-1.3442,26,8,-4.79,-18.4231,-11.639,26
srpska open,Srpska Open,prior_editions,prior_to_2026,2022,2025,2026,26,26,15,-3.32,-12.7692,-7.3442,26,11,7.73,29.7308,10.7181,26
tel aviv open,Tel Aviv Open,prior_editions,prior_to_2026,2022,2025,2026,26,26,17,-1.03,-3.9615,-3.2549,26,9,-0.14,-0.5385,-3.3355,26
mercedes cup,Mercedes Cup,prior_editions,prior_to_2026,2022,2025,2026,25,25,15,-0.67,-2.68,-2.6595,25,10,-2.8,-11.2,-8.2325,25
sydney tennis classic,Sydney Tennis Classic,prior_editions,prior_to_2026,2022,2025,2026,25,25,16,2.06,8.24,2.3041,25,9,-8.0,-32.0,-17.687,25
zhuhai championships,Zhuhai Championships,prior_editions,prior_to_2026,2022,2025,2026,25,25,21,7.51,30.04,12.2132,25,4,-15.64,-62.56,-31.5779,25
gijon open,Gijon Open,prior_editions,prior_to_2026,2022,2025,2026,24,24,17,1.74,7.25,1.7542,24,7,-10.23,-42.625,-22.1442,24
hellenic championship,Hellenic Championship,prior_editions,prior_to_2026,2022,2025,2026,23,23,18,7.32,31.8261,12.3156,23,5,-10.94,-47.5652,-23.9016,23
melbourne summer set,Melbourne Summer Set,prior_editions,prior_to_2026,2022,2025,2026,22,22,16,3.19,14.5,4.6101,22,6,-2.52,-11.4545,-8.169,22
korea open,Korea Open,prior_editions,prior_to_2026,2022,2025,2026,21,21,13,-2.79,-13.2857,-7.025,21,8,2.21,10.5238,0.9454,21
