captured_at,event_id,kickoff_at,bookmaker,league,home,away,market_name,odds_count,sample_labels
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Team Total (Double Faults) Home,6,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Team Total (Games) Away,1,hdp=12.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Team Total (Games) Home,1,hdp=12.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Totals 1st Set,6,hdp=6.5 | hdp=7.5 | hdp=8.5 | hdp=9.5 | hdp=10.5 | hdp=12.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",ML,1,"{'home': '1.80', 'away': '2.00'}"
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Team Total (Aces) Home,7,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Totals (Double Faults),8,hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5 | hdp=11.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Totals (Games),1,hdp=23.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Totals (Aces),8,hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5 | hdp=24.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Team Total (Aces) Away,6,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Team Total (Games) Away,1,hdp=12.5
