date,tour,tournament,player,opponent,market,line,over_odds,under_odds
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,aces,50.0,,15.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,aces,10.0,1.3000,
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,aces,15.0,2.0000,1.0600
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,aces,20.0,3.7500,1.2200
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,aces,25.0,7.0000,1.5700
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,aces,30.0,15.0000,2.2000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,double_faults,25.0,,13.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,double_faults,2.0,1.0200,
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,double_faults,3.0,1.0700,1.0100
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,double_faults,5.0,1.3300,
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,double_faults,8.0,2.3700,1.0400
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,double_faults,10.0,4.0000,1.1200
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,double_faults,12.0,8.0000,1.2800
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,double_faults,15.0,21.0000,1.8000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,double_faults,20.0,26.0000,4.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,aces,10.0,1.4400,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,aces,15.0,2.2500,1.1400
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,aces,20.0,4.3300,1.4400
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,aces,25.0,9.0000,2.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,aces,30.0,17.0000,3.2500
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,aces,3.0,1.0100,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,aces,40.0,26.0000,9.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,aces,50.0,,26.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,aces,5.0,1.0600,
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,double_faults,5.0,1.0600,
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,double_faults,8.0,1.3300,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,double_faults,10.0,1.7200,1.0700
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,double_faults,12.0,2.5000,1.1800
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,double_faults,15.0,5.0000,1.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,double_faults,20.0,19.0000,3.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,double_faults,25.0,26.0000,8.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,double_faults,2.0,,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Jaume Munar,double_faults,3.0,,1.0800
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,double_faults,1.0,,1.1000
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,double_faults,2.0,1.0100,
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,double_faults,15.0,26.0000,11.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,double_faults,20.0,,26.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,double_faults,3.0,1.0700,1.0100
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,double_faults,5.0,1.3600,1.0800
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,double_faults,8.0,3.0000,1.5700
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,double_faults,10.0,6.0000,2.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,double_faults,12.0,13.0000,4.3300
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,aces,5.0,1.0500,1.0400
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,aces,40.0,26.0000,5.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,aces,3.0,1.0100,
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,aces,10.0,1.3600,
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,aces,15.0,2.1000,1.0500
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,aces,20.0,3.7500,1.2000
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,aces,25.0,7.0000,1.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,aces,30.0,15.0000,2.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Kamil Majchrzak,aces,50.0,,13.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,aces,10.0,1.2800,
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,aces,15.0,1.9000,1.0300
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,aces,20.0,3.4000,1.1200
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,aces,25.0,6.5000,1.3300
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,aces,30.0,13.0000,1.7200
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,aces,40.0,26.0000,3.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,aces,50.0,,9.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,aces,5.0,1.0300,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,double_faults,2.0,1.1200,
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,double_faults,3.0,1.3600,
