captured_at,league,match_date,kickoff_iso,home_team,away_team,line,side,odds_decimal,odds_american
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),9.0,over,1.5319,-188
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),9.0,under,2.44,144
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),9.5,over,1.7353,-136
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),9.5,under,2.09,109
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),10.5,over,2.15,115
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),10.5,under,1.6897,-145
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),11.0,over,2.49,149
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),11.0,under,1.5102,-196
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,9.5,over,1.813,-123
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,9.5,under,2.01,101
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,8.5,over,1.4587,-218
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,8.5,under,2.63,163
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,9.0,over,1.5848,-171
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,9.0,under,2.34,134
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,10.0,over,2.01,101
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,10.0,under,1.8,-125
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,10.5,over,2.22,122
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford,Everton,10.5,under,1.6369,-157
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),10.5,over,1.9709,-103
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),10.5,under,1.8547,-117
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),9.5,over,1.5882,-170
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),9.5,under,2.31,131
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),10.0,over,1.7407,-135
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),10.0,under,2.08,108
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),11.0,over,2.21,121
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),11.0,under,1.6579,-152
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),11.5,over,2.43,143
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool (Corners),Fulham (Corners),11.5,under,1.5348,-187
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T12:59:00Z,Home Teams (4 Games),Away Teams (4 Games),11.5,over,2.07,107
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T12:59:00Z,Home Teams (4 Games),Away Teams (4 Games),11.5,under,1.7692,-130
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),9.5,over,1.813,-123
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),9.5,under,2.01,101
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),8.5,over,1.4587,-218
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),8.5,under,2.63,163
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),9.0,over,1.5848,-171
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),9.0,under,2.34,134
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),10.0,over,2.01,101
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),10.0,under,1.8,-125
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),10.5,over,2.22,122
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Brentford (Corners),Everton (Corners),10.5,under,1.6369,-157
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,10.0,over,1.8065,-124
