match_date,league,home_team,away_team,line,selected_side,selected_ev,selected_odds,selected_close_odds,bet_result,pnl_units,published_to_close_clv,actual_total,result_side,lambda_poisson,market_lambda,lambda_v2,lambda_gap_model_market,p_market_over,p_v2_over,line_bucket,line_type,side_line,side_league,edge_bucket,lambda_gap_bucket,fav_side,fav_prob,fav_gap,fav_bucket,pre_home_shot_pressure,pre_away_shot_pressure,pre_total_shot_pressure,pre_total_sot_pressure,pre_total_corner_pressure,pre_corner_per_shot,pre_recent_corner_delta,pre_recent_shot_delta,shot_pressure_bucket,corner_pressure_bucket,corner_per_shot_bucket,recent_corner_delta_bucket,recent_shot_delta_bucket,pre_feature_ready,post_match_total_shots,post_match_total_sot,post_match_corners_per_shot,post_match_shot_bucket
2026-05-03,ligue-1,Lyon,Rennes,11.0,over,0.166953,2.62,2.62,won,1.62,0.0,12,over,10.906,10.4405,10.8439,0.46550000000000047,0.358645,0.403218,>=11.0,integer,over|>=11.0,over|ligue-1,>=10%,aligned,home,0.4293381037567084,0.11627906976744184,balanced<45,12.2,13.15,25.35,9.075,10.25,0.4187951878629844,0.16666666666666785,1.5666666666666629,25-28,9.5-10.5,0.36-0.42,flat,+1 to +3,true,24,14,0.5,20-25
2026-05-03,epl,Man United,Liverpool,11.0,over,0.102865,2.19,2.27,lost,-1.0,-0.035242,5,under,11.067,11.1101,11.2909,-0.04309999999999903,0.432804,0.45287,>=11.0,integer,over|>=11.0,over|epl,>=10%,aligned,home,0.4095630021555947,0.06701940035273368,balanced<45,13.600000000000001,13.625,27.225,9.175,10.4,0.36553219029616923,1.0166666666666675,0.19166666666666288,25-28,9.5-10.5,0.36-0.42,>=+1,flat,true,31,11,0.16129032258064516,>=30
2026-05-03,ligue-1,Paris FC,Brest,10.0,over,0.115463,2.06,2.09,push,0.0,-0.014354,10,push,10.214,10.3827,10.5958,-0.1686999999999994,0.461213,0.485672,10.0-10.5,integer,over|10.0-10.5,over|ligue-1,>=10%,aligned,home,0.4751131221719457,0.22171945701357465,fav45-55,12.325,11.825,24.15,7.8999999999999995,9.924999999999999,0.38420273769885316,0.49166666666666714,0.5166666666666693,22-25,9.5-10.5,0.36-0.42,+0.25 to +1,flat,true,27,9,0.37037037037037035,25-30
2026-05-03,la-liga,Betis,Oviedo,8.5,under,0.05781,2.58,2.33,lost,-1.0,0.107296,9,over,8.403,9.8513,9.4448,-1.4482999999999997,0.636063,0.589996,<=8.5,half,under|<=8.5,under|la-liga,3-6%,model<market,home,0.6038755619308649,0.4389912780645244,fav55-65,13.65,11.875,25.525,9.0,9.275,0.33659949868159766,-1.0250000000000004,-3.191666666666663,25-28,8.5-9.5,0.30-0.36,<-1,<-3,true,27,10,0.3333333333333333,25-30
2026-05-03,serie-a,Sassuolo,Milan,9.0,over,0.064356,1.8197,1.8264,lost,-1.0,-0.003668,5,under,7.958,9.9649,9.9367,-2.0069,0.524845,0.521655,9.0-9.5,integer,over|9.0-9.5,over|serie-a,6-10%,model<<market,away,0.5535885741718676,0.3407645223235719,fav55-65,10.625,14.274999999999999,24.9,8.025,9.149999999999999,0.38426800695336705,-0.3999999999999986,0.01666666666666572,22-25,8.5-9.5,0.36-0.42,-1 to -0.25,flat,true,20,5,0.25,20-25
2026-05-03,ligue-1,Strasbourg,Toulouse,10.0,over,0.080893,2.21,2.29,won,1.21,-0.034934,11,over,9.444,10.1018,10.1682,-0.6577999999999999,0.428631,0.436354,10.0-10.5,integer,over|10.0-10.5,over|ligue-1,6-10%,model<market,away,0.3661058743984409,0.0041761126357235945,balanced<45,11.774999999999999,12.575,24.349999999999998,8.8,9.225,0.3717996987951807,0.9416666666666682,3.150000000000002,22-25,8.5-9.5,0.36-0.42,+0.25 to +1,>=+3,true,25,10,0.44,25-30
2026-05-04,epl,Chelsea,Nott'm Forest,11.0,over,0.071672,2.17,2.43,push,0.0,-0.106996,11,push,10.682,11.1425,11.198,-0.4604999999999997,0.436408,0.44258,>=11.0,integer,over|>=11.0,over|epl,6-10%,aligned,home,0.5608856088560886,0.3601476014760148,fav55-65,12.524999999999999,12.149999999999999,24.674999999999997,8.274999999999999,10.4,0.4365748171927948,0.09999999999999964,-1.0083333333333329,22-25,9.5-10.5,>=0.42,flat,-3 to -1,true,27,9,0.4074074074074074,25-30
2026-05-04,serie-a,Cremonese,Lazio,9.0,over,0.075429,1.9259,2.0,lost,-1.0,-0.03705,6,under,7.814,9.7276,9.7274,-1.9136000000000006,0.49781,0.497777,9.0-9.5,integer,over|9.0-9.5,over|serie-a,6-10%,model<<market,away,0.3800403225806452,0.052419354838709686,balanced<45,11.5,13.8,25.3,8.175,8.8,0.34392975371539924,-0.13333333333333464,-2.4666666666666686,25-28,8.5-9.5,0.30-0.36,flat,-3 to -1,true,21,8,0.2857142857142857,20-25
2026-05-04,serie-a,Roma,Fiorentina,9.0,over,0.092472,1.8696,2.01,push,0.0,-0.069851,9,push,8.257,9.8515,9.947,-1.5945,0.511994,0.52282,9.0-9.5,integer,over|9.0-9.5,over|serie-a,6-10%,model<<market,home,0.5848930481283423,0.39538770053475936,fav55-65,12.8,12.075,24.875,8.0,8.775,0.3553513071895425,1.1416666666666657,-0.9583333333333321,22-25,8.5-9.5,0.30-0.36,>=+1,flat,true,18,8,0.5,<20
2026-05-08,bundesliga,Dortmund,Ein Frankfurt,10.0,over,0.053662,1.9091,1.9615,lost,-1.0,-0.026714,8,under,9.778,10.7291,10.6613,-0.9511000000000003,0.5,0.492389,10.0-10.5,integer,over|10.0-10.5,over|bundesliga,3-6%,model<market,home,0.5692192187805826,0.35797564203312193,fav55-65,13.325,11.024999999999999,24.349999999999998,8.9,9.475000000000001,0.38859577922077926,0.02499999999999858,1.3166666666666664,22-25,8.5-9.5,0.36-0.42,flat,+1 to +3,true,22,12,0.36363636363636365,20-25
