match_date,league,home_team,away_team,line,actual_total,result_side,kickoff_utc,published_at_utc,close_at_utc,close_is_stale,lambda_poisson,nb_r,market_lambda,lambda_v2,blend_weight,p_market_over,p_poisson_over,p_nb_raw_over,p_v2_over,pub_over_odds,pub_under_odds,close_over_odds,close_under_odds,ev_over,ev_under,selected_side,selected_odds,selected_close_odds,selected_ev,published_to_close_clv,pnl_units,bet_result,brier_market,brier_poisson,brier_nb_raw,brier_v2
2026-04-11,epl,Arsenal,Bournemouth,11.0,11,push,2026-04-11T11:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,10.355,74.7748,10.9501,10.7715,0.3,0.41498,0.344232,0.348801,0.39507,2.28,1.6173,2.35,1.5814,0.01197,-0.090297,,,,,,,,,,,
2026-04-11,epl,Arsenal,Bournemouth,11.5,11,under,2026-04-11T11:30:00Z,2026-04-09T15:01:20Z,2026-04-09T15:01:20Z,true,10.355,74.7748,10.5559,10.4956,0.3,0.371054,0.344232,0.348801,0.364362,2.53,1.4926,2.53,1.4926,-0.078163,-0.051247,,,,,,,,0.13768074,0.11849537,0.12166210,0.13275994
2026-04-11,epl,Arsenal,Bournemouth,9.0,11,over,2026-04-11T11:30:00Z,2026-04-10T09:00:21Z,2026-04-11T08:33:30Z,false,10.355,74.7748,11.0893,10.869,0.3,0.653831,0.585625,0.57519,0.631172,1.4348,2.71,1.4464,2.71,0.012705,-0.183617,,,,,,,,0.11983276,0.17170661,0.18046350,0.13603399
2026-04-11,epl,Arsenal,Bournemouth,9.5,11,over,2026-04-11T11:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,10.355,74.7748,10.4772,10.4405,0.3,0.588871,0.585625,0.57519,0.58479,1.5988,2.29,1.641,2.26,-0.065039,-0.049168,,,,,,,,0.16902738,0.17170661,0.18046350,0.17239974
2026-04-11,serie-a,Atalanta,Juventus,10.0,15,over,2026-04-11T18:45:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.52,41.6854,9.8734,9.4674,0.3,0.402249,0.23885,0.253157,0.356586,2.35,1.5814,2.35,1.5714,-0.051042,-0.047029,,,,,,,,0.35730678,0.57934983,0.55777458,0.41398109
2026-04-11,serie-a,Atalanta,Juventus,10.5,15,over,2026-04-11T18:45:00Z,2026-04-11T12:37:19Z,2026-04-11T12:37:19Z,false,8.52,41.6854,9.6967,9.3437,0.3,0.382361,0.23885,0.253157,0.342743,2.47,1.5291,2.47,1.5291,-0.153425,0.005012,,,,,,,,0.38147790,0.57934983,0.55777458,0.43198682
2026-04-11,serie-a,Atalanta,Juventus,8.0,15,over,2026-04-11T18:45:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.52,41.6854,10.0476,9.5893,0.3,0.648204,0.479643,0.472913,0.599457,1.4545,2.68,1.4484,2.67,-0.014133,-0.117992,,,,,,,,0.12376033,0.27077091,0.27782061,0.16043495
2026-04-11,serie-a,Atalanta,Juventus,8.5,15,over,2026-04-11T18:45:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.52,41.6854,9.3891,9.1284,0.3,0.577012,0.479643,0.472913,0.546835,1.6494,2.25,1.641,2.23,-0.09805,0.01962,,,,,,,,0.17891898,0.27077091,0.27782061,0.20535820
2026-04-11,serie-a,Atalanta,Juventus,9.0,15,over,2026-04-11T18:45:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.52,41.6854,9.9458,9.518,0.3,0.522685,0.349625,0.354774,0.473493,1.8264,2.0,1.8264,2.0,-0.017161,-0.065037,,,,,,,,0.22783008,0.42298735,0.41631676,0.27720974
2026-04-11,serie-a,Atalanta,Juventus,9.5,15,over,2026-04-11T18:45:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.52,41.6854,9.4448,9.1674,0.3,0.46492,0.349625,0.354774,0.432124,2.05,1.7812,2.05,1.7692,-0.114146,0.0115,,,,,,,,0.28631103,0.42298735,0.41631676,0.32248300
