generated_at,captured_at,match_date,kickoff_at,competition,league_key,home_team,away_team,bookmaker,player_name,model_prob,fair_odds,market_odds,market_prob,edge_pp,ev_pct,signal_status,confidence,player_team,opponent_team,position,expected_minutes,assist_rate_per90,xa_rate_per90,history_minutes,team_attack_scale,setpiece_lambda,corner_share_last5_pct,fk_share_last5_pct,setpiece_share_last5_pct,join_status,notes
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-19,2026-05-19T18:30:00Z,England - Premier League,epl,AFC Bournemouth,Manchester City,Bet365,Nico O'Reilly,0.067527,14.809,7.000,0.142857,-7.53,-52.73,no_edge,low,,bournemouth,Unknown,68.0,0.0900,0.0900,0,1.028,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T12:24:17Z,2026-05-17,2026-05-17T13:00:00Z,Italy - Serie A,serie-a,Inter Milano,Hellas Verona,Bet365,Daniel Mosquera,0.015585,64.166,11.000,0.090909,-7.53,-82.86,no_edge,low,verona,inter,Sub,15.0,0.1150,0.1148,1370,0.821,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T14:45:03Z,2026-05-17,2026-05-17T16:00:00Z,Italy - Serie A,serie-a,Atalanta BC,Bologna FC,Bet365,Marten de Roon,0.067527,14.809,7.000,0.142857,-7.53,-52.73,no_edge,high,atalanta,bologna,MC,80.0,0.0880,0.0639,3295,1.087,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Levante UD,RCD Mallorca,Bet365,Pablo Maffeo,0.057905,17.270,7.500,0.133333,-7.54,-56.57,no_edge,low,mallorca,levante,DR,88.1,0.0577,0.0577,3393,1.056,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T12:24:17Z,2026-05-17,2026-05-17T13:00:00Z,Italy - Serie A,serie-a,Inter Milano,Hellas Verona,Bet365,Lautaro Martinez,0.174538,5.729,4.000,0.250000,-7.55,-30.18,no_edge,low,inter,verona,FW,70.1,0.1639,0.2479,3109,1.127,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Paris FC,Paris Saint-Germain,Bet365,Alimani Gory,0.067197,14.882,7.000,0.142857,-7.57,-52.96,no_edge,low,,paris fc,Unknown,68.0,0.0900,0.0900,0,1.023,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:24:56Z,2026-05-17,2026-05-17T18:45:00Z,Italy - Serie A,serie-a,Cagliari Calcio,Torino FC,Bet365,Yael Trepy,0.066971,14.932,7.000,0.142857,-7.59,-53.12,no_edge,low,cagliari,torino,Unknown,68.0,0.0900,0.0900,0,1.004,0.0010,4.0,0.0,3.45,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Rayo Vallecano,Villarreal CF,Bet365,Sergio Camello,0.066951,14.936,7.000,0.142857,-7.59,-53.13,no_edge,low,rayo vallecano,villarreal,AML,31.9,0.1303,0.1743,1724,1.231,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T14:45:03Z,2026-05-17,2026-05-17T16:00:00Z,Italy - Serie A,serie-a,Atalanta BC,Bologna FC,Bet365,Ederson Silva,0.066905,14.947,7.000,0.142857,-7.60,-53.17,no_edge,low,,atalanta,Unknown,68.0,0.0900,0.0900,0,1.018,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T14:45:03Z,2026-05-17,2026-05-17T16:00:00Z,Italy - Serie A,serie-a,Atalanta BC,Bologna FC,Bet365,Francesco Castaldo,0.066905,14.947,7.000,0.142857,-7.60,-53.17,no_edge,low,,atalanta,Unknown,68.0,0.0900,0.0900,0,1.018,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Atletico Madrid,Girona FC,Bet365,Bryan Gil,0.077731,12.865,6.500,0.153846,-7.61,-49.48,no_edge,low,girona,atletico madrid,Unknown,68.0,0.0900,0.0900,0,1.173,0.0012,5.0,0.0,3.23,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Real Sociedad San Sebastian,Valencia CF,Bet365,Largie Ramazani,0.090533,11.046,6.000,0.166667,-7.61,-45.68,no_edge,medium,valencia,real sociedad san sebastian,Sub,68.6,0.0832,0.1312,1156,1.088,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:48Z,2026-05-17,2026-05-17T19:15:00Z,Spain - LaLiga,la-liga,FC Barcelona,Real Betis Seville,Bet365,Aitor Ruibal,0.077764,12.859,6.500,0.153846,-7.61,-49.45,no_edge,high,real betis,barcelona,DR,78.0,0.1002,0.0968,2469,0.953,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
