captured_at,match_date,kickoff_at,competition,home_team,away_team,bookmaker,player_name,odds_decimal,role_team,corner_share_last5_pct,corner_share_total_pct,fk_share_last5_pct,fk_share_total_pct,setpiece_share_last5_pct,total_share_pct,latest_role_week,role_source,join_status,shadow_status,notes
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T18:45:00Z,France - Ligue 1,AS Monaco,Olympique Marseille,Bet365,Igor Paixao,4.5000,Marseille,9.09,6.83,0.0,3.39,6.9,5.7,42,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T18:45:00Z,Italy - Serie A,Lazio Rome,Genoa CFC,Bet365,Stefano Sabelli,10.0000,Genoa,5.88,3.97,7.69,2.78,6.67,3.31,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T18:45:00Z,Italy - Serie A,Cagliari Calcio,Inter Milano,Bet365,Henrikh Mkhitaryan,5.0000,Inter Milan,7.69,3.3,0.0,3.85,6.45,3.31,48,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T17:30:00Z,Spain - LaLiga,CA Osasuna,Getafe CF,Bet365,Johan Mojica,8.5000,Mallorca,0.0,0.0,15.38,26.32,6.25,9.52,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T17:30:00Z,Spain - LaLiga,CA Osasuna,Getafe CF,Bet365,Enes Unal,8.5000,AFC Bournemouth,0.0,0.0,28.57,8.06,5.71,2.13,39,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T18:45:00Z,Italy - Serie A,Atalanta BC,Bologna FC,Bet365,Nikola Moro,7.5000,Bologna,7.69,24.6,0.0,25.0,5.56,23.81,52,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T19:30:00Z,Spain - LaLiga,RC Celta de Vigo,Athletic Bilbao,Bet365,Nico Serrano,7.0000,Athletic,6.45,9.38,0.0,3.17,5.56,7.66,46,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T16:30:00Z,Italy - Serie A,SSC Napoli,Como 1907,Bet365,Pasquale Mazzocchi,8.5000,Napoli,5.88,0.64,0.0,0.0,5.56,0.52,46,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T13:30:00Z,Germany - Bundesliga,SC Freiburg,Werder Bremen,Bet365,Derry Scherhant,5.0000,SC Freiburg,0.0,17.65,10.0,27.03,5.56,20.66,49,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T16:30:00Z,Italy - Serie A,SSC Napoli,Como 1907,Bet365,Scott McTominay,7.0000,Napoli,0.0,0.0,0.0,16.13,5.56,3.09,46,rotowire,matched,role_matched,research_only_no_public_signal
