date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-24,2026-04-24T18:45:00Z,SSC Napoli vs US Cremonese,Italy - Serie A,Federico Bonazzoli,Cremonese,SSC Napoli,public_pick,-0.9499,0.6270,1,Jamie Vardy,0,starter,0.281029,3.5583,Bet365,6.0000,0.686174,high,2026-04-24T18:10:20Z,,2019,Federico Bonazzoli,SSC Napoli,US Cremonese,FW,FW,2966.0,T1,surface,,0,0.2219,0.50,extended,0.50u Extended,,,,,1,0,lost,2026-04-25T00:05:54Z,-0.5000,played_did_not_score
2026-04-25,2026-04-25T16:00:00Z,Bologna FC vs AS Roma,Italy - Serie A,Donyell Malen,Roma,Bologna FC,public_pick,-0.4776,0.9662,1,Paulo Dybala,0,starter,0.477352,2.0949,Bet365,2.5000,0.193380,high,2026-04-25T15:23:45Z,,9749,Donyell Malen,Bologna FC,AS Roma,FW,FW,1074.0,T1,surface,,0,0.1390,1.25,core,1.25u Core,,,,,1,1,won,2026-04-26T00:03:46Z,1.8750,scored_1_goals
2026-04-25,2026-04-25T13:00:00Z,Parma Calcio vs Pisa SC,Italy - Serie A,Mateo Pellegrino,Parma Calcio 1913,Pisa SC,public_pick,-0.5602,1.1490,0,,0,starter,0.411994,2.4272,Bet365,3.1000,0.277181,high,2026-04-25T12:22:46Z,,13446,Mateo Pellegrino,Parma Calcio,Pisa SC,FW,FW,3330.0,T1,surface,,0,0.0654,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-26T00:03:46Z,-1.2500,played_did_not_score
2026-04-26,2026-04-26T16:00:00Z,Torino FC vs Inter Milano,Italy - Serie A,Nikola Vlasic,Torino,Inter Milano,public_pick,-1.4540,0.5634,0,,0,starter,0.202303,4.9431,Bet365,6.0000,0.213818,high,2026-04-26T15:40:01Z,,6276,Nikola Vlasic,Torino FC,Inter Milano,AMC,AMC,7386.0,T1,surface,,0,0.3524,0.50,extended,0.50u Extended,,,,,1,1,won,2026-04-27T00:06:27Z,2.5000,scored_1_goals
2026-05-02,2026-05-02T13:00:00Z,Udinese Calcio vs Torino FC,Italy - Serie A,Giovanni Simeone,Torino,Udinese Calcio,public_pick,1.3133,1.1357,0,,0,starter,0.368709,2.7122,Bet365,3.7500,0.382659,high,2026-05-02T12:33:57Z,,1102,Giovanni Simeone,Udinese Calcio,Torino FC,FW,FW,3033.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-05-03T00:16:09Z,-1.0000,played_did_not_score
2026-05-03,2026-05-03T18:45:00Z,Inter Milano vs Parma Calcio,Italy - Serie A,Mateo Pellegrino,Parma Calcio 1913,Inter Milano,public_pick,-0.3009,0.6818,0,,0,starter,0.249449,4.0088,Bet365,5.0000,0.247245,high,2026-05-03T18:34:13Z,,13446,Mateo Pellegrino,Inter Milano,Parma Calcio,FW,FW,3469.0,T1,surface,,0,0.0803,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-05-04T00:12:56Z,-1.0000,played_did_not_score
2026-05-04,2026-05-04T18:45:00Z,AS Roma vs ACF Fiorentina,Italy - Serie A,Albert Gudmundsson,Fiorentina,AS Roma,public_pick,-0.7193,0.7149,0,,0,starter,0.267659,3.7361,Bet365,4.3330,0.159766,high,2026-05-04T19:29:43Z,,10366,Albert Gudmundsson,AS Roma,ACF Fiorentina,FW,FW,6458.0,T1,surface,,0,0.1902,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-05-05T01:31:42Z,-1.0000,played_did_not_score
2026-05-04,2026-05-04T16:30:00Z,US Cremonese vs Lazio Rome,Italy - Serie A,Federico Bonazzoli,Cremonese,Lazio Rome,public_pick,-1.5500,0.8926,1,Jamie Vardy,0,starter,0.313275,3.1921,Bet365,3.5000,0.096463,high,2026-05-04T16:18:08Z,,2019,Federico Bonazzoli,US Cremonese,Lazio Rome,FW,FW,3236.0,T1,surface,,0,0.1443,1.00,standard,1.00u Standard,,,,,1,1,won,2026-05-05T01:31:42Z,2.5000,scored_1_goals
2026-05-08,2026-05-08T18:45:00Z,Torino FC vs Sassuolo Calcio,Italy - Serie A,Giovanni Simeone,Torino,Sassuolo Calcio,public_pick,0.2775,1.0624,0,,0,starter,0.451004,2.2173,Bet365,3.1000,0.398112,high,2026-05-08T18:06:25Z,,1102,Giovanni Simeone,Torino FC,Sassuolo Calcio,FW,FW,3107.0,T1,surface,,0,0.0000,1.25,core,1.25u Core,,,,,1,1,won,2026-05-09T01:47:28Z,2.6250,scored_1_goals
2026-05-10,2026-05-10T13:00:00Z,ACF Fiorentina vs Genoa CFC,Italy - Serie A,Lorenzo Colombo,Genoa,ACF Fiorentina,public_pick,-1.7992,0.9650,1,Ruslan Malinovskiy,0,starter,0.329779,3.0323,Bet365,4.3330,0.428932,high,2026-05-10T12:58:23Z,,8478,Lorenzo Colombo,ACF Fiorentina,Genoa CFC,FW,FW,5744.0,T1,surface,,0,0.3017,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-05-11T01:24:11Z,-1.0000,played_did_not_score
2026-05-17,2026-05-17T18:45:00Z,Cagliari Calcio vs Torino FC,Italy - Serie A,Giovanni Simeone,Torino,Cagliari Calcio,public_pick,0.6572,1.1047,0,,0,starter,0.351010,2.8489,Bet365,3.7500,0.316288,high,2026-05-17T18:47:12Z,,1102,Giovanni Simeone,Cagliari Calcio,Torino FC,FW,FW,3194.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,1,0,,0,1,0,lost,2026-05-18T01:42:48Z,-1.0000,played_did_not_score
2026-05-17,2026-05-17T10:00:00Z,Como 1907 vs Parma Calcio,Italy - Serie A,Mateo Pellegrino,Parma Calcio 1913,Como 1907,public_pick,0.2438,0.6453,0,,0,starter,0.231962,4.3110,Bet365,5.5000,0.275791,high,2026-05-17T14:36:53Z,,13446,Mateo Pellegrino,Como 1907,Parma Calcio,FW,FW,3574.0,T1,surface,,0,0.0870,0.50,extended,0.50u Extended,1,0,,0,1,0,lost,2026-05-18T01:42:48Z,-0.5000,played_did_not_score
2026-05-17,2026-05-17T10:00:00Z,Genoa CFC vs AC Milan,Italy - Serie A,Lorenzo Colombo,Genoa,AC Milan,public_pick,-1.7683,0.9932,0,,0,starter,0.254418,3.9305,Bet365,4.5000,0.144881,high,2026-05-17T10:02:05Z,,8478,Lorenzo Colombo,Genoa CFC,AC Milan,FW,FW,5803.0,T1,surface,,0,0.1633,1.00,standard,1.00u Standard,1,1,Caleb Ekuban,0,1,0,lost,2026-05-18T01:42:48Z,-1.0000,played_did_not_score_super_sub_checked:Caleb Ekuban
2026-05-24,2026-05-24T18:45:00Z,Torino FC vs Juventus Turin,Italy - Serie A,Giovanni Simeone,Torino,Juventus Turin,public_pick,-0.3994,0.5831,0,,0,starter,0.279000,3.5842,Bet365,4.5000,0.255500,high,2026-05-24T17:53:54Z,,1102,Giovanni Simeone,Torino FC,Juventus Turin,AMC,AMC,3284.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,1,0,,0,1,0,lost,2026-05-25T01:44:30Z,-1.0000,played_did_not_score
2026-05-24,2026-05-24T18:45:00Z,US Cremonese vs Como 1907,Italy - Serie A,Federico Bonazzoli,Cremonese,Como 1907,public_pick,-0.0972,0.5781,0,,0,starter,0.280620,3.5635,Bet365,4.0000,0.122480,high,2026-05-24T18:25:45Z,,2019,Federico Bonazzoli,US Cremonese,Como 1907,FW,FW,3478.0,T1,surface,,0,0.1766,1.00,standard,1.00u Standard,,,,,1,1,won,2026-05-25T01:44:30Z,3.0000,scored_1_goals
2026-05-24,2026-05-24T18:45:00Z,US Lecce vs Genoa CFC,Italy - Serie A,Lorenzo Colombo,Genoa,US Lecce,public_pick,-1.6966,1.3328,1,Ruslan Malinovskiy,0,starter,0.365299,2.7375,Bet365,5.0000,0.826495,high,2026-05-24T17:53:54Z,,8478,Lorenzo Colombo,US Lecce,Genoa CFC,FW,FW,5888.0,T1,surface,,0,0.2355,1.00,standard,1.00u Standard,1,0,,0,1,0,lost,2026-05-25T01:44:30Z,-1.0000,played_did_not_score
2026-08-22,2026-08-22T16:30:00Z,Udinese Calcio vs Como 1907,Italy - Serie A,Assane Diao,Como,Udinese Calcio,public_pick,-1.1646,0.9383,0,,0,starter,0.342722,2.9178,Bet365,3.4000,0.165255,high,2026-08-22T15:34:16Z,,12081,Assane Diao,Udinese Calcio,Como 1907,AMR,AMR,2366.0,T1,surface,,0,0.0000,1.25,core,1.25u Core,1,0,,0,1,0,lost,2026-08-23T09:27:35Z,-1.2500,played_did_not_score
