date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Denis Vavro,Wolfsburg,Union Berlin,shadow_track,-0.6961,1.0665,0,,0,expected_starter,0.089393,11.1866,Bet365,13.0000,0.162109,medium,2026-04-15T14:28:02Z,,7940,Denis Vavro,Union Berlin,VFL Wolfsburg,DC,DC,3106.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Konstantinos Koulierakis,Wolfsburg,Union Berlin,shadow_track,0.8182,1.1693,0,,0,expected_starter,0.096867,10.3234,Bet365,13.0000,0.259271,medium,2026-04-17T09:09:22Z,,13063,Konstantinos Koulierakis,Union Berlin,VFL Wolfsburg,DC,DC,4504.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Leopold Querfeld,Union Berlin,VFL Wolfsburg,penalty_transfer,-0.2506,1.3453,1,Derrick Kohn,0,starter,0.166812,5.9948,Bet365,6.5000,0.084278,high,2026-04-18T12:29:18Z,,12920,Leopold Querfeld,Union Berlin,VFL Wolfsburg,DC,DC,4155.0,T1,no_action,non_attacking_role,1,0.6155,0.00,,,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Mohamed Amoura,Wolfsburg,Union Berlin,shadow_track,-2.1034,1.1693,0,,0,starter,0.331971,3.0123,Bet365,3.6000,0.195096,high,2026-04-18T12:29:18Z,,13062,Mohamed Amoura,Union Berlin,VFL Wolfsburg,AMC,AMC,4224.0,T1,surface,,0,0.0164,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Rani Khedira,Union Berlin,VFL Wolfsburg,shadow_track,0.5161,1.3043,0,,0,expected_starter,0.128738,7.7677,Bet365,11.0000,0.416118,medium,2026-04-15T14:28:02Z,,5251,Rani Khedira,Union Berlin,VFL Wolfsburg,MC,MC,6518.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Werder Bremen vs Hamburger SV,Germany - Bundesliga,Miro Muheim,Hamburger SV,Werder Bremen,penalty_transfer,-0.2802,0.7806,1,Luka Vuskovic,0,expected_starter,0.110152,9.0784,Bet365,10.0000,0.101520,medium,2026-04-17T09:09:22Z,,13922,Miro Muheim,Werder Bremen,Hamburger SV,DML,DML,2340.0,T2,no_action,,1,0.6480,0.00,,,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Werder Bremen vs Hamburger SV,Germany - Bundesliga,Nicolas Capaldo,Hamburger SV,Werder Bremen,shadow_track,-0.3229,0.8996,0,,0,starter,0.154997,6.4518,Bet365,7.5000,0.162478,high,2026-04-18T13:41:30Z,,13923,Nicolas Capaldo,Werder Bremen,Hamburger SV,DC,DC,1566.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Werder Bremen vs Hamburger SV,Germany - Bundesliga,Niklas Stark,Werder Bremen,Hamburger SV,shadow_track,-0.5796,1.1889,0,,0,expected_starter,0.101804,9.8228,Bet365,12.0000,0.221648,medium,2026-04-15T14:28:02Z,,418,Niklas Stark,Werder Bremen,Hamburger SV,DC,DC,3860.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T13:30:00Z,SC Freiburg vs 1. FC Heidenheim,Germany - Bundesliga,Arijon Ibrahimovic,FC Heidenheim,SC Freiburg,shadow_track,-1.5857,1.0864,0,,0,starter,0.256219,3.9029,Bet365,4.3330,0.110197,high,2026-04-19T12:28:09Z,,10248,Arijon Ibrahimovic,SC Freiburg,1. FC Heidenheim,Sub,Sub,1879.0,T1,no_action,non_attacking_role,0,0.2921,0.00,,,,,,,1,0,lost,2026-04-19T19:56:52Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T13:30:00Z,SC Freiburg vs 1. FC Heidenheim,Germany - Bundesliga,Julian Niehues,FC Heidenheim,SC Freiburg,shadow_track,0.5752,1.1264,0,,0,expected_starter,0.110094,9.0832,Bet365,12.0000,0.321128,medium,2026-04-16T14:50:20Z,,13429,Julian Niehues,SC Freiburg,1. FC Heidenheim,MC,MC,1409.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T19:56:52Z,-1.0000,played_did_not_score
