date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-18,2026-04-18T18:45:00Z,AS Roma vs Atalanta BC,Italy - Serie A,Nikola Krstovic,Atalanta,AS Roma,shadow_track,-2.3191,1.0261,0,,0,starter,0.422371,2.3676,Bet365,2.5000,0.055927,high,2026-04-18T18:52:55Z,,12008,Nikola Krstovic,AS Roma,Atalanta BC,FW,FW,6814.0,T1,no_action,,0,0.0036,0.00,,,,,,,1,1,won,2026-04-19T00:01:44Z,1.5000,scored_1_goals
2026-04-18,2026-04-18T16:00:00Z,SSC Napoli vs Lazio Rome,Italy - Serie A,Alessio Romagnoli,Lazio,SSC Napoli,shadow_track,-0.4666,0.6268,0,,0,expected_starter,0.069034,14.4856,Bet365,26.0000,0.794884,medium,2026-04-15T19:19:33Z,,1119,Alessio Romagnoli,SSC Napoli,Lazio Rome,DC,DC,7245.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T00:01:44Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T16:00:00Z,SSC Napoli vs Lazio Rome,Italy - Serie A,Kenneth Taylor,Lazio,SSC Napoli,shadow_track,0.3288,0.6895,0,,0,expected_starter,0.126690,7.8933,Bet365,9.0000,0.140210,medium,2026-04-15T19:19:33Z,,14341,Kenneth Taylor,SSC Napoli,Lazio Rome,MC,MC,1062.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T00:01:44Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T16:00:00Z,SSC Napoli vs Lazio Rome,Italy - Serie A,Mathias Olivera,Napoli,Lazio Rome,shadow_track,-0.7026,0.8005,0,,0,starter,0.088731,11.2700,Bet365,12.0000,0.064772,high,2026-04-18T15:50:54Z,,6368,Mathias Olivera,SSC Napoli,Lazio Rome,DC,DC,4989.0,T1,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T00:01:44Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:00:00Z,Udinese Calcio vs Parma Calcio,Italy - Serie A,Mariano Troilo,Parma Calcio 1913,Udinese Calcio,shadow_track,0.2111,0.9114,0,,0,starter,0.071412,14.0033,Bet365,15.0000,0.071180,high,2026-04-18T12:27:20Z,,13979,Mariano Troilo,Udinese Calcio,Parma Calcio,DC,DC,1001.0,T1,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T00:01:44Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:00:00Z,Udinese Calcio vs Parma Calcio,Italy - Serie A,Mateo Pellegrino,Parma Calcio 1913,Udinese Calcio,shadow_track,-0.5602,0.9449,0,,0,expected_starter,0.299002,3.3445,Bet365,3.6000,0.076407,medium,2026-04-17T09:08:01Z,,13446,Mateo Pellegrino,Udinese Calcio,Parma Calcio,FW,FW,3330.0,T2,no_action,,0,0.0857,0.00,,,,,,,1,0,lost,2026-04-19T00:01:44Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:00:00Z,Udinese Calcio vs Parma Calcio,Italy - Serie A,Oumar Solet,Udinese,Parma Calcio,penalty_transfer,0.3477,1.2396,1,Keinan Davis,0,expected_starter,0.159668,6.2630,Bet365,9.0000,0.437012,medium,2026-04-15T14:26:52Z,,6618,Oumar Solet,Udinese Calcio,Parma Calcio,DC,DC,4008.0,T2,no_action,,1,0.4814,0.00,,,,,,,1,0,lost,2026-04-19T00:01:44Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T13:00:00Z,Hellas Verona vs AC Milan,Italy - Serie A,Gift Emmanuel Orban,Verona,AC Milan,shadow_track,-0.2646,0.8039,0,,0,starter,0.246367,4.0590,Bet365,4.5000,0.108652,high,2026-04-19T12:26:50Z,,12367,Gift Emmanuel Orban,Hellas Verona,AC Milan,FW,FW,1937.0,T1,surface,,0,0.2107,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T13:00:00Z,Hellas Verona vs AC Milan,Italy - Serie A,Rafik Belghali,Verona,AC Milan,shadow_track,0.5530,0.8039,0,,0,expected_starter,0.111019,9.0074,Bet365,11.0000,0.221209,medium,2026-04-16T14:48:53Z,,13962,Rafik Belghali,Hellas Verona,AC Milan,DML,DML,1351.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T16:00:00Z,Pisa SC vs Genoa CFC,Italy - Serie A,Aaron Martin,Genoa,Pisa SC,shadow_track,-0.1279,1.4040,0,,0,starter,0.082500,12.1213,Bet365,15.0000,0.237500,high,2026-04-19T15:50:58Z,,5133,Aaron Martin,Pisa SC,Genoa CFC,DL,DL,6399.0,T1,no_action,odds_above_public_cap,1,0.6099,0.00,,,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
