team,squad_section,squad_status,squad_count,likely_primary,primary_callup_match,primary_squad_name,likely_secondary,secondary_callup_match,secondary_squad_name,squad_source_urls,squad_note
Norway,Norway,final_announced,26,Erling Haaland,yes,Erling Haaland,Martin Odegaard,yes,Martin Ødegaard,https://www.fotball.no/landslag/norge-a-herrer/2026/her-er-norges-vm-tropp/ ; https://www.instagram.com/p/DYptu7rDA5D/,Coach: Ståle Solbakken Norway announced their final squad on May 21.
Panama,Panama,final_announced,26,Ismael Diaz,yes,"[[Ismael Díaz (footballer, born 1997)",Jose Fajardo,yes,[[José Fajardo (footballer),https://www.fepafut.com/blog/2026/05/26/los-26-mundialistas-de-panama/,Coach: Thomas Christiansen Panama announced their final squad on May 26.
Paraguay,Paraguay,preliminary_or_reduced,55,Julio Enciso,yes,"[[Julio Enciso (footballer, born 2004)",Miguel Almiron,yes,Miguel Almirón,https://www.abc.com.py/deportes/futbol/seleccion-paraguaya/2026/05/12/a-un-mes-del-debut-los-55-reservados-de-paraguay-para-el-mundial-2026/,Coach: Gustavo Alfaro Paraguay announced a 55-man preliminary squad on May 12.
Portugal,Portugal,final_announced,26,Cristiano Ronaldo,yes,Cristiano Ronaldo,Bruno Fernandes,yes,Bruno Fernandes,https://www.fpf.pt/pt/News/Todas-as-not%C3%ADcias/Not%C3%ADcia/news/56573 ; https://www.irishtimes.com/sport/soccer/2026/05/19/roberto-martinez-names-portugal-world-cup-squad-with-symbolic-plus-one-for-dioga-jota/,Coach: Roberto Martínez Portugal announced their final squad on May 19.
Qatar,Qatar,preliminary_or_reduced,28,Akram Afif,yes,Akram Afif,Almoez Ali,yes,Almoez Ali,https://www.qfa.qa/en/news/national-team-preliminary-list-released-for-world-cup-2026 ; https://www.qfa.qa/ar/news/28-%D9%84%D8%A7%D8%B9%D8%A8%D8%A7%D9%8B-%D9%81%D9%8A-%D9%82%D8%A7%D8%A6%D9%85%D8%A9-%D8%A7%D9%84%D8%B9%D9%86%D8%A7%D8%A8%D9%8A-%D9%84%D9%85%D8%A8%D8%A7%D8%B1%D8%A7%D8%A9-%D8%A3%D9%8A%D8%B1%D9%84%D9%86%D8%AF%D8%A7-%D8%A7%D9%84%D9%88%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9,"Coach: Julen Lopetegui Qatar announced a 34-man preliminary squad on May 12. The squad was extended to 35 players on May 18, then reduced to 28 players on May 25."
Saudi Arabia,Saudi Arabia,preliminary_or_reduced,30,Salem Al Dawsari,yes,Salem Al-Dawsari,Firas Al Buraikan,yes,Firas Al-Buraikan,https://www.saff.com.sa/en/news.php?id=4222,Coach: Georgios Donis Saudi Arabia announced a 30-man preliminary squad on May 23.
Scotland,Scotland,final_announced,26,Scott McTominay,yes,Scott McTominay,Che Adams,yes,Ché Adams,https://www.scottishfa.co.uk/news/scotland-men-s-national-team-head-coach-steve-clarke-has-named-his-squad-for-fifa-world-cup-2026/ ; https://x.com/ScotlandNT/status/2060800409892188655 ; https://www.bbc.com/sport/football/articles/cn8pmj99jk7o,Coach: Steve Clarke Scotland announced their final squad on May 19. Billy Gilmour withdrew injured on May 30; his replacement was confirmed to be Tyler Fletcher on May 31.
Senegal,Senegal,preliminary_or_reduced,28,Sadio Mane,yes,Sadio Mané,Nicolas Jackson,yes,Nicolas Jackson,https://fsfoot.sn/mondial-2026-pape-thiaw-publie-sa-liste/,Coach: Pape Thiaw Senegal announced a 28-man preliminary squad on May 21.
South Africa,South Africa,final_announced,26,Oswin Appollis,yes,Oswin Appollis,Teboho Mokoena,yes,"[[Teboho Mokoena (soccer, born 1997)",https://www.safa.net/general-news/broos-announces-preliminary-bafana-squad-for-the-2026-fifa-world-cup/ ; https://www.instagram.com/safa_dot_net/p/DY2g0HKDuPq/,Coach: Hugo Broos South Africa announced a 32-man preliminary squad on May 21. They announced their final squad on May 27.
Spain,Spain,final_announced,26,Mikel Oyarzabal,yes,Mikel Oyarzabal,Lamine Yamal,yes,Lamine Yamal,https://rfef.es/es/noticias/los-26-que-buscaran-volver-reinar-en-el-mundial,Coach: Luis de la Fuente Spain announced their final squad on May 25.
Sweden,Sweden,final_announced,26,Viktor Gyokeres,yes,Viktor Gyökeres,Alexander Isak,yes,Alexander Isak,https://www.svenskfotboll.se/nyheter/landslag/2026/05/potters-vm-trupp-offentliggjord/ ; https://www.svenskfotboll.se/nyheter/landslag/2026/05/herr-trojnummer-vm-2026/ ; https://www.svenskfotboll.se/nyheter/landslag/2026/05/johansson-ersatter-holm/,Coach: Graham Potter Sweden announced their final squad on May 12. Emil Holm withdrew injured and was replaced by Herman Johansson on May 30.
Switzerland,Switzerland,final_announced,26,Granit Xhaka,yes,Granit Xhaka,Breel Embolo,yes,Breel Embolo,https://www.srf.ch/sport/fussball/fifa-wm-2026/26-spieler-nominiert-das-schweizer-wm-kader-ist-komplett ; https://www.football.ch/sfv/nationalteams/a-team/news/maenner-nationalteam-murat-yakins-aufgebot-mit-18-wm-erfahrenen-spielern.aspx ; https://x.com/nati_sfv_asf/status/2057831143433556024,"Coach: Murat Yakin Switzerland announced their final squad through a social media campaign on May 18 and 19, which was officially confirmed on May 20."
Tunisia,Tunisia,final_announced,26,Elias Achouri,yes,Elias Achouri,Ismael Gharbi,yes,Ismaël Gharbi,https://www.facebook.com/FTF.OFFICIELLE/posts/pfbid0E866yGc4GeFeJXHB3BHWKda7nNXRFSgXXqMFuW2mhouTJxbLYyc4Lz8ojiwLKYUAl ; https://www.bbc.com/sport/football/articles/cy42jjj4gg4o,Coach: Sabri Lamouchi Tunisia announced their final squad on May 15.
Turkiye,Turkey,preliminary_or_reduced,35,Hakan Calhanoglu,yes,Hakan Çalhanoğlu,Arda Guler,yes,Arda Güler,https://www.tff.org/default.aspx?pageID=202&ftxtID=50587,Coach: Vincenzo Montella Turkey announced a 35-man preliminary squad on May 18.
USA,United States,final_announced,26,Christian Pulisic,yes,Christian Pulisic,Malik Tillman,yes,Malik Tillman,https://www.ussoccer.com/stories/2026/05/usmnt/us-mens-national-team-head-coach-mauricio-pochettino-names-26-player-roster-for-fifa-world-cup-2026,Coach: Mauricio Pochettino The United States announced their final squad on May 26.
Uruguay,Uruguay,final_pending,0,Federico Valverde,no,,Giorgian De Arrascaeta,no,,https://www.instagram.com/p/DY17CkwOzln/,Coach: Marcelo Bielsa Uruguay will announce their final squad on June 1. ==Group I==
Uzbekistan,Uzbekistan,preliminary_or_reduced,30,Eldor Shomurodov,yes,Eldor Shomurodov,Otabek Shukurov,yes,Otabek Shukurov,https://www.facebook.com/UzbekistanFA/posts/pfbid0JohE1JdZ8B9mWiKN56GHDEUV9cN2mFM5LmxEsDakReXy7JsMkbRLLxpT4ptENozZl ; https://tribuna.uz/news/ibrohimxalil-yoldoshev-jarohat-sababli-jchni-otkazib-yuboradi-1215344/ ; https://www.instagram.com/uzbekistanfa/reel/DYuz4KLthdD/,"Coach: Fabio Cannavaro Uzbekistan announced a 40-man preliminary squad on May 5. The squad was reduced to 39 players on May 22 as Ibrokhimkhalil Yuldoshev withdrew injured, then to 30 players on May 24."
