season,competition,match_date,team,opponent,is_home,player_id,player_name,position,started,minutes,goals,assists,shots,shots_on_target,xg,npxg,xa,big_chances,big_chance_goals,big_chance_misses,big_chance_xg,penalties_scored,penalties_attempted,team_xg,team_xga
2026-2027,La Liga,2026-08-30,Malaga,Real Madrid,0,14728,Rafita,DL,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.760169,3.40784
2026-2027,La Liga,2026-08-24,Malaga,Deportivo La Coruna,1,14728,Rafita,DL,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.35649,1.1297
2026-2027,La Liga,2026-08-19,Malaga,Atletico Madrid,0,14728,Rafita,DL,,90,0,0,1,,0.035695,0.035695,0.0,0,0,0,0.0,0,0,0.229576,1.34391
2026-2027,La Liga,2026-08-30,Malaga,Real Madrid,0,14729,Izan Merino,MC,,90,0,0,0,,0.0,0.0,0.084897,0,0,0,0.0,0,0,0.760169,3.40784
2026-2027,La Liga,2026-08-24,Malaga,Deportivo La Coruna,1,14729,Izan Merino,DMC,,86,0,0,1,,0.030382,0.030382,0.025442,0,0,0,0.0,0,0,1.35649,1.1297
2026-2027,La Liga,2026-08-19,Malaga,Atletico Madrid,0,14729,Izan Merino,DMC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.229576,1.34391
2026-2027,La Liga,2026-08-30,Malaga,Real Madrid,0,14730,David Larrubia,MR,,90,0,0,4,,0.211805,0.211805,0.180306,0,0,0,0.0,0,0,0.760169,3.40784
2026-2027,La Liga,2026-08-24,Malaga,Deportivo La Coruna,1,14730,David Larrubia,Sub,,33,0,0,1,,0.029035,0.029035,0.032943,0,0,0,0.0,0,0,1.35649,1.1297
2026-2027,La Liga,2026-08-19,Malaga,Atletico Madrid,0,14730,David Larrubia,MR,,90,0,0,2,,0.075981,0.075981,0.0,0,0,0,0.0,0,0,0.229576,1.34391
2026-2027,La Liga,2026-08-24,Malaga,Deportivo La Coruna,1,14731,Dani Lorenzo,MC,,86,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.35649,1.1297
2026-2027,La Liga,2026-08-19,Malaga,Atletico Madrid,0,14731,Dani Lorenzo,MC,,84,0,0,0,,0.0,0.0,0.035695,0,0,0,0.0,0,0,0.229576,1.34391
2026-2027,La Liga,2026-08-29,Real Betis,Levante,0,14741,Facundo Bernal,DMC,,80,0,0,2,,0.056741,0.056741,0.029829,0,0,0,0.0,0,0,1.92286,3.0376
2026-2027,La Liga,2026-08-25,Real Betis,Valencia,0,14741,Facundo Bernal,DMC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.964495,1.28989
2026-2027,La Liga,2026-08-21,Real Betis,Real Sociedad,1,14741,Facundo Bernal,DMC,,60,0,0,1,,0.049885,0.049885,0.0,0,0,0,0.0,0,0,1.69571,1.14003
2026-2027,La Liga,2026-08-30,Athletic Club,Celta Vigo,0,14777,Beñat Gerenabarrena,DMC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,3.13299,1.20059
2026-2027,La Liga,2026-08-27,Athletic Club,Barcelona,0,14777,Beñat Gerenabarrena,Sub,,16,0,0,0,,0.0,0.0,0.056912,0,0,0,0.0,0,0,0.221962,3.9166
2026-2027,La Liga,2026-08-22,Athletic Club,Sevilla,1,14777,Beñat Gerenabarrena,DMC,,86,0,0,1,,0.032358,0.032358,0.0,0,0,0,0.0,0,0,1.46496,0.966795
2026-2027,La Liga,2026-08-30,Valencia,Deportivo La Coruna,0,14801,Ryunosuke Sato,MR,,63,0,0,1,,0.064097,0.064097,0.0,0,0,0,0.0,0,0,1.01663,1.40751
2026-2027,La Liga,2026-08-25,Valencia,Real Betis,1,14801,Ryunosuke Sato,MR,,90,0,0,4,,0.278057,0.278057,0.044952,0,0,0,0.0,0,0,1.28989,0.964495
2026-2027,La Liga,2026-08-22,Valencia,Celta Vigo,1,14801,Ryunosuke Sato,MR,,60,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.420581,0.537309
2026-2027,La Liga,2026-08-31,Getafe,Osasuna,0,14893,Francho Serrano,MC,,83,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.09043,1.70503
2026-2027,La Liga,2026-08-23,Getafe,Racing Santander,1,14893,Francho Serrano,MC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.982608,1.1679
2026-2027,La Liga,2026-08-31,Osasuna,Getafe,1,14915,Jonathan Dubasin,Sub,,37,0,0,2,,0.524571,0.524571,0.0,1,0,1,0.423217,0,0,1.70503,1.09043
2026-2027,La Liga,2026-08-27,Osasuna,Celta Vigo,0,14915,Jonathan Dubasin,MR,,60,0,0,0,,0.0,0.0,0.118556,0,0,0,0.0,0,0,1.89653,0.106731
2026-2027,La Liga,2026-08-24,Osasuna,Levante,1,14915,Jonathan Dubasin,Sub,,10,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.892536,1.27031
