date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note,named_player_goals,named_player_outcome,super_sub_settlement_policy,super_sub_replacement_chain
2026-05-10,2026-05-10T19:00:00Z,AJ Auxerre vs OGC Nice,France - Ligue 1,Antoine Mendy,Nice,AJ Auxerre,shadow_track,-0.3752,1.0948,0,,0,expected_starter,0.090034,11.1069,Bet365,13.0000,0.170442,medium,2026-05-07T19:58:49Z,,9514,Antoine Mendy,AJ Auxerre,OGC Nice,DC,DC,3144.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-11T01:24:19Z,-1.0000,played_did_not_score,,,,
2026-05-10,2026-05-10T19:00:00Z,AJ Auxerre vs OGC Nice,France - Ligue 1,Lassine Sinayoko,Auxerre,OGC Nice,shadow_track,-2.1867,1.1936,0,,0,expected_starter,0.478691,2.0890,Bet365,2.7500,0.316400,medium,2026-05-07T19:58:49Z,,10815,Lassine Sinayoko,AJ Auxerre,OGC Nice,FWR,FWR,4936.0,T2,no_action,,0,0.1038,0.00,,,,,,,1,1,won,2026-05-11T01:24:19Z,1.7500,scored_1_goals,,,,
2026-05-10,2026-05-10T19:00:00Z,AJ Auxerre vs OGC Nice,France - Ligue 1,Sinaly Diomande,Auxerre,OGC Nice,shadow_track,-0.4270,1.1936,0,,0,expected_starter,0.116602,8.5762,Bet365,11.0000,0.282622,medium,2026-05-07T19:58:49Z,,8703,Sinaly Diomande,AJ Auxerre,OGC Nice,DC,DC,4795.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-11T01:24:19Z,-1.0000,played_did_not_score,,,,
2026-05-13,2026-05-13T19:00:00Z,Racing Club De Lens vs Paris Saint-Germain,France - Ligue 1,Matthieu Udol,Lens,Paris Saint-Germain,shadow_track,-1.2498,0.5145,0,,0,expected_starter,0.138914,7.1987,Bet365,8.5000,0.180769,medium,2026-05-11T15:55:48Z,,5745,Matthieu Udol,Racing Club De Lens,Paris Saint-Germain,DML,DML,5573.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-05-14T01:41:27Z,-1.0000,played_did_not_score,,,,
2026-05-17,2026-05-17T19:00:00Z,Stade Brest 29 vs Angers SCO,France - Ligue 1,Goduine Koyalipou,Angers,Stade Brest 29,shadow_track,0.1595,1.5161,0,,0,starter,0.404979,2.4693,Bet365,3.5000,0.417426,high,2026-05-17T19:19:46Z,,13335,Goduine Koyalipou,Stade Brest 29,Angers SCO,Sub,Sub,1498.0,T1,no_action,non_attacking_role,0,0.1864,0.00,,,1,1,,0,1,0,lost,2026-05-18T01:42:55Z,-1.0000,played_did_not_score_super_sub_ambiguous,,,,
2026-05-17,2026-05-17T19:00:00Z,Stade Brest 29 vs Angers SCO,France - Ligue 1,Mohamed Amine Sbai,Angers,Stade Brest 29,shadow_track,-0.3159,1.3568,0,,0,starter,0.239448,4.1763,Bet365,5.0000,0.197240,high,2026-05-17T19:19:46Z,,14131,Mohamed Amine Sbai,Stade Brest 29,Angers SCO,AML,AML,1775.0,T1,surface,,0,0.1646,1.00,standard,1.00u Standard,,,,,1,1,won,2026-05-18T01:42:55Z,4.0000,scored_1_goals,,,,
2026-08-22,2026-08-22T18:45:00Z,OGC Nice vs FC Lorient,France - Ligue 1,Antoine Mendy,Nice,FC Lorient,shadow_track,0.3733,1.0437,0,,0,expected_starter,0.134830,7.4168,Bet365,10.0000,0.348300,medium,2026-08-20T07:27:55Z,,9514,Antoine Mendy,OGC Nice,FC Lorient,DC,DC,3324.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score,,,,
2026-08-22,2026-08-22T18:45:00Z,OGC Nice vs FC Lorient,France - Ligue 1,Jean-Victor Makengo,Lorient,OGC Nice,shadow_track,-0.0414,1.1444,0,,0,expected_starter,0.211533,4.7274,Bet365,5.5000,0.163431,medium,2026-08-20T07:27:55Z,,3536,Jean-Victor Makengo,OGC Nice,FC Lorient,AMC,AMC,2318.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score,,,,
2026-08-22,2026-08-22T18:45:00Z,OGC Nice vs FC Lorient,France - Ligue 1,Noah Cadiou,Lorient,OGC Nice,shadow_track,0.7799,1.1444,0,,0,expected_starter,0.247419,4.0417,Bet365,6.0000,0.484514,medium,2026-08-20T07:27:55Z,,13975,Noah Cadiou,OGC Nice,FC Lorient,MC,MC,1851.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score,,,,
2026-08-22,2026-08-22T18:45:00Z,OGC Nice vs FC Lorient,France - Ligue 1,Sofiane Diop,Nice,FC Lorient,shadow_track,-1.2054,1.0437,0,,0,expected_starter,0.331501,3.0166,Bet365,3.2000,0.060803,medium,2026-08-22T14:36:56Z,,6846,Sofiane Diop,OGC Nice,FC Lorient,AMC,AMC,3714.0,T2,no_action,,0,0.1028,0.00,,,1,1,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score_super_sub_ambiguous,,,,
