league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
bundesliga,2018-2019,02/11/2018,Stuttgart,Ein Frankfurt,0,3,10,15,0,7,1,3,4,10,1,2,0,0,A,0,2,A,3,3.5,2.3,2.9,3.5,2.4,2.75,3.4,2.55
bundesliga,2018-2019,03/11/2018,Augsburg,Nurnberg,2,2,17,13,4,5,6,6,16,11,3,3,0,0,D,1,0,H,1.6,3.8,6,1.6,4,5.75,1.7,3.8,5
bundesliga,2018-2019,03/11/2018,Bayern Munich,Freiburg,1,1,24,10,6,1,14,2,9,8,1,1,0,0,D,0,0,D,1.11,10,21,1.11,11,18.5,1.12,9,20
bundesliga,2018-2019,03/11/2018,Hertha,RB Leipzig,0,3,12,25,5,11,3,7,6,11,2,1,0,0,A,0,1,A,3.2,3.4,2.25,3.3,3.4,2.2,2.85,3.3,2.5
bundesliga,2018-2019,03/11/2018,Leverkusen,Hoffenheim,1,4,21,10,9,4,6,7,6,17,0,2,0,0,A,1,2,A,2.1,4,3.1,2.15,3.6,3.25,2.1,3.6,3.35
bundesliga,2018-2019,03/11/2018,Schalke 04,Hannover,3,1,16,20,6,6,7,7,10,10,2,3,0,0,H,0,0,D,1.61,3.8,6,1.62,3.8,5.75,1.65,4,5.1
bundesliga,2018-2019,03/11/2018,Wolfsburg,Dortmund,0,1,13,12,3,1,6,14,6,9,0,2,0,0,A,0,1,A,3.8,3.8,1.9,3.8,3.75,1.91,4,3.8,1.85
bundesliga,2018-2019,04/11/2018,Mainz,Werder Bremen,2,1,13,14,6,4,3,6,7,8,0,2,0,0,H,1,0,H,3,3.4,2.37,2.95,3.5,2.35,3.15,3.3,2.3
bundesliga,2018-2019,04/11/2018,M'gladbach,Fortuna Dusseldorf,3,0,21,13,7,6,10,4,15,8,1,2,0,0,H,0,0,D,1.36,4.75,8,1.4,4.75,8,1.4,4.8,7.5
bundesliga,2018-2019,09/11/2018,Hannover,Wolfsburg,2,1,10,19,4,9,3,5,14,8,4,2,0,0,H,1,0,H,2.9,3.3,2.37,2.9,3.4,2.45,2.9,3.4,2.4
bundesliga,2018-2019,10/11/2018,Dortmund,Bayern Munich,3,2,11,9,5,3,0,6,4,8,3,3,0,0,H,0,1,A,3.1,3.8,2.1,3,3.9,2.15,2.85,3.5,2.4
bundesliga,2018-2019,10/11/2018,Fortuna Dusseldorf,Hertha,4,1,20,11,9,5,2,6,15,15,1,3,0,1,H,0,0,D,3.6,3.4,2.1,3.5,3.5,2.1,3.4,3.5,2.1
bundesliga,2018-2019,10/11/2018,Freiburg,Mainz,1,3,15,12,4,9,3,4,19,10,1,2,0,0,A,0,2,A,2,3.4,3.75,2.1,3.4,3.6,2.1,3.4,3.5
bundesliga,2018-2019,10/11/2018,Hoffenheim,Augsburg,2,1,18,22,7,7,6,6,14,6,1,1,0,0,H,0,0,D,1.61,4.33,5,1.62,4.25,5,1.7,4,4.7
bundesliga,2018-2019,10/11/2018,Nurnberg,Stuttgart,0,2,10,13,3,4,3,9,14,10,1,0,0,0,A,0,0,D,2.4,3.25,3.1,2.45,3.4,2.9,2.45,3.4,2.85
bundesliga,2018-2019,10/11/2018,Werder Bremen,M'gladbach,1,3,20,16,5,6,9,5,7,2,0,0,0,0,A,0,1,A,2.4,3.5,2.75,2.45,3.5,2.8,2.5,3.5,2.7
bundesliga,2018-2019,11/11/2018,Ein Frankfurt,Schalke 04,3,0,14,5,4,1,10,4,7,13,0,2,0,0,H,0,0,D,2.2,3.3,3.4,2.3,3.4,3.1,2.4,3.3,2.95
bundesliga,2018-2019,11/11/2018,RB Leipzig,Leverkusen,3,0,14,7,7,2,4,3,12,12,0,1,0,0,H,1,0,H,1.8,4,4,1.85,3.9,3.9,1.9,3.7,3.9
bundesliga,2018-2019,23/11/2018,Leverkusen,Stuttgart,2,0,17,10,4,2,6,9,13,8,3,3,0,0,H,0,0,D,1.5,4.5,6,1.55,4.33,5.75,1.57,4.3,5.5
bundesliga,2018-2019,24/11/2018,Augsburg,Ein Frankfurt,1,3,25,15,10,7,8,5,3,12,1,2,0,0,A,0,1,A,2.62,3.5,2.62,2.6,3.5,2.6,2.65,3.4,2.65
bundesliga,2018-2019,24/11/2018,Bayern Munich,Fortuna Dusseldorf,3,3,17,9,5,5,9,2,4,7,0,1,0,0,D,2,1,H,1.08,11,26,1.09,11.5,23,1.1,9.1,28
bundesliga,2018-2019,24/11/2018,Hertha,Hoffenheim,3,3,23,13,8,6,8,5,9,13,1,2,0,0,D,1,2,A,3.4,3.75,2.04,3.4,3.6,2.1,3.2,3.5,2.2
bundesliga,2018-2019,24/11/2018,Mainz,Dortmund,1,2,15,11,7,7,6,5,9,11,2,1,0,0,A,0,0,D,5.5,4,1.6,5.75,4.1,1.57,5,4,1.65
bundesliga,2018-2019,24/11/2018,Schalke 04,Nurnberg,5,2,20,12,10,6,7,2,7,12,1,2,0,1,H,2,1,H,1.53,4,7,1.5,4,7.25,1.53,4.05,6.6
bundesliga,2018-2019,24/11/2018,Wolfsburg,RB Leipzig,1,0,5,10,3,4,2,9,10,13,1,2,0,0,H,0,0,D,3.5,3.5,2.1,3.5,3.5,2.1,3.3,3.4,2.2
bundesliga,2018-2019,25/11/2018,Freiburg,Werder Bremen,1,1,23,19,9,8,6,3,6,10,0,2,0,0,D,1,0,H,2.87,3.3,2.5,2.75,3.5,2.5,2.75,3.4,2.55
bundesliga,2018-2019,25/11/2018,M'gladbach,Hannover,4,1,20,5,6,3,5,5,8,10,1,1,0,0,H,2,1,H,1.44,4.5,7,1.48,4.4,7,1.5,4.3,6.5
bundesliga,2018-2019,30/11/2018,Fortuna Dusseldorf,Mainz,0,1,20,15,7,3,12,5,8,7,1,1,0,0,A,0,0,D,2.7,3.3,2.6,2.65,3.3,2.7,2.7,3.2,2.7
bundesliga,2018-2019,01/12/2018,Dortmund,Freiburg,2,0,11,5,4,1,2,3,6,11,1,1,0,0,H,1,0,H,1.28,5.5,11,1.28,5.5,11,1.3,5.6,9.5
bundesliga,2018-2019,01/12/2018,Hannover,Hertha,0,2,10,14,2,8,3,6,9,14,2,3,0,0,A,0,1,A,2.7,3.4,2.6,2.65,3.4,2.65,2.7,3.2,2.7
bundesliga,2018-2019,01/12/2018,Hoffenheim,Schalke 04,1,1,20,13,7,5,4,10,11,13,3,3,0,0,D,0,0,D,1.8,3.8,4.33,1.85,3.8,4.1,1.95,3.5,3.9
bundesliga,2018-2019,01/12/2018,Stuttgart,Augsburg,1,0,13,17,3,4,3,8,11,10,4,2,0,0,H,1,0,H,2.6,3.3,2.75,2.6,3.4,2.7,2.5,3.4,2.8
bundesliga,2018-2019,01/12/2018,Werder Bremen,Bayern Munich,1,2,9,16,3,5,3,10,13,8,3,2,1,0,A,1,1,D,7,5.25,1.4,7.25,5,1.4,6.2,5,1.45
