league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
la-liga,2016-2017,25/09/16,Leganes,Valencia,1,2,7,10,3,4,1,5,19,17,4,4,0,0,A,1,1,D,2.8,3.2,2.6,2.75,3.25,2.65,2.85,3.3,2.5
la-liga,2016-2017,25/09/16,Villarreal,Osasuna,3,1,12,11,5,3,5,5,7,16,0,2,0,0,H,3,1,H,1.4,4.33,9.5,1.4,4.6,8.75,1.4,4.8,7.5
la-liga,2016-2017,26/09/16,Alaves,Granada,3,1,16,13,6,3,5,6,15,19,3,3,0,0,H,0,0,D,2.1,3.3,3.75,2.05,3.4,3.7,2,3.4,3.8
la-liga,2016-2017,30/09/16,Sociedad,Betis,1,0,16,5,8,2,4,2,17,22,2,3,0,0,H,0,0,D,1.8,3.5,4.75,1.78,3.4,4.6,1.85,3.5,4.3
la-liga,2016-2017,01/10/16,Granada,Leganes,0,1,8,9,1,3,6,4,13,20,1,0,0,0,A,0,0,D,2.45,3.3,3,2.4,3.2,2.95,2.4,3.2,3.05
la-liga,2016-2017,01/10/16,La Coruna,Sp Gijon,2,1,21,7,6,2,11,4,17,26,0,4,0,0,H,1,0,H,1.95,3.4,4.2,1.91,3.2,4.2,2,3.3,3.95
la-liga,2016-2017,01/10/16,Osasuna,Las Palmas,2,2,5,17,3,5,1,12,17,7,3,4,0,0,D,2,0,H,2.6,3.2,2.8,2.6,3.2,2.7,2.75,3.25,2.6
la-liga,2016-2017,01/10/16,Sevilla,Alaves,2,1,20,6,12,1,9,2,10,13,2,6,0,0,H,0,0,D,1.44,4.33,8,1.4,4.6,7.25,1.5,4.2,6.5
la-liga,2016-2017,02/10/16,Celta,Barcelona,4,3,14,13,9,4,3,6,16,11,1,3,0,0,H,3,0,H,8,4.75,1.4,7,4.75,1.4,7.5,4.8,1.4
la-liga,2016-2017,02/10/16,Espanol,Villarreal,0,0,9,5,1,1,3,1,14,10,2,2,0,0,D,0,0,D,2.88,3.1,2.63,2.6,3.1,2.75,2.77,3.2,2.6
la-liga,2016-2017,02/10/16,Malaga,Ath Bilbao,2,1,15,7,3,1,7,2,19,11,7,3,1,1,H,0,1,A,2.45,3,3.3,2.5,3,2.95,2.75,3.25,2.6
la-liga,2016-2017,02/10/16,Real Madrid,Eibar,1,1,15,7,3,4,7,5,8,15,4,5,0,0,D,1,1,D,1.08,11,26,1.09,9.75,21,1.11,9,23
la-liga,2016-2017,02/10/16,Valencia,Ath Madrid,0,2,14,17,5,10,6,5,10,15,1,3,0,0,A,0,0,D,4.5,3.5,1.85,4.25,3.5,1.83,4.1,3.5,1.9
la-liga,2016-2017,14/10/16,Las Palmas,Espanol,0,0,13,5,8,2,8,4,13,21,2,3,0,0,D,0,0,D,1.95,3.4,4.2,2,3.6,3.9,2.1,3.4,3.5
la-liga,2016-2017,15/10/16,Ath Madrid,Granada,7,1,17,9,11,2,11,3,14,8,1,1,0,0,H,2,1,H,1.13,10,17,1.12,9,23,1.15,7.5,18
la-liga,2016-2017,15/10/16,Barcelona,La Coruna,4,0,25,7,8,0,8,2,5,15,1,2,0,1,H,3,0,H,1.1,10,26,1.11,9.5,23,1.12,9,20
la-liga,2016-2017,15/10/16,Betis,Real Madrid,1,6,13,22,2,9,2,5,14,8,4,1,0,0,A,0,4,A,8,5.25,1.36,8.25,5.25,1.36,8,5,1.37
la-liga,2016-2017,15/10/16,Leganes,Sevilla,2,3,19,5,6,4,5,2,17,20,2,5,0,0,A,0,1,A,3.4,3.2,2.25,3.5,3.3,2.15,3.15,3.3,2.3
la-liga,2016-2017,16/10/16,Alaves,Malaga,1,1,8,12,4,5,6,7,14,14,3,3,1,1,D,1,0,H,2.6,3,3,2.6,3,3,2.7,3.1,2.75
la-liga,2016-2017,16/10/16,Ath Bilbao,Sociedad,3,2,15,6,11,3,7,4,17,19,3,3,0,0,H,0,1,A,1.83,3.6,4.4,1.75,3.6,5,1.8,3.6,4.5
la-liga,2016-2017,16/10/16,Sp Gijon,Valencia,1,2,10,7,2,3,4,4,21,11,5,1,0,0,A,1,1,D,3.6,3.4,2.1,3.6,3.4,2.1,3.3,3.35,2.2
la-liga,2016-2017,16/10/16,Villarreal,Celta,5,0,11,4,5,1,3,5,19,12,1,4,0,1,H,3,0,H,1.85,3.4,4.75,1.85,3.5,4.5,1.9,3.5,4.1
la-liga,2016-2017,17/10/16,Eibar,Osasuna,2,3,13,8,5,4,5,0,15,12,1,2,0,0,A,2,2,D,1.7,3.6,5,1.75,3.6,5,1.75,3.6,4.8
la-liga,2016-2017,21/10/16,Osasuna,Betis,1,2,13,12,5,6,6,4,20,12,3,2,1,0,A,0,1,A,2.4,3.2,3.1,2.6,3.25,3,2.5,3.3,2.85
la-liga,2016-2017,22/10/16,Espanol,Eibar,3,3,11,8,5,3,7,6,11,12,1,6,1,0,D,0,3,A,2.05,3.4,3.8,2,3.3,4,2,3.4,3.8
la-liga,2016-2017,22/10/16,Granada,Sp Gijon,0,0,12,3,1,3,3,3,10,12,4,1,0,0,D,0,0,D,2.1,3.4,3.6,2.1,3.3,3.7,2.3,3.2,3.25
la-liga,2016-2017,22/10/16,Sociedad,Alaves,3,0,16,10,5,3,4,2,17,20,3,5,0,0,H,1,0,H,1.67,3.75,5.5,1.62,3.8,5.75,1.75,3.6,4.8
la-liga,2016-2017,22/10/16,Valencia,Barcelona,2,3,7,15,4,8,3,1,15,13,5,4,0,0,A,0,1,A,7,5.25,1.4,7.25,5.25,1.42,7,4.5,1.45
la-liga,2016-2017,23/10/16,Celta,La Coruna,4,1,9,11,7,1,5,4,17,15,3,5,0,0,H,1,1,D,1.7,3.6,5.5,1.75,3.6,5,1.7,3.7,5
la-liga,2016-2017,23/10/16,Malaga,Leganes,4,0,24,14,8,5,5,8,12,15,1,3,0,0,H,2,0,H,1.85,3.3,4.75,1.83,3.4,4.75,1.8,3.6,4.5
la-liga,2016-2017,23/10/16,Real Madrid,Ath Bilbao,2,1,24,10,8,3,6,4,10,17,2,3,0,0,H,1,1,D,1.2,7,13,1.26,6.5,12,1.25,6,11
la-liga,2016-2017,23/10/16,Sevilla,Ath Madrid,1,0,12,9,5,3,4,5,15,11,4,2,0,1,H,0,0,D,4,3.5,1.95,4.1,3.5,2,3.5,3.4,2.1
la-liga,2016-2017,23/10/16,Villarreal,Las Palmas,2,1,14,8,4,4,2,1,16,12,2,3,0,0,H,0,1,A,1.67,3.8,5.25,1.7,3.6,5.5,1.6,3.9,5.7
la-liga,2016-2017,28/10/16,Leganes,Sociedad,0,2,7,9,4,5,1,4,19,15,5,2,0,0,A,0,1,A,2.63,3.1,2.88,2.65,3.1,2.85,2.7,3.2,2.7
la-liga,2016-2017,29/10/16,Alaves,Real Madrid,1,4,8,15,3,5,4,3,15,6,5,1,0,0,A,1,2,A,13,6.5,1.22,13,7,1.2,13.5,6.2,1.22
la-liga,2016-2017,29/10/16,Ath Madrid,Malaga,4,2,16,6,7,3,6,2,10,10,2,4,1,1,H,3,1,H,1.22,6,15,1.22,6.75,12,1.25,6,11
la-liga,2016-2017,29/10/16,Barcelona,Granada,1,0,15,1,5,0,8,1,7,17,1,4,0,0,H,0,0,D,1.05,17,34,1.04,16,36,1.05,13,36
la-liga,2016-2017,29/10/16,Sp Gijon,Sevilla,1,1,9,20,5,6,3,4,17,9,6,2,0,0,D,1,1,D,3.8,3.6,1.95,4.2,3.5,1.91,4.1,3.5,1.9
la-liga,2016-2017,30/10/16,Ath Bilbao,Osasuna,1,1,18,7,4,3,9,2,10,11,2,1,0,0,D,1,1,D,1.36,5,8.5,1.36,4.75,9.25,1.45,4.5,7
la-liga,2016-2017,30/10/16,Betis,Espanol,0,1,13,10,5,5,8,3,15,15,3,3,0,0,A,0,0,D,2.25,3.25,3.4,2.2,3.25,3.5,2.1,3.4,3.5
la-liga,2016-2017,30/10/16,Eibar,Villarreal,2,1,13,6,9,1,3,7,16,16,2,3,0,0,H,0,1,A,3,3.2,2.5,3.1,3.2,2.4,3.15,3.1,2.4
la-liga,2016-2017,30/10/16,Las Palmas,Celta,3,3,17,9,8,6,8,1,13,22,2,6,0,1,D,0,3,A,2.3,3.3,3.2,2.3,3.4,3.1,2.4,3.3,2.95
la-liga,2016-2017,31/10/16,La Coruna,Valencia,1,1,16,10,4,3,5,6,14,21,1,5,0,0,D,1,0,H,2.88,3.2,2.55,2.9,3.25,2.5,2.85,3.3,2.5
la-liga,2016-2017,04/11/16,Malaga,Sp Gijon,3,2,22,7,7,4,9,2,12,20,5,4,0,1,H,1,1,D,1.73,3.6,5.25,1.72,3.6,5.25,1.75,3.6,4.8
