league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
serie-a,2018-2019,23/09/2018,Chievo,Udinese,0,2,10,9,4,7,7,3,18,10,1,1,0,0,A,0,0,D,3,3.2,2.5,3,3.2,2.45,3,3.15,2.5
serie-a,2018-2019,23/09/2018,Frosinone,Juventus,0,2,2,18,0,8,3,5,16,8,3,1,0,0,A,0,0,D,13,7.5,1.16,15.5,7.25,1.18,16,6.9,1.18
serie-a,2018-2019,23/09/2018,Lazio,Genoa,4,1,16,8,8,4,5,3,9,7,1,2,0,0,H,2,0,H,1.44,4.33,8,1.44,4.6,7.25,1.45,4.7,6.7
serie-a,2018-2019,23/09/2018,Milan,Atalanta,2,2,14,13,8,8,4,3,7,4,2,1,0,0,D,1,0,H,2.04,3.5,3.6,2.05,3.4,3.7,2,3.45,3.75
serie-a,2018-2019,23/09/2018,Torino,Napoli,1,3,9,13,3,8,4,6,14,17,2,3,0,0,A,0,2,A,4.5,3.8,1.75,4.4,3.8,1.78,4.4,3.75,1.77
serie-a,2018-2019,25/09/2018,Inter,Fiorentina,2,1,11,11,3,8,6,3,18,20,1,3,0,0,H,1,0,H,1.66,3.8,5.5,1.67,3.7,5.5,1.75,3.6,4.9
serie-a,2018-2019,26/09/2018,Atalanta,Torino,0,0,11,3,4,0,11,1,13,15,2,1,0,0,D,0,0,D,1.8,3.6,4.5,1.85,3.6,4.25,1.83,3.7,4.25
serie-a,2018-2019,26/09/2018,Cagliari,Sampdoria,0,0,10,10,2,5,7,3,16,22,1,3,0,0,D,0,0,D,2.5,3.3,2.87,2.6,3.3,2.75,2.55,3.35,2.75
serie-a,2018-2019,26/09/2018,Genoa,Chievo,2,0,11,8,5,2,7,4,11,17,4,4,0,0,H,1,0,H,1.8,3.4,5,1.8,3.4,5,1.77,3.5,4.95
serie-a,2018-2019,26/09/2018,Juventus,Bologna,2,0,15,5,9,2,3,0,10,13,2,3,0,0,H,2,0,H,1.16,7.5,17,1.16,7.5,18.5,1.17,7.5,15
serie-a,2018-2019,26/09/2018,Napoli,Parma,3,0,20,2,8,0,2,2,9,13,0,3,0,0,H,1,0,H,1.22,6,15,1.19,6.75,15.5,1.2,7,13
serie-a,2018-2019,26/09/2018,Roma,Frosinone,4,0,18,8,13,3,4,3,13,8,0,1,0,0,H,3,0,H,1.2,7,13,1.19,7.25,13.5,1.2,7,13
serie-a,2018-2019,26/09/2018,Udinese,Lazio,1,2,10,5,6,2,6,4,7,17,2,6,0,0,A,0,0,D,4.2,3.75,1.85,4.1,3.6,1.9,3.7,3.5,2
serie-a,2018-2019,27/09/2018,Empoli,Milan,1,1,4,16,3,11,3,10,12,9,2,2,0,0,D,0,1,A,5.25,3.75,1.7,5,3.8,1.7,4.8,3.9,1.7
serie-a,2018-2019,27/09/2018,Spal,Sassuolo,0,2,6,10,2,5,6,7,16,12,1,0,0,0,A,0,0,D,2.54,3.2,2.9,2.65,3.1,2.85,2.6,3.2,2.8
serie-a,2018-2019,29/09/2018,Inter,Cagliari,2,0,12,4,8,1,9,4,13,11,1,4,0,0,H,1,0,H,1.33,5,10,1.33,5,10,1.35,5.3,8
serie-a,2018-2019,29/09/2018,Juventus,Napoli,3,1,14,9,9,6,7,4,14,11,3,5,0,1,H,1,1,D,1.8,3.6,4.75,1.8,3.5,4.75,1.75,3.7,4.8
serie-a,2018-2019,29/09/2018,Roma,Lazio,3,1,10,11,7,5,8,9,11,10,3,1,0,0,H,1,0,H,2.37,3.5,2.9,2.4,3.5,2.85,2.3,3.6,2.95
