league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
la-liga,2025-2026,12/09/2025,Sevilla,Elche,2,2,7,5,3,2,2,2,23,19,4,3,0,0,D,1,0,H,1.85,3.4,4.5,1.87,3.4,4.33,2.2,1.67,1.85,2,1.9,3.3,4.5,1.87,3.4,4.4,2.3,1.62,1.93,1.93
la-liga,2025-2026,13/09/2025,Getafe,Oviedo,2,0,10,5,3,1,4,3,12,18,2,5,0,1,H,2,0,H,1.95,3.1,4.5,2,3.1,4.2,2.75,1.44,1.98,1.88,2,2.88,4.75,2,2.87,4.75,3.4,1.33,2,1.85
la-liga,2025-2026,13/09/2025,Sociedad,Real Madrid,1,2,23,16,4,6,12,4,17,7,2,1,0,1,A,0,2,A,5,4.33,1.6,5,4,1.63,1.73,2.1,1.83,2.03,5.5,4.2,1.57,5.25,4.2,1.58,1.67,2.2,1.88,1.98
la-liga,2025-2026,13/09/2025,Ath Bilbao,Alaves,0,1,12,4,3,2,6,6,17,21,4,3,0,0,A,0,0,D,1.6,3.9,5.75,1.58,3.75,6.25,2.2,1.67,2.1,1.78,1.6,3.75,6.5,1.6,3.7,6.25,2.38,1.57,1.78,2.1
la-liga,2025-2026,13/09/2025,Ath Madrid,Villarreal,2,0,8,8,3,1,8,3,12,15,2,4,0,0,H,1,0,H,1.8,3.7,4.33,1.82,3.75,4.2,1.73,2.1,2.03,1.83,1.75,3.75,4.5,1.78,3.7,4.4,1.88,1.98,2.03,1.83
la-liga,2025-2026,14/09/2025,Celta,Girona,1,1,21,13,7,8,10,3,7,9,0,3,0,0,D,0,1,A,1.73,3.9,4.75,1.7,4,4.75,1.73,2.1,1.9,1.95,1.7,3.8,5,1.72,3.75,4.8,1.83,2.03,1.9,1.95
la-liga,2025-2026,14/09/2025,Levante,Betis,2,2,5,28,2,9,4,12,16,11,3,2,0,0,D,2,1,H,3.25,3.25,2.3,3.1,3.25,2.3,2,1.8,1.85,2,3.7,3.5,1.95,3.5,3.5,2.05,1.73,2.1,1.83,2.03
la-liga,2025-2026,14/09/2025,Osasuna,Vallecano,2,0,9,19,7,6,3,6,13,7,3,2,0,0,H,1,0,H,2.55,3.2,2.9,2.55,3.2,2.85,2.2,1.67,1.8,2.05,2.8,2.9,2.8,2.7,2.95,2.87,2.75,1.44,1.9,1.95
la-liga,2025-2026,14/09/2025,Barcelona,Valencia,6,0,24,2,10,1,5,4,9,8,0,1,0,0,H,1,0,H,1.22,7,11,1.22,7.25,11.5,1.33,3.4,1.93,1.93,1.36,5.25,7.5,1.39,5.25,6.75,1.44,2.75,2.03,1.83
la-liga,2025-2026,15/09/2025,Espanol,Mallorca,3,2,9,24,3,10,3,9,9,16,2,1,1,0,H,2,1,H,2.1,3.4,3.5,2.15,3.2,3.5,2.3,1.62,1.83,2.03,2.25,3.1,3.5,2.25,3.1,3.5,2.63,1.5,1.9,1.95
la-liga,2025-2026,19/09/2025,Betis,Sociedad,3,1,21,11,6,5,3,5,7,20,3,7,0,0,H,1,1,D,1.91,3.6,3.75,1.95,3.6,3.75,1.73,2.1,1.93,1.93,1.95,3.5,3.9,1.95,3.6,3.7,1.73,2.1,1.95,1.9
la-liga,2025-2026,20/09/2025,Girona,Levante,0,4,7,14,1,7,5,4,11,17,4,3,2,0,A,0,1,A,1.91,3.6,4,1.95,3.6,3.8,1.93,1.93,1.9,1.95,1.83,3.7,4.2,1.87,3.8,3.9,1.67,2.2,1.83,2.03
la-liga,2025-2026,20/09/2025,Real Madrid,Espanol,2,0,16,8,5,1,5,3,10,20,2,0,0,0,H,1,0,H,1.2,7,13,1.22,6.75,12,1.4,3,1.98,1.88,1.18,7,15,1.22,7,12,1.36,3.2,2.03,1.83
la-liga,2025-2026,20/09/2025,Alaves,Sevilla,1,2,8,9,5,3,4,4,20,19,1,7,0,0,A,1,1,D,2.25,3.1,3.5,2.35,3.1,3.2,2.5,1.53,1.95,1.9,2.35,2.9,3.4,2.4,2.95,3.3,2.63,1.5,2.03,1.83
la-liga,2025-2026,20/09/2025,Villarreal,Osasuna,2,1,26,6,8,3,7,0,10,11,2,3,0,1,H,0,1,A,1.55,4.33,5.5,1.57,4.1,5.75,1.8,2,1.95,1.9,1.7,3.7,5,1.7,3.75,5,2.05,1.8,1.9,1.95
la-liga,2025-2026,20/09/2025,Valencia,Ath Bilbao,2,0,13,11,5,5,5,6,13,6,1,1,0,1,H,0,0,D,3,3,2.55,3,3.1,2.5,2.5,1.53,2.1,1.78,3.5,3.1,2.25,3.4,3.1,2.25,2.3,1.62,1.93,1.93
la-liga,2025-2026,21/09/2025,Vallecano,Celta,1,1,15,9,5,5,5,7,8,10,1,1,0,0,D,0,0,D,2.3,3.3,3.2,2.35,3.25,3.1,2,1.8,1.98,1.88,1.95,3.5,3.9,2.05,3.4,3.7,2,1.85,2,1.85
la-liga,2025-2026,21/09/2025,Mallorca,Ath Madrid,1,1,8,12,3,7,3,6,14,6,0,0,0,1,D,0,0,D,5,3.6,1.75,5,3.5,1.73,2.2,1.67,1.85,2,4.75,3.6,1.75,4.8,3.5,1.77,2.1,1.73,1.83,2.03
la-liga,2025-2026,21/09/2025,Elche,Oviedo,1,0,15,12,5,4,3,3,9,18,2,2,0,0,H,1,0,H,1.91,3.2,4.5,1.98,3.1,4.2,2.63,1.5,1.95,1.9,2,3.3,3.9,1.95,3.2,4.2,2.2,1.67,2,1.85
la-liga,2025-2026,21/09/2025,Barcelona,Getafe,3,0,16,3,7,2,3,2,9,15,2,4,0,0,H,2,0,H,1.22,6.5,12,1.24,6.5,11,1.53,2.5,1.88,1.98,1.25,6,11,1.25,6.5,10.5,1.44,2.75,1.93,1.93
la-liga,2025-2026,23/09/2025,Ath Bilbao,Girona,1,1,17,6,5,3,8,1,19,15,0,2,0,0,D,0,1,A,1.45,4.33,7,1.46,4.4,6.75,1.83,2.03,2.05,1.8,1.48,4.33,6.5,1.52,4.33,6.25,1.83,2.03,1.8,2.05
la-liga,2025-2026,23/09/2025,Espanol,Valencia,2,2,21,5,10,2,8,3,9,9,1,4,0,0,D,0,1,A,2.25,3.1,3.4,2.25,3.2,3.3,2.2,1.67,1.98,1.88,2.4,3.1,3.2,2.35,3.2,3.2,2.2,1.67,2.05,1.8
