league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2019-2020,14/09/2019,Dortmund,Leverkusen,4,0,11,22,9,12,3,3,9,11,0,3,0,0,H,1,0,H,1.8,4,4,1.75,4.1,4.25,1.75,4.1,4.2,1.44,2.75,1.8,2,1.8,3.9,4.2,1.87,3.9,3.8,1.75,4.1,4.2,1.44,2.75,2,1.8
bundesliga,2019-2020,14/09/2019,FC Koln,M'gladbach,0,1,14,15,7,4,4,7,22,17,2,2,0,0,A,0,1,A,2.5,3.5,2.7,2.6,3.4,2.7,2.6,3.5,2.6,1.66,2.2,1.91,2.02,2.1,3.6,3.3,2.2,3.6,3.1,2.4,3.5,2.85,1.57,2.37,1.95,1.98
bundesliga,2019-2020,14/09/2019,Mainz,Hertha,2,1,14,16,5,8,6,3,16,11,2,2,0,0,H,1,0,H,2.3,3.4,3.1,2.4,3.5,2.9,2.4,3.4,2.9,1.72,2.1,2.07,1.86,2.37,3.3,3,2.4,3.5,2.9,2.4,3.4,2.9,1.66,2.2,2.1,1.83
bundesliga,2019-2020,14/09/2019,Union Berlin,Werder Bremen,1,2,12,16,5,7,7,4,23,10,3,4,1,1,A,1,1,D,2.87,3.5,2.4,2.9,3.5,2.4,2.75,3.4,2.5,1.66,2.2,2.07,1.86,2.3,3.6,2.87,2.4,3.5,2.85,2.5,3.4,2.75,1.57,2.37,2.1,1.83
bundesliga,2019-2020,14/09/2019,RB Leipzig,Bayern Munich,1,1,12,14,6,7,3,6,11,4,4,2,0,0,D,1,1,D,3.8,4,1.85,3.75,4.1,1.85,3.5,3.7,2,1.44,2.75,2.05,1.88,4,4.2,1.75,4.4,4.25,1.7,3.6,3.6,2,1.4,3,2.05,1.88
bundesliga,2019-2020,15/09/2019,Hoffenheim,Freiburg,0,3,22,16,5,8,12,4,10,6,0,2,0,0,A,0,2,A,1.7,4.2,4.5,1.7,4.2,4.5,1.7,4,4.7,1.57,2.37,1.9,2.03,1.85,3.8,3.8,1.91,3.7,3.9,1.85,3.6,4.3,1.72,2.1,1.98,1.95
bundesliga,2019-2020,15/09/2019,Paderborn,Schalke 04,1,5,9,18,1,11,3,5,17,12,2,1,0,0,A,1,1,D,3.1,3.5,2.25,3,3.75,2.2,3.2,3.5,2.2,1.53,2.5,1.92,2.01,3,3.6,2.3,3.1,3.5,2.25,3,3.5,2.3,1.57,2.37,1.92,2.01
bundesliga,2019-2020,20/09/2019,Schalke 04,Mainz,2,1,19,14,6,3,5,5,7,15,1,1,0,0,H,1,0,H,1.61,4.2,5,1.65,3.9,5.25,1.67,4.1,4.9,1.66,2.2,1.86,2.07,1.61,4.2,5,1.67,3.9,5.25,1.67,4,4.9,1.57,2.37,2.07,1.72
bundesliga,2019-2020,21/09/2019,Bayern Munich,FC Koln,4,0,24,16,5,2,12,4,15,20,4,0,0,1,H,1,0,H,1.11,10,21,1.13,9,19.5,1.12,9.3,18.5,1.25,4,1.98,1.95,1.11,9.5,21,1.1,10.5,21,1.12,9.3,18.5,1.22,4.33,1.86,2.07
bundesliga,2019-2020,21/09/2019,Freiburg,Augsburg,1,1,17,12,5,2,7,4,13,13,1,1,0,0,D,1,1,D,1.9,3.75,3.8,1.87,3.75,4,2,3.5,3.7,1.66,2.2,1.91,2.02,1.9,3.75,3.8,1.87,3.75,4,2,3.5,3.7,1.57,2.37,1.98,1.95
