league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2024-2025,14/09/2024,Crystal Palace,Leicester,2,2,20,9,4,4,5,2,11,15,0,3,0,0,D,0,1,A,T Harrington,1.62,4,5.5,1.62,4.1,5.25,1.73,2.1,2.08,1.82,1.65,3.9,5.25,1.66,4,5.25,1.88,2.02,1.88,2.05
epl,2024-2025,14/09/2024,Fulham,West Ham,1,1,21,11,5,3,3,2,15,18,2,3,0,0,D,1,0,H,T Robinson,2.38,3.25,3,2.4,3.6,2.8,1.73,2.1,2.08,1.82,2.25,3.3,3.2,2.35,3.4,3,1.86,2.04,2.04,1.89
epl,2024-2025,14/09/2024,Liverpool,Nott'm Forest,0,1,14,5,5,3,7,2,15,6,4,4,0,0,A,0,0,D,M Oliver,1.22,6.5,12,1.22,7,12,1.44,2.75,2.07,1.83,1.25,6.25,11,1.26,6.5,10.5,1.4,3,1.86,2.07
epl,2024-2025,14/09/2024,Man City,Brentford,2,1,18,8,7,5,12,3,9,3,3,1,0,0,H,2,1,H,D Bond,1.18,8,12,1.19,7.75,14,1.36,3.2,1.92,1.98,1.17,8,15,1.21,7.5,12,1.44,2.75,2.08,1.85
epl,2024-2025,14/09/2024,Aston Villa,Everton,3,2,17,6,8,2,6,2,10,12,1,4,0,0,H,1,2,A,C Pawson,1.5,4.2,6.5,1.5,4.5,6.25,1.67,2.2,1.85,2.05,1.67,3.75,5.25,1.68,3.9,5,1.8,2,1.88,2.05
epl,2024-2025,14/09/2024,Bournemouth,Chelsea,0,1,19,10,7,3,6,3,16,9,6,8,0,0,A,0,0,D,A Taylor,3.4,3.8,2,3.3,3.9,2.05,1.44,2.75,1.85,2.05,3.1,3.6,2.2,2.95,3.75,2.25,1.5,2.63,1.95,1.98
epl,2024-2025,15/09/2024,Tottenham,Arsenal,0,1,15,7,5,4,7,6,13,10,5,3,0,0,A,0,0,D,J Gillett,3,3.5,2.3,2.95,3.7,2.25,1.57,2.38,1.88,2.02,2.7,3.4,2.6,2.7,3.5,2.5,1.62,2.3,2.01,1.92
epl,2024-2025,15/09/2024,Wolves,Newcastle,1,2,12,14,5,6,4,7,17,6,3,3,0,0,A,1,0,H,C Kavanagh,3.4,3.5,2.1,3.2,3.75,2.1,1.57,2.38,2.06,1.84,3.6,3.5,2.05,3.5,3.7,2,1.62,2.3,1.85,2.08
epl,2024-2025,21/09/2024,West Ham,Chelsea,0,3,15,12,7,5,6,5,17,9,5,2,0,0,A,0,2,A,S Barrott,3.6,3.9,1.95,3.4,3.8,2.05,1.5,2.63,1.9,2,3.5,3.9,1.95,3.5,3.9,1.98,1.5,2.63,1.9,2.03
epl,2024-2025,21/09/2024,Aston Villa,Wolves,3,1,9,10,4,4,6,5,11,16,3,6,0,0,H,0,1,A,T Robinson,1.57,4.2,5.25,1.58,4.4,5.25,1.57,2.38,2,1.9,1.65,4,4.75,1.63,4.2,5,1.67,2.2,1.86,2.07
epl,2024-2025,21/09/2024,Fulham,Newcastle,3,1,22,15,11,4,6,0,16,8,6,0,0,0,H,2,0,H,P Bankes,3,3.4,2.4,2.87,3.6,2.35,1.67,2.2,1.82,2.08,2.9,3.4,2.4,2.75,3.5,2.45,1.67,2.2,1.83,2.1
epl,2024-2025,21/09/2024,Leicester,Everton,1,1,12,16,2,5,6,1,11,12,1,2,0,0,D,0,1,A,D England,2.45,3.4,2.88,2.55,3.4,2.7,1.87,2.03,1.81,2.09,2.1,3.5,3.5,2.1,3.5,3.5,1.73,2.1,1.84,2.06
epl,2024-2025,21/09/2024,Liverpool,Bournemouth,3,0,19,19,13,6,3,9,10,12,1,4,0,0,H,3,0,H,T Harrington,1.3,6.25,9,1.29,6.5,9,1.36,3.2,2,1.9,1.25,6.5,10,1.28,6.5,9.5,1.3,3.5,1.88,2.05
epl,2024-2025,21/09/2024,Southampton,Ipswich,1,1,11,13,3,6,2,10,16,16,4,4,0,0,D,1,0,H,S Allison,2.25,3.5,3.2,2.25,3.6,3,1.8,2,1.97,1.93,2.45,3.4,2.88,2.4,3.4,2.9,1.8,2,2.08,1.73
