date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,threshold_tier,signal_profile,clay_tournament_tier,clay_shadow_policy
2026-04-09,23:10:05,Fajing Sun,Justin Boulais,Hard,Challenger,ATP250,high,,,1.893,1.943,15.42,-24.17,P1+,15.42,2.0,200.0,flat_spread,spread,-0.5,1.893,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Harry Wendelken,Pavel Kotov,Hard,Challenger,ATP250,high,,,1.893,1.943,28.56,-37.66,P1+,28.56,2.0,200.0,flat_spread,spread,1.5,1.893,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Dong Ju Kim,Hikaru Shiraishi,Hard,Challenger,ATP250,high,,,1.935,1.87,21.8,-30.71,P1+,21.8,2.0,200.0,flat_spread,spread,4.0,1.935,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Matisse Bobichon,Kasidit Samrej,Hard,Challenger,ATP250,medium,2.59,1.63,3.41,1.333,31.66,-18.22,P1,31.66,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-11,23:04:37,Matisse Bobichon,Kasidit Samrej,Hard,Challenger,ATP250,medium,,,1.847,1.98,13.43,-23.6,P1+,13.43,2.0,200.0,flat_spread,spread,4.0,1.847,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Ji Sung Nam,Marat Sharipov,Hard,Challenger,ATP250,high,2.32,1.76,2.86,1.431,23.28,-18.69,P1,23.28,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-11,23:04:37,Ji Sung Nam,Marat Sharipov,Hard,Challenger,ATP250,high,,,1.855,1.952,21.57,-32.73,P1+,21.57,2.0,200.0,flat_spread,spread,4.0,1.855,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Yusuke Takahashi,Ryo Tabata,Hard,Challenger,ATP250,medium,,,1.877,1.893,-21.8,10.44,P2-,10.44,2.0,200.0,flat_spread,spread,-3.5,1.893,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Pavle Marinkov,Joshua Charlton,Hard,Challenger,ATP250,high,1.64,2.57,1.295,3.51,-21.04,36.58,P2,36.58,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-11,23:04:37,Pavle Marinkov,Joshua Charlton,Hard,Challenger,ATP250,high,,,1.833,1.943,-23.67,13.39,P2-,13.39,2.0,200.0,flat_spread,spread,-3.5,1.943,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Ryuki Matsuda,Daniil Ostapenkov,Hard,Challenger,ATP250,high,,,1.98,1.8,17.76,-27.05,P1+,17.76,2.0,200.0,flat_spread,spread,4.5,1.98,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Wishaya Trongcharoenchaikul,Mitsuki Wei Kang Leong,Hard,Challenger,ATP250,high,,,1.943,1.826,12.27,-22.91,P1+,12.27,2.0,200.0,flat_spread,spread,4.5,1.943,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Qian Sun,Yuta Kikuchi,Hard,Challenger,ATP250,medium,2.17,1.85,3.14,1.353,44.7,-26.86,P1,44.7,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-11,23:04:37,Leo Vithoontien,Yusuke Kusuhara,Hard,Challenger,ATP250,medium,,,1.885,1.885,-21.34,9.84,P2-,9.84,2.0,200.0,flat_spread,spread,0.0,1.885,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Sora Fukuda,Enzo Aguiard,Hard,Challenger,ATP250,medium,2.14,1.88,2.7,1.459,26.17,-22.39,P1,26.17,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-11,23:04:37,Sora Fukuda,Enzo Aguiard,Hard,Challenger,ATP250,medium,,,1.8,1.971,17.8,-31.89,P1+,17.8,2.0,200.0,flat_spread,spread,3.5,1.8,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-11,23:04:37,Khumoun Sultanov,Yuki Mochizuki,Hard,Challenger,ATP250,high,2.39,1.72,1.302,3.46,-45.52,101.16,P2,101.16,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,09:15:02,Taro Daniel,Patrick Zahraj,Hard,Challenger,ATP250,high,1.76,2.32,1.289,3.68,-26.76,58.62,P2,58.62,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,09:15:02,James Kent Trotter,Kasidit Samrej,Hard,Challenger,ATP250,high,2.1,1.91,1.552,2.48,-26.1,29.84,P2,29.84,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,09:15:02,Daniil Ostapenkov,Yuta Kikuchi,Hard,Challenger,ATP250,high,,,1.885,1.885,-27.72,16.22,P2-,16.22,2.0,200.0,flat_spread,spread,-3.0,1.885,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,09:15:02,Kokoro Isomura,Leo Vithoontien,Hard,Challenger,ATP250,high,2.5,1.67,1.606,2.3,-35.76,37.72,P2,37.72,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,23:09:50,Alex Bolt,James McCabe,Hard,Challenger,ATP250,high,,,1.943,1.893,38.59,-45.72,P1+,38.59,2.0,200.0,flat_spread,spread,-1.5,1.943,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Bu Yunchaokete,Yunseong Chung,Hard,Challenger,ATP250,medium,,,1.826,2.02,-94.77,96.22,P2-,96.22,2.0,200.0,flat_spread,spread,-5.5,2.02,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Liam Broady,Murphy Cassone,Hard,Challenger,ATP250,high,1.33,4.07,1.633,2.35,22.78,-42.26,P1,22.78,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,23:09:50,Liam Broady,Murphy Cassone,Hard,Challenger,ATP250,high,,,1.901,1.935,22.08,-30.76,P1+,22.08,2.0,200.0,flat_spread,spread,-2.5,1.901,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Yu Hsiou Hsu,Adam Walton,Hard,Challenger,ATP250,high,1.82,2.22,3.23,1.372,77.47,-38.2,P1,77.47,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
