generated_utc,as_of_date,scope,eval_period,league_scope,window_days,source_file,policy_mode,bet_type,signals,settled,unsettled,wins,losses,invalid_odds,staked_units,pnl_units,roi_pct,win_rate_pct,avg_value_pct,avg_pin_odds
2026-04-13T09:12:51+00:00,2026-04-13,all_time,legacy,Challenger,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,clean,Challenger,7,strict-signals-volume200-archive.csv,base,,99,57,42,15,41,0,91.0000,-35.1360,-38.6110,26.7857,48.8887,3.0291
2026-04-13T09:12:51+00:00,2026-04-13,window,clean,Challenger,7,strict-signals-volume200-archive.csv,base,,71,29,42,5,23,0,46.0000,-26.7060,-58.0565,17.8571,49.4207,3.0901
2026-04-13T09:12:51+00:00,2026-04-13,all_time,legacy,Challenger,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,clean,Challenger,7,strict-signals-volume200-archive.csv,base,ml,38,21,17,2,19,0,21.0000,-14.6800,-69.9048,9.5238,48.8887,3.0291
2026-04-13T09:12:51+00:00,2026-04-13,window,clean,Challenger,7,strict-signals-volume200-archive.csv,base,ml,27,10,17,0,10,0,10.0000,-10.0000,-100.0000,0.0000,49.4207,3.0901
2026-04-13T09:12:51+00:00,2026-04-13,all_time,legacy,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,clean,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,61,36,25,13,22,0,70.0000,-20.4560,-29.2229,37.1429,37.6028,1.9094
2026-04-13T09:12:51+00:00,2026-04-13,window,clean,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,44,19,25,5,13,0,36.0000,-16.7060,-46.4056,27.7778,35.9280,1.9200
2026-04-13T23:01:41+00:00,2026-04-13,window,overall,combined,7,strict-signals-volume200-archive.csv,base,,80,47,33,12,33,0,73.0000,-30.5160,-41.8027,26.6667,51.8703,3.0512
2026-04-13T23:01:41+00:00,2026-04-13,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,,174,141,33,64,73,0,217.0000,-3.8880,-1.7917,46.7153,44.5256,2.7544
2026-04-13T23:01:41+00:00,2026-04-13,window,overall,combined,7,strict-signals-volume200-archive.csv,base,ml,31,17,14,3,14,0,17.0000,-8.5000,-50.0000,17.6471,51.8703,3.0512
2026-04-13T23:01:41+00:00,2026-04-13,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,ml,70,56,14,23,33,0,59.0000,1.7450,2.9576,41.0714,44.5256,2.7544
2026-04-13T23:01:41+00:00,2026-04-13,window,overall,combined,7,strict-signals-volume200-archive.csv,base,handicap,49,30,19,9,19,0,56.0000,-22.0160,-39.3143,32.1429,36.3406,1.9079
2026-04-13T23:01:41+00:00,2026-04-13,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,handicap,104,85,19,41,40,0,158.0000,-5.6330,-3.5652,50.6173,37.4645,1.9092
2026-04-13T23:01:41+00:00,2026-04-13,all_time,legacy,combined,7,strict-signals-volume200-archive.csv,base,,4,4,0,2,2,0,6.0000,-0.3670,-6.1167,50.0000,27.3300,1.8530
2026-04-13T23:01:41+00:00,2026-04-13,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,,170,137,33,62,71,0,211.0000,-3.5210,-1.6687,46.6165,45.0313,2.7878
2026-04-13T23:01:41+00:00,2026-04-13,window,clean,combined,7,strict-signals-volume200-archive.csv,base,,80,47,33,12,33,0,73.0000,-30.5160,-41.8027,26.6667,51.8703,3.0512
2026-04-13T23:01:41+00:00,2026-04-13,all_time,legacy,combined,7,strict-signals-volume200-archive.csv,base,ml,2,2,0,1,1,0,4.0000,-0.2140,-5.3500,50.0000,27.3300,1.8530
2026-04-13T23:01:41+00:00,2026-04-13,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,ml,68,54,14,22,32,0,55.0000,1.9590,3.5618,40.7407,45.0313,2.7878
2026-04-13T23:01:41+00:00,2026-04-13,window,clean,combined,7,strict-signals-volume200-archive.csv,base,ml,31,17,14,3,14,0,17.0000,-8.5000,-50.0000,17.6471,51.8703,3.0512
2026-04-13T23:01:41+00:00,2026-04-13,all_time,legacy,combined,7,strict-signals-volume200-archive.csv,base,handicap,2,2,0,1,1,0,2.0000,-0.1530,-7.6500,50.0000,22.1500,1.8820
2026-04-13T23:01:41+00:00,2026-04-13,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,handicap,102,83,19,40,39,0,156.0000,-5.4800,-3.5128,50.6329,37.7648,1.9098
2026-04-13T23:01:41+00:00,2026-04-13,window,clean,combined,7,strict-signals-volume200-archive.csv,base,handicap,49,30,19,9,19,0,56.0000,-22.0160,-39.3143,32.1429,36.3406,1.9079
2026-04-13T23:01:41+00:00,2026-04-13,window,overall,ATP,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,overall,ATP,7,strict-signals-volume200-archive.csv,base,,14,14,0,7,6,0,22.0000,-0.1040,-0.4727,53.8462,29.6400,2.4240
2026-04-13T23:01:41+00:00,2026-04-13,window,overall,ATP,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,overall,ATP,7,strict-signals-volume200-archive.csv,base,ml,4,4,0,3,1,0,4.0000,2.6960,67.4000,75.0000,29.6400,2.4240
2026-04-13T23:01:41+00:00,2026-04-13,window,overall,ATP,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,overall,ATP,7,strict-signals-volume200-archive.csv,base,handicap,10,10,0,4,5,0,18.0000,-2.8000,-15.5556,44.4444,25.9900,1.8963
2026-04-13T23:01:41+00:00,2026-04-13,all_time,legacy,ATP,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,clean,ATP,7,strict-signals-volume200-archive.csv,base,,14,14,0,7,6,0,22.0000,-0.1040,-0.4727,53.8462,29.6400,2.4240
2026-04-13T23:01:41+00:00,2026-04-13,window,clean,ATP,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,legacy,ATP,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
