date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier,signal_profile,spread_line,spread_odds,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,game_margin,shadow_reason,league,clay_tournament_tier,clay_shadow_policy
2026-03-31,00:14:18,Alexei Popyrin,Patrick Kypson,Clay,ATP500,medium,,,1.87,2.0,-34.43,29.87,P2-,29.87,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-2.0,2.0,settled,P1+,LOSS,0,2026-03-31,34233,46718,34233,46718,2026-04-03T09:19:04+00:00,,,,,3,,ATP,,
2026-03-31,00:14:18,Hiroki Moriya,Koki Matsuda,Hard,ATP250,medium,2.64,1.61,1.602,2.36,-39.32,46.58,P2,46.58,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,LOSS,0,2026-03-31,11521,97989,11521,97989,2026-04-01T10:09:13+00:00,,,,,,,Challenger,,
2026-03-31,00:14:18,Hiroki Moriya,Koki Matsuda,Hard,ATP250,medium,,,1.862,1.935,-45.13,36.47,P2-,36.47,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-2.5,1.935,settled,P1+,LOSS,0,2026-03-31,11521,97989,11521,97989,2026-04-01T10:09:13+00:00,,,,,6,non_policy,Challenger,,
2026-03-31,00:14:18,Martin Damm,Brandon Nakashima,Clay,ATP500,medium,,,2.03,1.847,-34.27,24.89,P2-,24.89,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,3.0,1.847,settled,P2-,WIN,1,2026-03-31,72574,56846,56846,72574,2026-04-01T10:09:13+00:00,,,,,-5,,ATP,,
2026-03-31,00:14:18,Aleksandar Kovacevic,Rinky Hijikata,Clay,ATP500,high,1.94,2.06,1.588,2.5,-18.14,21.36,P2,21.36,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,WIN,1,2026-03-31,39152,58149,58149,39152,2026-04-03T09:19:04+00:00,,,,,,,ATP,,
2026-03-31,00:14:18,Carl Emil Overbeck,Ognjen Milic,Hard,ATP250,high,3.56,1.39,1.505,2.61,-57.72,87.77,P2,87.77,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,WIN,1,2026-03-31,81153,103193,103193,81153,2026-03-31T10:11:15+00:00,,,,,,,Challenger,,
2026-03-31,00:14:18,Carl Emil Overbeck,Ognjen Milic,Hard,ATP250,high,,,1.877,1.926,-67.99,59.76,P2-,59.76,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-3.0,1.926,settled,P2-,WIN,1,2026-03-31,81153,103193,103193,81153,2026-03-31T10:11:15+00:00,,,,,-3,non_policy,Challenger,,
2026-03-31,00:14:18,Omar Jasika,Li Tu,Hard,ATP250,high,2.31,1.76,3.71,1.292,60.61,-26.59,P1,60.61,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,WIN,1,2026-03-31,26965,22710,26965,22710,2026-03-31T10:11:15+00:00,,,,,,,Challenger,,
2026-03-31,00:14:18,Omar Jasika,Li Tu,Hard,ATP250,high,,,1.952,1.862,53.7,-60.42,P1+,53.7,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,4.5,1.952,settled,P1+,WIN,1,2026-03-31,26965,22710,26965,22710,2026-03-31T10:11:15+00:00,,,,,3,non_policy,Challenger,,
2026-03-31,00:14:18,Blake Ellis,Naoya Honda,Hard,ATP250,high,1.79,2.26,1.476,2.74,-17.54,21.24,P2,21.24,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,LOSS,0,2026-03-31,33614,99982,33614,99982,2026-03-31T10:11:15+00:00,,,,,,,Challenger,,
