captured_at,match_date,event_id,kickoff_at,snapshot_kind,bookmaker,competition,home_team,away_team,team,market,line,side,odds_decimal,source,notes
2026-09-12T12:12:48Z,2026-09-13,72221258,2026-09-13T13:00:00Z,live_capture,Bet365,Premier League,Coventry City,Brighton & Hove Albion,Coventry City,TEAM_SHOTS,9.5,under,1.9090,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-13,72221258,2026-09-13T13:00:00Z,live_capture,Bet365,Premier League,Coventry City,Brighton & Hove Albion,Brighton & Hove Albion,TEAM_SHOTS,15.5,over,1.9090,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-13,72221258,2026-09-13T13:00:00Z,live_capture,Bet365,Premier League,Coventry City,Brighton & Hove Albion,Brighton & Hove Albion,TEAM_SHOTS,15.5,under,1.8000,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-13,72221266,2026-09-13T15:30:00Z,live_capture,Bet365,Premier League,Manchester United,Manchester City,Manchester United,TEAM_SHOTS,12.5,over,1.8330,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-13,72221266,2026-09-13T15:30:00Z,live_capture,Bet365,Premier League,Manchester United,Manchester City,Manchester United,TEAM_SHOTS,12.5,under,1.8330,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-13,72221266,2026-09-13T15:30:00Z,live_capture,Bet365,Premier League,Manchester United,Manchester City,Manchester City,TEAM_SHOTS,14.5,over,1.8000,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-13,72221266,2026-09-13T15:30:00Z,live_capture,Bet365,Premier League,Manchester United,Manchester City,Manchester City,TEAM_SHOTS,14.5,under,1.9090,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-14,72221262,2026-09-14T19:00:00Z,live_capture,Bet365,Premier League,Leeds United,Newcastle United,Newcastle United,TEAM_SHOTS,12.5,over,1.8000,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-14,72221262,2026-09-14T19:00:00Z,live_capture,Bet365,Premier League,Leeds United,Newcastle United,Newcastle United,TEAM_SHOTS,12.5,under,1.9090,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-14,72221262,2026-09-14T19:00:00Z,live_capture,Bet365,Premier League,Leeds United,Newcastle United,Leeds United,TEAM_SHOTS,13.5,over,1.8000,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-14,72221262,2026-09-14T19:00:00Z,live_capture,Bet365,Premier League,Leeds United,Newcastle United,Leeds United,TEAM_SHOTS,13.5,under,1.9090,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-12,72221252,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Aston Villa,Nottingham Forest,Nottingham Forest,TEAM_SHOTS,11.5,over,2.0000,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-12,72221252,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Aston Villa,Nottingham Forest,Nottingham Forest,TEAM_SHOTS,11.5,under,1.7270,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-12,72221252,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Aston Villa,Nottingham Forest,Aston Villa,TEAM_SHOTS,14.5,over,2.0000,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-12,72221252,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Aston Villa,Nottingham Forest,Aston Villa,TEAM_SHOTS,14.5,under,1.7270,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-12,72221254,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,AFC Bournemouth,Brentford FC,Brentford FC,TEAM_SHOTS,12.5,over,2.0000,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-12,72221254,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,AFC Bournemouth,Brentford FC,Brentford FC,TEAM_SHOTS,12.5,under,1.7270,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-12,72221254,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,AFC Bournemouth,Brentford FC,AFC Bournemouth,TEAM_SHOTS,15.5,over,2.0000,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-12,72221254,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,AFC Bournemouth,Brentford FC,AFC Bournemouth,TEAM_SHOTS,15.5,under,1.7270,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-12,72221264,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Liverpool FC,Fulham FC,Fulham FC,TEAM_SHOTS,10.5,over,1.7270,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-12,72221264,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Liverpool FC,Fulham FC,Fulham FC,TEAM_SHOTS,10.5,under,2.0000,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-12,72221264,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Liverpool FC,Fulham FC,Liverpool FC,TEAM_SHOTS,16.5,over,1.8330,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-12,72221264,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Liverpool FC,Fulham FC,Liverpool FC,TEAM_SHOTS,16.5,under,1.8330,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-12,72221270,2026-09-12T16:30:00Z,live_capture,Bet365,Premier League,Tottenham Hotspur,Everton FC,Tottenham Hotspur,TEAM_SHOTS,15.5,over,1.9090,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-12,72221270,2026-09-12T16:30:00Z,live_capture,Bet365,Premier League,Tottenham Hotspur,Everton FC,Tottenham Hotspur,TEAM_SHOTS,15.5,under,1.8000,odds_api_io,market=Total Shots Home
2026-09-12T12:12:48Z,2026-09-12,72221270,2026-09-12T16:30:00Z,live_capture,Bet365,Premier League,Tottenham Hotspur,Everton FC,Everton FC,TEAM_SHOTS,10.5,over,1.7270,odds_api_io,market=Total Shots Away
2026-09-12T12:12:48Z,2026-09-12,72221270,2026-09-12T16:30:00Z,live_capture,Bet365,Premier League,Tottenham Hotspur,Everton FC,Everton FC,TEAM_SHOTS,10.5,under,2.0000,odds_api_io,market=Total Shots Away
