player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,league,league_name
Nicholas David Ionel,Michiel De Krom,1.565,2.5,3.9,21.0,1.877,1.962,Challenger,ATP Challenger Kigali - R1
Samuele Pieri,Jerome Kym,5.53,1.167,3.77,20.5,1.893,1.943,Challenger,ATP Challenger Kigali - R1
Stefano Napolitano,Corentin Denolly,1.226,4.49,3.84,20.5,1.917,1.917,Challenger,ATP Challenger Kigali - R1
Enrico Dalla Valle,Arthur Gea,4.01,1.267,3.86,21.0,1.971,1.862,Challenger,ATP Challenger Kigali - R1
Mathys Erhard,Joel Josef Schwaerzler,2.09,1.787,3.81,22.0,1.862,1.98,Challenger,ATP Challenger Kigali - R1
Max Houkes,Ryan Nijboer,1.441,2.91,3.76,22.0,1.962,1.877,Challenger,ATP Challenger Kigali - R1
Adolfo Daniel Vallejo,Tristan Boyer,1.351,3.35,3.87,21.0,1.893,1.943,Challenger,ATP Challenger Brasilia - R1
Facundo Diaz Acosta,Nikolas Sanchez Izquierdo,1.251,4.18,3.86,20.5,1.952,1.885,Challenger,ATP Challenger Brasilia - R1
Pedro Boscardin Dias,Elmer Moller,2.88,1.446,3.88,21.5,1.901,1.935,Challenger,ATP Challenger Brasilia - R1
Henrique Rocha,Franco Agamenone,1.391,3.13,3.84,21.5,1.917,1.917,Challenger,ATP Challenger Brasilia - R1
Thiago Monteiro,Daniel Dutra da Silva,1.249,4.21,3.82,21.5,1.943,1.893,Challenger,ATP Challenger Brasilia - R1
Luis Miguel,Juan Pablo Ficovich,2.94,1.431,3.89,21.5,1.901,1.935,Challenger,ATP Challenger Brasilia - R1
Alvaro Guillen Meza,Miguel Damas,1.437,2.92,3.84,21.0,1.893,1.943,Challenger,ATP Challenger Brasilia - R1
Benjamin Torrealba,Juan Pablo Varillas,8.03,1.099,3.45,19.0,1.87,1.971,Challenger,ATP Challenger Brasilia - R1
Igor Marcondes,Pedro Sakamoto,1.288,3.81,3.89,21.0,1.893,1.943,Challenger,ATP Challenger Brasilia - R1
Clement Tabur,Kei Nishikori,1.575,2.48,3.81,22.0,1.877,1.962,Challenger,ATP Challenger Thionville - R1
Mae Malige,Jan Choinski,2.83,1.461,3.78,21.5,1.862,1.98,Challenger,ATP Challenger Thionville - R1
Jelle Sels,Moise Kouame,3.58,1.316,3.92,21.0,1.917,1.917,Challenger,ATP Challenger Thionville - R1
Dan Added,Martin Krumich,2.0,1.855,3.91,22.5,1.885,1.952,Challenger,ATP Challenger Thionville - R1
Rio Noguchi,Antoine Ghibaudo,1.637,2.29,4.76,21.5,1.855,1.971,Challenger,ATP Challenger Fujairah - R1
Hynek Barton,Gabi Adrian Boitan,1.291,3.66,4.78,21.5,1.909,1.909,Challenger,ATP Challenger Fujairah - R1
Petr Bar Biryukov,Sergey Fomin,1.61,2.35,4.66,22.5,1.917,1.901,Challenger,ATP Challenger Fujairah - R1
Yuta Shimizu,Max Basing,2.46,1.562,4.67,21.5,1.962,1.862,Challenger,ATP Challenger Fujairah - R1
Benjamin Hassan,Ivan Ivanov,1.369,3.15,4.79,21.5,1.901,1.917,Challenger,ATP Challenger Fujairah - R1
Max Schoenhaus,Yi Zhou,2.76,1.459,4.77,22.0,1.971,1.855,Challenger,ATP Challenger Fujairah - R1
Zach Stephens,Yasutaka Uchiyama,13.36,1.041,3.55,18.5,1.855,1.971,Challenger,ATP Challenger Fujairah - R1
