league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
serie-a,2025-2026,22/09/2025,Napoli,Pisa,3,2,18,15,6,6,5,3,10,18,1,2,0,0,H,1,0,H,1.27,5.75,12,1.26,5.75,12,1.83,2.03,2.03,1.78,1.3,5.25,10,1.32,5,10,2,1.85,2.05,1.8
serie-a,2025-2026,27/09/2025,Como,Cremonese,1,1,14,9,6,2,4,3,16,17,3,4,1,0,D,1,0,H,1.45,4.33,8,1.47,4.33,7,1.88,1.98,2,1.85,1.44,4.33,7.5,1.43,4.5,7.5,1.85,2,2.03,1.83
serie-a,2025-2026,27/09/2025,Juventus,Atalanta,1,1,24,12,10,2,14,5,6,7,0,3,0,1,D,0,1,A,1.85,3.6,4.2,1.88,3.5,4.2,2.03,1.83,1.85,2,1.9,3.4,4.33,1.93,3.4,4,2.03,1.83,2,1.85
serie-a,2025-2026,27/09/2025,Cagliari,Inter,0,2,6,20,0,5,4,4,13,14,0,2,0,0,A,0,1,A,6,4.2,1.53,5.75,4.2,1.55,1.8,2,1.93,1.93,7,4.2,1.48,6.25,4.2,1.51,1.9,1.95,2.05,1.8
serie-a,2025-2026,28/09/2025,Sassuolo,Udinese,3,1,11,12,5,5,1,5,5,22,0,3,0,0,H,2,0,H,2.3,3.2,3.3,2.3,3.25,3.1,2.1,1.73,1.98,1.88,2.35,3.1,3.3,2.35,3.1,3.2,2.1,1.73,2,1.85
serie-a,2025-2026,28/09/2025,Pisa,Fiorentina,0,0,11,14,1,2,4,6,15,15,0,1,0,0,D,0,0,D,3.3,3.25,2.25,3.25,3.2,2.3,2.2,1.67,1.93,1.93,3.5,3.4,2.15,3.4,3.2,2.2,2.1,1.73,1.98,1.88
serie-a,2025-2026,28/09/2025,Roma,Verona,2,0,10,12,5,3,8,1,11,19,0,4,0,0,H,1,0,H,1.42,4.2,8.5,1.44,4.2,8,2.1,1.73,2.03,1.83,1.4,4.33,8.5,1.43,4.33,8.25,2,1.85,2,1.85
serie-a,2025-2026,28/09/2025,Lecce,Bologna,2,2,12,14,4,5,3,9,13,13,4,2,0,0,D,1,1,D,4.2,3,2.05,4,3,2.1,2.5,1.53,1.8,2.05,6,3.6,1.65,5.5,3.5,1.71,2.3,1.62,2,1.85
serie-a,2025-2026,28/09/2025,Milan,Napoli,2,1,6,19,3,7,1,7,7,7,1,0,1,0,H,2,0,H,2.35,3.1,3.2,2.4,3.2,3,2.1,1.73,2,1.85,1.85,3.5,4.33,1.88,3.4,4.2,2.05,1.8,1.88,1.98
serie-a,2025-2026,29/09/2025,Parma,Torino,2,1,13,15,2,4,4,3,10,12,3,3,0,0,H,1,0,H,2.3,3.1,3.4,2.15,3.25,3.4,2.2,1.67,1.95,1.9,2.55,2.9,3.1,2.55,2.95,3,2.5,1.53,2.15,1.68
