league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2025-2026,21/09/2025,Dortmund,Wolfsburg,1,0,12,10,4,1,9,3,10,9,1,0,0,0,H,1,0,H,1.5,5,5.5,1.49,4.75,5.75,1.44,2.75,2.05,1.8,1.53,4.5,5.25,1.53,4.6,5.5,1.44,2.75,1.85,2
bundesliga,2025-2026,26/09/2025,Bayern Munich,Werder Bremen,4,0,26,9,13,3,7,6,9,4,2,0,0,0,H,2,0,H,1.09,11,21,1.1,12.5,19,1.2,4.5,1.88,1.98,1.09,11,21,1.12,11.5,16.5,1.2,4.5,1.8,2
bundesliga,2025-2026,27/09/2025,Heidenheim,Augsburg,2,1,11,8,5,2,3,2,16,20,1,6,0,0,H,0,0,D,2.7,3.5,2.5,2.75,3.5,2.45,1.73,2.1,2.03,1.83,2.9,3.5,2.35,2.75,3.5,2.45,1.73,2.1,1.83,2.03
bundesliga,2025-2026,27/09/2025,Mainz,Dortmund,0,2,8,10,2,4,7,5,12,14,2,1,1,0,A,0,2,A,3.2,3.7,2.1,3.1,3.8,2.15,1.62,2.3,2.03,1.83,3.4,3.8,2,3.4,3.75,2,1.57,2.38,1.83,2.03
bundesliga,2025-2026,27/09/2025,St Pauli,Leverkusen,1,2,13,5,6,4,13,1,13,11,3,5,0,0,A,1,1,D,3.1,3.6,2.2,3.1,3.5,2.2,1.88,1.98,1.93,1.93,3,3.4,2.38,2.95,3.4,2.3,1.85,2,2.15,1.68
bundesliga,2025-2026,27/09/2025,Wolfsburg,RB Leipzig,0,1,22,20,4,6,6,11,7,9,2,2,0,0,A,0,1,A,2.55,3.6,2.6,2.6,3.7,2.5,1.53,2.5,1.93,1.93,2.63,3.6,2.5,2.6,3.6,2.5,1.44,2.75,1.98,1.88
bundesliga,2025-2026,27/09/2025,M'gladbach,Ein Frankfurt,4,6,11,21,8,7,4,6,14,8,1,2,0,0,A,0,5,A,3.1,3.6,2.2,2.95,3.7,2.2,1.53,2.5,1.93,1.93,3,3.6,2.25,2.87,3.7,2.25,1.57,2.38,1.83,2.03
bundesliga,2025-2026,28/09/2025,Freiburg,Hoffenheim,1,1,6,15,1,4,6,8,9,15,3,1,0,0,D,1,1,D,2.25,3.4,3.1,2.2,3.6,3,1.62,2.3,1.98,1.88,2.3,3.4,3.1,2.3,3.3,3.1,1.85,2,2,1.85
bundesliga,2025-2026,28/09/2025,FC Koln,Stuttgart,1,2,14,15,6,5,8,8,12,12,2,2,0,0,A,1,1,D,2.9,3.5,2.35,2.8,3.7,2.3,1.53,2.5,1.83,2.03,2.5,3.7,2.63,2.55,3.7,2.55,1.5,2.63,1.88,1.98
bundesliga,2025-2026,28/09/2025,Union Berlin,Hamburg,0,0,11,16,2,6,5,3,18,17,2,2,0,1,D,0,0,D,1.95,3.4,4,2,3.6,3.5,1.8,2,1.98,1.88,1.95,3.6,3.8,1.98,3.5,3.7,1.8,2,1.98,1.88
bundesliga,2025-2026,03/10/2025,Hoffenheim,FC Koln,0,1,15,10,4,4,11,6,15,6,3,1,0,0,A,0,1,A,1.91,3.7,3.75,1.88,3.8,3.75,1.57,2.38,1.9,1.95,1.95,3.7,3.6,1.93,3.8,3.6,1.57,2.38,1.98,1.88
bundesliga,2025-2026,04/10/2025,Augsburg,Wolfsburg,3,1,10,14,5,4,10,5,9,7,2,1,0,0,H,1,0,H,2.75,3.5,2.45,2.7,3.6,2.45,1.73,2.1,2.03,1.83,2.55,3.5,2.63,2.5,3.5,2.65,1.67,2.2,1.88,1.98
bundesliga,2025-2026,04/10/2025,Dortmund,RB Leipzig,1,1,15,13,3,3,7,7,13,14,1,3,0,0,D,1,1,D,1.7,4.5,4.2,1.7,4.4,4.2,1.36,3.2,1.85,2,1.67,4.75,4.2,1.7,4.5,4.1,1.3,3.5,1.83,2.03
bundesliga,2025-2026,04/10/2025,Leverkusen,Union Berlin,2,0,20,10,3,3,4,4,11,13,1,3,0,0,H,1,0,H,1.7,4,4.75,1.68,4,4.6,1.8,2,1.88,1.98,1.7,4,4.75,1.73,3.8,4.6,1.83,2.03,1.9,1.95
bundesliga,2025-2026,04/10/2025,Werder Bremen,St Pauli,1,0,15,13,5,3,4,1,8,9,3,1,0,0,H,1,0,H,2.35,3.7,2.88,2.3,3.5,2.9,1.73,2.1,2.03,1.83,2.3,3.4,3,2.35,3.5,2.87,1.73,2.1,2.03,1.83
