league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
ligue-1,2025-2026,22/09/2025,Marseille,Paris SG,1,0,9,12,2,5,5,3,16,7,3,0,0,0,H,1,0,H,3.7,4.1,1.9,3.5,3.9,1.93,1.53,2.5,1.95,1.9,4,3.8,1.85,3.9,3.9,1.83,1.67,2.2,2,1.85
ligue-1,2025-2026,26/09/2025,Strasbourg,Marseille,1,2,9,16,1,9,5,4,13,15,2,4,0,0,A,0,0,D,3.6,3.6,2,3.5,3.6,2,1.73,2.1,1.83,2.03,3.2,3.5,2.2,3.2,3.6,2.15,1.73,2.1,1.93,1.93
ligue-1,2025-2026,27/09/2025,Lorient,Monaco,3,1,19,5,8,2,2,4,10,11,2,3,0,1,H,1,0,H,5.5,4.1,1.6,4.8,4.33,1.63,1.57,2.38,1.85,2,3.8,3.7,1.91,3.75,3.8,1.88,1.67,2.2,1.93,1.93
ligue-1,2025-2026,27/09/2025,Toulouse,Nantes,2,2,20,12,7,2,1,4,18,12,2,3,0,0,D,0,1,A,1.7,3.5,5.5,1.73,3.6,4.8,2.1,1.73,1.93,1.93,1.7,3.6,5.25,1.7,3.7,5,2.1,1.73,1.9,1.95
ligue-1,2025-2026,27/09/2025,Paris SG,Auxerre,2,0,15,12,8,3,5,5,17,10,1,2,0,0,H,1,0,H,1.14,8,15,1.16,8.5,15.5,1.3,3.5,1.93,1.93,1.2,7,13,1.23,6.75,11,1.44,2.75,1.83,2.03
ligue-1,2025-2026,28/09/2025,Nice,Paris FC,1,1,11,13,5,3,5,5,14,14,1,1,0,0,D,1,0,H,1.85,3.75,4,1.85,3.8,3.8,1.62,2.3,1.85,2,2.1,3.5,3.3,2.1,3.6,3.25,1.73,2.1,1.88,1.98
ligue-1,2025-2026,28/09/2025,Angers,Brest,0,2,11,7,2,3,11,4,13,13,1,1,0,0,A,0,2,A,3.1,3.25,2.38,3,3.3,2.37,2,1.85,1.83,2.03,3.3,3,2.38,3.2,3.1,2.35,2.3,1.62,1.85,2
ligue-1,2025-2026,28/09/2025,Lille,Lyon,0,1,14,5,3,2,3,4,20,24,4,4,1,0,A,0,1,A,2.25,3.4,3.2,2.25,3.5,3.1,1.73,2.1,1.95,1.9,2.25,3.3,3.2,2.3,3.5,3,1.73,2.1,1.98,1.88
ligue-1,2025-2026,28/09/2025,Metz,Le Havre,0,0,7,11,0,2,4,6,16,16,2,2,0,0,D,0,0,D,2.7,3.2,2.7,2.6,3.4,2.65,2,1.85,1.93,1.93,2.55,3.25,2.8,2.55,3.3,2.7,1.93,1.93,1.8,2.05
ligue-1,2025-2026,28/09/2025,Rennes,Lens,0,0,14,13,2,2,8,4,16,9,3,2,0,1,D,0,0,D,2.5,3.4,2.75,2.4,3.5,2.8,1.73,2.1,1.83,2.03,2.63,3.5,2.55,2.55,3.5,2.65,1.73,2.1,1.95,1.9
