kickoff_iso,league,home_team,away_team,team,venue,line,side,model_prob,model_fair,book_odds,bookmaker,edge,captured_at,lambda_venue,lambda_recent,divergence,consensus,effective_stake,preferred
2026-04-26T18:45:00Z,serie-a,AC Milan,Juventus Turin,AC Milan,home,13.5,over,0.4626,2.162,2.0,Bet365,-0.0748,2026-04-23T23:13:33Z,14.41,13.91,0.0347,aligned,0.0,False
2026-04-27T18:45:00Z,serie-a,Lazio Rome,Udinese Calcio,Lazio Rome,home,13.5,under,0.5042,1.983,1.833,Bet365,-0.0758,2026-04-23T23:13:33Z,13.86,12.98,0.0636,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,1. FC Cologne,Bayer Leverkusen,Bayer Leverkusen,away,13.5,over,0.5115,1.955,1.8,Bet365,-0.0793,2026-04-23T23:13:36Z,12.33,13.29,0.0779,aligned,0.0,False
2026-04-25T14:00:00Z,epl,West Ham United,Everton FC,West Ham United,home,12.5,under,0.4806,2.081,1.909,Bet365,-0.0825,2026-04-23T23:13:31Z,12.57,13.6,0.082,aligned,0.0,False
2026-04-26T13:30:00Z,bundesliga,VfB Stuttgart,Werder Bremen,Werder Bremen,away,11.5,under,0.5004,1.998,1.833,Bet365,-0.0828,2026-04-23T23:13:36Z,9.63,10.74,0.1145,aligned,0.0,False
2026-04-26T13:30:00Z,bundesliga,VfB Stuttgart,Werder Bremen,Werder Bremen,away,11.5,over,0.4996,2.002,1.833,Bet365,-0.0842,2026-04-23T23:13:36Z,9.63,10.74,0.1145,aligned,0.0,False
2026-04-27T19:00:00Z,epl,Manchester United,Brentford FC,Brentford FC,away,9.5,under,0.4562,2.192,2.0,Bet365,-0.0876,2026-04-23T23:13:31Z,8.47,8.77,0.0351,aligned,0.0,False
2026-04-27T18:45:00Z,serie-a,Lazio Rome,Udinese Calcio,Lazio Rome,home,13.5,over,0.4958,2.017,1.833,Bet365,-0.0912,2026-04-23T23:13:33Z,13.86,12.98,0.0636,aligned,0.0,False
2026-04-24T19:00:00Z,la-liga,Real Betis Seville,Real Madrid,Real Betis Seville,home,12.5,under,0.526,1.901,1.727,Bet365,-0.0916,2026-04-23T23:13:34Z,12.87,12.23,0.0499,aligned,0.0,False
2026-04-25T16:00:00Z,serie-a,Bologna FC,AS Roma,Bologna FC,home,11.5,under,0.4515,2.215,2.0,Bet365,-0.097,2026-04-23T23:13:33Z,12.58,11.93,0.0517,aligned,0.0,False
2026-04-24T19:00:00Z,la-liga,Real Betis Seville,Real Madrid,Real Madrid,away,14.5,over,0.4914,2.035,1.833,Bet365,-0.0993,2026-04-23T23:13:34Z,15.87,13.39,0.1562,divergent,0.0,False
2026-04-25T12:00:00Z,la-liga,Deportivo Alaves,RCD Mallorca,RCD Mallorca,away,10.5,over,0.5205,1.921,1.727,Bet365,-0.1011,2026-04-23T23:13:34Z,9.11,7.78,0.1464,aligned,0.0,False
2026-04-25T13:00:00Z,serie-a,Parma Calcio,Pisa SC,Pisa SC,away,10.5,over,0.4969,2.012,1.8,Bet365,-0.1056,2026-04-23T23:13:33Z,10.45,9.25,0.1149,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,FC Augsburg,Eintracht Frankfurt,Eintracht Frankfurt,away,11.5,under,0.4866,2.055,1.833,Bet365,-0.1081,2026-04-23T23:13:36Z,10.81,9.23,0.1466,aligned,0.0,False
2026-04-25T12:00:00Z,la-liga,Deportivo Alaves,RCD Mallorca,Deportivo Alaves,home,14.5,under,0.445,2.247,2.0,Bet365,-0.11,2026-04-23T23:13:34Z,16.61,18.79,0.1311,aligned,0.0,False
2026-04-24T18:45:00Z,serie-a,SSC Napoli,US Cremonese,US Cremonese,away,8.5,over,0.4445,2.25,2.0,Bet365,-0.111,2026-04-23T23:13:33Z,5.92,5.55,0.063,aligned,0.0,False
2026-04-25T18:45:00Z,serie-a,Hellas Verona,US Lecce,US Lecce,away,10.5,over,0.4653,2.149,1.909,Bet365,-0.1117,2026-04-23T23:13:33Z,9.11,9.73,0.0679,aligned,0.0,False
2026-04-25T19:00:00Z,la-liga,Atletico Madrid,Athletic Bilbao,Atletico Madrid,home,11.5,over,0.5121,1.953,1.727,Bet365,-0.1156,2026-04-23T23:13:34Z,12.54,12.03,0.041,aligned,0.0,False
2026-04-26T10:30:00Z,serie-a,ACF Fiorentina,Sassuolo Calcio,Sassuolo Calcio,away,10.5,under,0.4801,2.083,1.833,Bet365,-0.12,2026-04-23T23:13:33Z,11.78,13.95,0.1844,divergent,0.0,False
2026-04-24T19:00:00Z,epl,Sunderland AFC,Nottingham Forest,Sunderland AFC,home,11.5,over,0.4771,2.096,1.833,Bet365,-0.1255,2026-04-23T23:13:31Z,11.13,12.5,0.1236,aligned,0.0,False
2026-04-26T19:00:00Z,la-liga,Villarreal CF,RC Celta de Vigo,RC Celta de Vigo,away,10.5,under,0.5053,1.979,1.727,Bet365,-0.1273,2026-04-23T23:13:34Z,9.61,9.73,0.013,aligned,0.0,False
2026-04-25T16:30:00Z,la-liga,Valencia CF,Girona FC,Girona FC,away,9.5,over,0.5023,1.991,1.727,Bet365,-0.1325,2026-04-23T23:13:34Z,8.66,9.65,0.1141,aligned,0.0,False
2026-04-26T10:30:00Z,serie-a,ACF Fiorentina,Sassuolo Calcio,ACF Fiorentina,home,15.5,over,0.4796,2.085,1.8,Bet365,-0.1367,2026-04-23T23:13:33Z,19.09,17.36,0.0902,aligned,0.0,False
2026-04-24T18:30:00Z,bundesliga,RB Leipzig,Union Berlin,Union Berlin,away,9.5,under,0.4698,2.129,1.833,Bet365,-0.1389,2026-04-23T23:13:36Z,9.87,8.05,0.1842,divergent,0.0,False
2026-04-25T16:30:00Z,epl,Arsenal FC,Newcastle United,Newcastle United,away,9.5,over,0.4695,2.13,1.833,Bet365,-0.1394,2026-04-23T23:13:31Z,7.64,7.36,0.0363,aligned,0.0,False
2026-04-26T16:30:00Z,la-liga,CA Osasuna,Sevilla FC,Sevilla FC,away,11.5,over,0.4299,2.326,2.0,Bet365,-0.1402,2026-04-23T23:13:34Z,11.13,11.91,0.0701,aligned,0.0,False
2026-04-27T16:30:00Z,serie-a,Cagliari Calcio,Atalanta BC,Cagliari Calcio,home,10.5,under,0.4272,2.341,2.0,Bet365,-0.1456,2026-04-23T23:13:33Z,9.89,10.91,0.1032,aligned,0.0,False
2026-04-27T19:00:00Z,epl,Manchester United,Brentford FC,Manchester United,home,16.5,over,0.4457,2.244,1.909,Bet365,-0.1492,2026-04-23T23:13:31Z,18.22,18.16,0.0036,aligned,0.0,False
2026-04-24T18:45:00Z,serie-a,SSC Napoli,US Cremonese,SSC Napoli,home,16.5,over,0.4667,2.143,1.8,Bet365,-0.1599,2026-04-23T23:13:33Z,17.04,16.68,0.0213,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,FSV Mainz,Bayern Munich,Bayern Munich,away,17.5,over,0.418,2.392,2.0,Bet365,-0.164,2026-04-23T23:13:36Z,17.9,16.18,0.0963,aligned,0.0,False
2026-04-25T16:30:00Z,bundesliga,Hamburger SV,TSG Hoffenheim,TSG Hoffenheim,away,15.5,over,0.4358,2.295,1.909,Bet365,-0.1681,2026-04-23T23:13:36Z,13.88,14.69,0.0587,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,1. FC Cologne,Bayer Leverkusen,1. FC Cologne,home,12.5,under,0.4529,2.208,1.833,Bet365,-0.1698,2026-04-23T23:13:36Z,12.99,13.22,0.0175,aligned,0.0,False
2026-04-26T14:15:00Z,la-liga,Real Oviedo,Elche CF,Real Oviedo,home,12.5,under,0.4127,2.423,2.0,Bet365,-0.1746,2026-04-23T23:13:34Z,13.29,13.42,0.0101,aligned,0.0,False
2026-04-26T16:30:00Z,la-liga,CA Osasuna,Sevilla FC,CA Osasuna,home,12.5,over,0.4097,2.441,2.0,Bet365,-0.1806,2026-04-23T23:13:34Z,11.9,13.23,0.1113,aligned,0.0,False
2026-04-26T16:00:00Z,serie-a,Torino FC,Inter Milano,Inter Milano,away,15.5,over,0.4521,2.212,1.8,Bet365,-0.1862,2026-04-23T23:13:33Z,16.86,15.53,0.0785,aligned,0.0,False
