kickoff_iso,league,home_team,away_team,team,venue,line,side,model_prob,model_fair,book_odds,bookmaker,edge,captured_at,lambda_venue,lambda_recent,divergence,consensus,effective_stake,preferred
2026-05-23T19:00:00Z,la-liga,Deportivo Alaves,Rayo Vallecano,Deportivo Alaves,home,12.5,under,0.5335,1.874,1.833,Bet365,-0.0221,2026-05-21T19:16:40Z,11.9,11.59,0.0263,aligned,0.0,False
2026-05-23T16:00:00Z,serie-a,Bologna FC,Inter Milano,Bologna FC,home,11.5,under,0.5282,1.893,1.833,Bet365,-0.0318,2026-05-21T19:16:39Z,10.85,10.86,0.001,aligned,0.0,False
2026-05-24T18:45:00Z,serie-a,Torino FC,Juventus Turin,Juventus Turin,away,14.5,under,0.4801,2.083,2.0,Bet365,-0.0398,2026-05-21T19:16:39Z,16.46,14.6,0.113,aligned,0.0,False
2026-05-24T19:00:00Z,la-liga,Villarreal CF,Atletico Madrid,Atletico Madrid,away,11.5,over,0.5229,1.912,1.833,Bet365,-0.0415,2026-05-21T19:16:40Z,11.83,12.0,0.0148,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Sunderland AFC,Chelsea FC,Sunderland AFC,home,10.5,over,0.5221,1.915,1.833,Bet365,-0.043,2026-05-21T11:42:01Z,10.3,11.14,0.0821,aligned,0.0,False
2026-05-23T16:00:00Z,serie-a,Bologna FC,Inter Milano,Inter Milano,away,12.5,over,0.5527,1.809,1.727,Bet365,-0.0455,2026-05-21T19:16:39Z,13.6,10.63,0.2184,divergent,0.0,False
2026-05-24T15:00:00Z,epl,Fulham FC,Newcastle United,Newcastle United,away,12.5,over,0.5206,1.921,1.833,Bet365,-0.0457,2026-05-21T19:16:38Z,12.95,12.73,0.0168,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Valencia CF,FC Barcelona,FC Barcelona,away,14.5,under,0.4988,2.005,1.909,Bet365,-0.0478,2026-05-21T19:16:40Z,16.03,13.11,0.1823,divergent,0.0,False
2026-05-24T15:00:00Z,epl,Nottingham Forest,AFC Bournemouth,AFC Bournemouth,away,14.5,under,0.519,1.927,1.833,Bet365,-0.0487,2026-05-21T19:16:38Z,15.56,14.05,0.0972,aligned,0.0,False
2026-05-23T16:00:00Z,serie-a,Bologna FC,Inter Milano,Bologna FC,home,10.5,over,0.5498,1.819,1.727,Bet365,-0.0505,2026-05-21T12:40:34Z,10.85,10.86,0.001,aligned,0.0,False
