scope,league,lambda_source,alpha,edge_threshold,n,wins,losses,pushes,pnl,staked,roi_pct,avg_prob,avg_edge,avg_odds,overs,unders
league,serie-a,lambda_shots,0.15,0.05,6,4,2,0,1.56,6.0,26.0,0.65817,0.24804,1.8988,1,5
league,bundesliga,lambda_shots,0.15,0.10,3,1,2,0,-1.091,3.0,-36.3667,0.66083,0.23343,1.8727,0,3
league,epl,lambda_shots,0.15,0.10,3,1,2,0,-1.091,3.0,-36.3667,0.63597,0.17442,1.8473,0,3
league,la-liga,lambda_shots,0.15,0.10,8,6,2,0,2.923,8.0,36.5375,0.68017,0.24119,1.829,3,5
league,serie-a,lambda_shots,0.15,0.10,6,4,2,0,1.56,6.0,26.0,0.65817,0.24804,1.8988,1,5
league,bundesliga,lambda_shots,0.15,0.15,2,1,1,0,-0.091,2.0,-4.55,0.69652,0.28751,1.8545,0,2
league,epl,lambda_shots,0.15,0.15,3,1,2,0,-1.091,3.0,-36.3667,0.63597,0.17442,1.8473,0,3
league,la-liga,lambda_shots,0.15,0.15,6,4,2,0,1.09,6.0,18.1667,0.70929,0.27693,1.7998,3,3
league,serie-a,lambda_shots,0.15,0.15,6,4,2,0,1.56,6.0,26.0,0.65817,0.24804,1.8988,1,5
league,bundesliga,lambda_shots,0.15,0.20,1,0,1,0,-1.0,1.0,-100.0,0.77348,0.39227,1.8,0,1
league,la-liga,lambda_shots,0.15,0.20,5,3,2,0,0.363,5.0,7.26,0.71504,0.29726,1.8144,2,3
league,serie-a,lambda_shots,0.15,0.20,5,3,2,0,0.651,5.0,13.02,0.66746,0.2641,1.8968,1,4
league,bundesliga,lambda_shots,0.15,0.25,1,0,1,0,-1.0,1.0,-100.0,0.77348,0.39227,1.8,0,1
league,la-liga,lambda_shots,0.15,0.25,4,2,2,0,-0.364,4.0,-9.1,0.7169,0.31607,1.8363,1,3
league,serie-a,lambda_shots,0.15,0.25,3,3,0,0,2.651,3.0,88.3667,0.68665,0.29266,1.8837,0,3
league,bundesliga,lambda_shots,0.25,0.00,5,2,3,0,-1.364,5.0,-27.28,0.63582,0.16208,1.829,0,5
league,epl,lambda_shots,0.25,0.00,7,2,5,0,-3.091,7.0,-44.1571,0.58672,0.09877,1.8774,0,7
league,la-liga,lambda_shots,0.25,0.00,12,8,4,0,2.589,12.0,21.575,0.6293,0.14973,1.8276,4,8
league,serie-a,lambda_shots,0.25,0.00,6,4,2,0,1.56,6.0,26.0,0.64769,0.2289,1.8988,1,5
league,bundesliga,lambda_shots,0.25,0.05,5,2,3,0,-1.364,5.0,-27.28,0.63582,0.16208,1.829,0,5
league,epl,lambda_shots,0.25,0.05,4,2,2,0,-0.091,4.0,-2.275,0.60917,0.14524,1.8855,0,4
league,la-liga,lambda_shots,0.25,0.05,10,7,3,0,2.756,10.0,27.56,0.64361,0.17706,1.8298,3,7
league,serie-a,lambda_shots,0.25,0.05,6,4,2,0,1.56,6.0,26.0,0.64769,0.2289,1.8988,1,5
league,bundesliga,lambda_shots,0.25,0.10,3,1,2,0,-1.091,3.0,-36.3667,0.65764,0.22807,1.8727,0,3
league,epl,lambda_shots,0.25,0.10,3,1,2,0,-1.091,3.0,-36.3667,0.6362,0.17492,1.8473,0,3
league,la-liga,lambda_shots,0.25,0.10,7,5,2,0,2.196,7.0,31.3714,0.66178,0.21876,1.8436,2,5
league,serie-a,lambda_shots,0.25,0.10,6,4,2,0,1.56,6.0,26.0,0.64769,0.2289,1.8988,1,5
league,bundesliga,lambda_shots,0.25,0.15,2,1,1,0,-0.091,2.0,-4.55,0.6878,0.27197,1.8545,0,2
league,epl,lambda_shots,0.25,0.15,3,1,2,0,-1.091,3.0,-36.3667,0.6362,0.17492,1.8473,0,3
league,la-liga,lambda_shots,0.25,0.15,5,3,2,0,0.636,5.0,12.72,0.67133,0.25242,1.869,1,4
league,serie-a,lambda_shots,0.25,0.15,5,4,1,0,2.56,5.0,51.2,0.65317,0.24727,1.912,0,5
league,bundesliga,lambda_shots,0.25,0.20,1,0,1,0,-1.0,1.0,-100.0,0.75326,0.35586,1.8,0,1
league,la-liga,lambda_shots,0.25,0.20,3,1,2,0,-1.091,3.0,-36.3667,0.70284,0.31615,1.8727,0,3
league,serie-a,lambda_shots,0.25,0.20,4,3,1,0,1.651,4.0,41.275,0.66232,0.26484,1.9127,0,4
league,bundesliga,lambda_shots,0.25,0.25,1,0,1,0,-1.0,1.0,-100.0,0.75326,0.35586,1.8,0,1
league,la-liga,lambda_shots,0.25,0.25,3,1,2,0,-1.091,3.0,-36.3667,0.70284,0.31615,1.8727,0,3
league,serie-a,lambda_shots,0.25,0.25,3,3,0,0,2.651,3.0,88.3667,0.6794,0.27907,1.8837,0,3
league,bundesliga,lambda_venue,0.00,0.00,7,3,4,0,-1.455,7.0,-20.7857,0.64954,0.18809,1.8389,1,6
league,epl,lambda_venue,0.00,0.00,8,2,6,0,-4.364,8.0,-54.55,0.65841,0.21948,1.8495,3,5
league,la-liga,lambda_venue,0.00,0.00,12,7,5,0,0.756,12.0,6.3,0.70448,0.2905,1.8354,8,4
league,serie-a,lambda_venue,0.00,0.00,11,6,5,0,0.087,11.0,0.7909,0.66343,0.23697,1.8671,6,5
league,bundesliga,lambda_venue,0.00,0.05,5,3,2,0,0.545,5.0,10.9,0.69372,0.25513,1.8144,0,5
league,epl,lambda_venue,0.00,0.05,8,2,6,0,-4.364,8.0,-54.55,0.65841,0.21948,1.8495,3,5
league,la-liga,lambda_venue,0.00,0.05,12,7,5,0,0.756,12.0,6.3,0.70448,0.2905,1.8354,8,4
league,serie-a,lambda_venue,0.00,0.05,11,6,5,0,0.087,11.0,0.7909,0.66343,0.23697,1.8671,6,5
league,bundesliga,lambda_venue,0.00,0.10,5,3,2,0,0.545,5.0,10.9,0.69372,0.25513,1.8144,0,5
league,epl,lambda_venue,0.00,0.10,7,2,5,0,-3.364,7.0,-48.0571,0.66951,0.24162,1.8519,3,4
league,la-liga,lambda_venue,0.00,0.10,12,7,5,0,0.756,12.0,6.3,0.70448,0.2905,1.8354,8,4
