date,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_prob_raw,model_fair_odds,edge,ev,actual_shots,won,pnl,kickoff_iso,note,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence
2026-04-11,epl,Liverpool FC,Fulham FC,Fulham FC,away,Bet365,9.5,over,1.8,0.6624,0.5456,1.51,0.1923,0.1923,19,True,0.8,,,,,,,,,,,,
2026-04-11,epl,Arsenal FC,AFC Bournemouth,AFC Bournemouth,away,Bet365,9.5,over,2.0,0.5465,0.4236,1.83,0.093,0.093,8,False,-1.0,,,,,,,,,,,,
2026-04-11,epl,Arsenal FC,AFC Bournemouth,Arsenal FC,home,Bet365,16.5,under,1.727,0.6136,0.5717,1.63,0.0596,0.0596,15,True,0.727,,,,,,,,,,,,
2026-04-11,epl,Brentford FC,Everton FC,Brentford FC,home,Bet365,13.5,under,1.833,0.5912,0.6433,1.691,0.0837,0.0837,17,False,-1.0,,,,,,,,,,,,
2026-04-11,epl,Brentford FC,Everton FC,Everton FC,away,Bet365,10.5,over,1.833,0.5594,0.4573,1.788,0.0253,0.0253,14,True,0.833,,,,,,,,,,,,
2026-04-11,serie-a,Torino FC,Hellas Verona,Hellas Verona,away,Bet365,9.5,over,1.727,0.6136,0.4925,1.63,0.0598,0.0598,18,True,0.727,,,,,,,,,,,,
2026-04-11,serie-a,AC Milan,Udinese Calcio,Udinese Calcio,away,Bet365,8.5,over,1.727,0.6342,0.4702,1.577,0.0952,0.0952,12,True,0.727,,,,,,,,,,,,
2026-04-11,serie-a,AC Milan,Udinese Calcio,AC Milan,home,Bet365,16.5,under,1.8,0.6332,0.5907,1.579,0.1398,0.1398,20,False,-1.0,,,,,,,,,,,,
2026-04-11,serie-a,Atalanta BC,Juventus Turin,Juventus Turin,away,Bet365,13.5,over,1.909,0.635,0.572,1.575,0.2121,0.2121,7,False,-1.0,,,,,,,,,,,,
2026-04-11,la-liga,Elche CF,Valencia CF,Valencia CF,away,Bet365,11.5,over,1.833,0.6516,0.5742,1.535,0.1944,0.1944,22,True,0.833,,,,,,,,,,,,
2026-04-11,la-liga,Elche CF,Valencia CF,Elche CF,home,Bet365,12.5,under,1.909,0.6483,0.7082,1.543,0.2375,0.2375,8,True,0.909,,,,,,,,,,,,
2026-04-11,la-liga,FC Barcelona,Espanyol Barcelona,FC Barcelona,home,Bet365,19.5,under,1.833,0.5825,0.4863,1.717,0.0677,0.0677,20,False,-1.0,,,,,,,,,,,,
2026-04-11,la-liga,FC Barcelona,Espanyol Barcelona,Espanyol Barcelona,away,Bet365,8.5,over,1.833,0.5791,0.4096,1.727,0.0616,0.0616,10,True,0.833,,,,,,,,,,,,
